arm,scope,ticker,month,trades,win_rate,profit_factor,pnl_return,avg_return,max_drawdown,call_rate,days_with_trades,daily_win_rate,median_daily_return,daily_max_drawdown,top5_day_return,top5_share_of_pnl,min_month_trades,positive_month_rate
history_2025,month,ALL,202603,123,0.4065040650406504,0.6007175607000725,-14.589894756116077,-0.11861703053752909,-17.142315179382962,0.6747967479674797,22,0.36363636363636365,-0.9390956214099323,-20.99437499469029,7.531123183537881,-0.516187629138369,123,0.0
history_2025,month,ALL,202604,96,0.4895833333333333,1.1041176601273865,2.814933646661302,0.02932222548605523,-5.373865902433126,0.3645833333333333,21,0.5714285714285714,0.10894449054573424,-4.67405052939205,9.347045505513767,3.3205207222557385,96,1.0
history_2025,month,ALL,202605,91,0.4725274725274725,0.9446277328306046,-1.4977917819458917,-0.016459250351053754,-8.3579509501957,0.14285714285714285,20,0.4,-0.3406650204814774,-7.784025616335718,11.021332921417482,-7.358387897614751,91,0.0
history_2022,overall,ALL,ALL,440,0.42272727272727273,0.7642012392636953,-31.47636221591717,-0.0715371868543572,-34.40264049045335,0.42045454545454547,102,0.3431372549019608,-0.5086696979191023,-32.248847661796816,14.903625956463603,-0.4734862896236161,77,0.2
history_2022,ticker,QQQ,ALL,163,0.4539877300613497,0.763945862784887,-10.637829432311143,-0.06526275725344259,-15.284287313884162,0.4785276073619632,94,0.43617021276595747,-0.13283541521450648,-14.684287306871857,6.292703117485502,-0.5915401405452285,26,0.0
history_2022,ticker_month,QQQ,202601,40,0.375,0.7741624236130752,-3.0782919985526527,-0.07695729996381631,-6.90545339701132,0.175,20,0.4,-0.1587418964146456,-6.305453389999009,4.216241293901014,-1.369669055399358,40,0.0
history_2022,ticker_month,QQQ,202602,29,0.4827586206896552,0.918688936721791,-0.5571926591606049,-0.019213539971055342,-3.1803231105563494,0.7931034482758621,18,0.5,0.035829665635523256,-2.4368466002826157,3.204743282773458,-5.75158920363616,29,0.0
history_2022,ticker_month,QQQ,202603,26,0.46153846153846156,0.6643576232253534,-2.597968761652466,-0.09992187544817176,-5.769986811591228,0.7307692307692307,18,0.5,-0.02838164595089962,-5.477303902997426,2.590008632469745,-0.9969360181306962,26,0.0
history_2022,ticker_month,QQQ,202604,31,0.45161290322580644,0.5693537045127043,-3.8026017725266295,-0.12266457330731063,-5.292390570794321,0.41935483870967744,18,0.4444444444444444,-0.22666516834547573,-5.292390570794321,2.1417887395235553,-0.5632429761637777,31,0.0
history_2022,ticker_month,QQQ,202605,37,0.5135135135135135,0.9248887380501845,-0.6017742404187916,-0.01626416865996734,-2.991183560307216,0.43243243243243246,20,0.35,-0.13796526941770193,-2.504944906188454,4.348255636315099,-7.2257257693334065,37,0.0
history_2022,ticker,SPXW,ALL,180,0.42777777777777776,0.6956353121577967,-16.54223157703511,-0.09190128653908394,-20.402571637331747,0.40555555555555556,89,0.43820224719101125,-0.1914579733405109,-18.423297982794075,9.35262235385181,-0.5653785168160543,29,0.0
history_2022,ticker_month,SPXW,202601,32,0.25,0.40146803933597885,-8.17870998585082,-0.2555846870578381,-9.738210580034016,0.21875,14,0.2857142857142857,-0.7414216022137844,-9.04376615030677,2.4354366126032847,-0.297777597789455,32,0.0
history_2022,ticker_month,SPXW,202602,29,0.4482758620689655,0.9855208428044425,-0.12610265526894396,-0.004348367423067033,-4.985215748459724,0.3103448275862069,15,0.26666666666666666,-0.6052631446859509,-4.540291387932806,6.445669385083188,-51.11446203362064,29,0.0
