min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
40,1.0,0.75,180,False,-39.31501857241092,374,0.4385026737967914,0.7011802354151728,-0.13464254268214448,131.90106951871658,180.0,55,62.333333333333336,119,0.453781512605042,0.7322980970064568,-0.11713346580658719,130.42857142857142,180.0,18,19.833333333333332,132,0.44696969696969696,0.7102418469113452,-0.13289761289537574,131.1818181818182,180.0,18,22.0,123,0.4146341463414634,0.662385845035266,-0.15345482625974444,134.09756097560975,180.0,19,20.5
50,0.3,1.0,180,False,-39.74491855708698,374,0.2727272727272727,1.2243604924599552,0.04895138017308113,57.836898395721924,50.0,55,62.333333333333336,119,0.2857142857142857,1.2512869092051897,0.053847194829683566,60.50420168067227,50.0,18,19.833333333333332,132,0.26515151515151514,1.202749140893471,0.0446969696969697,56.81060606060606,50.0,18,22.0,123,0.2682926829268293,1.2222222222222223,0.04878048780487806,56.357723577235774,50.0,19,20.5
20,0.4,0.75,180,False,-39.82140610855395,374,0.3422459893048128,0.961920745134093,-0.010018713044933828,34.01604278074866,24.5,55,62.333333333333336,119,0.3865546218487395,1.1598807702637164,0.03923124782941612,33.319327731092436,24.0,18,19.833333333333332,132,0.3409090909090909,0.9698275862068968,-0.007954545454545457,32.56060606060606,25.0,18,22.0,123,0.3008130081300813,0.7858861287643674,-0.059882253418746104,36.2520325203252,25.0,19,20.5
40,0.3,1.0,180,False,-40.03288611935853,374,0.2727272727272727,1.2243604924599552,0.04895138017308112,49.19786096256684,40.0,55,62.333333333333336,119,0.2773109243697479,1.1979773715012534,0.042922825081784396,52.142857142857146,40.0,18,19.833333333333332,132,0.2727272727272727,1.2500000000000002,0.05454545454545456,47.52272727272727,40.0,18,22.0,123,0.2682926829268293,1.2222222222222223,0.04878048780487806,48.146341463414636,40.0,19,20.5
20,0.4,0.5,180,False,-40.08395774883183,374,0.3983957219251337,0.8183666813466084,-0.04370855261712635,29.879679144385026,22.0,55,62.333333333333336,119,0.42016806722689076,0.8919753076703089,-0.02505446645629817,30.294117647058822,22.0,18,19.833333333333332,132,0.3939393939393939,0.8125000000000001,-0.045454545454545456,29.015151515151516,22.0,18,22.0,123,0.3821138211382114,0.7577132509702051,-0.0598822534187461,30.40650406504065,23.0,19,20.5
0,0.5,1.0,180,False,-41.1395292470269,374,0.3342245989304813,0.9809857478717663,-0.006319741681920458,42.70053475935829,32.0,55,62.333333333333336,119,0.3697478991596639,1.1175417649261958,0.0370404721406079,41.403361344537814,29.0,18,19.833333333333332,132,0.32575757575757575,0.9662921348314607,-0.011363636363636364,40.11363636363637,31.0,18,22.0,123,0.3089430894308943,0.8753979523811142,-0.04285690710382594,46.73170731707317,34.0,19,20.5
40,0.8,0.75,180,False,-41.599460719719815,374,0.42513368983957217,0.7135164093824441,-0.12428899462859198,94.1951871657754,81.0,55,62.333333333333336,119,0.44537815126050423,0.7667930614001135,-0.09715418964091874,96.10924369747899,85.0,18,19.833333333333332,132,0.4166666666666667,0.6876158972072597,-0.14016978700496466,89.62878787878788,79.5,18,22.0,123,0.4146341463414634,0.6928037645854853,-0.13349856535909538,97.2439024390244,83.0,19,20.5
0,0.4,1.0,180,False,-43.99109673104057,374,0.30213903743315507,1.0530871553086836,0.014818981321461422,32.355614973262036,24.0,55,62.333333333333336,119,0.35294117647058826,1.2957083176861153,0.07653627045993562,32.260504201680675,24.0,18,19.833333333333332,132,0.2803030303030303,0.9736842105263162,-0.007575757575757568,30.40909090909091,24.5,18,22.0,123,0.2764227642276423,0.9279349109408493,-0.02085786317484368,34.53658536585366,25.0,19,20.5
30,0.3,1.0,180,False,-44.169983622184986,374,0.26737967914438504,1.1910926543154787,0.04199950851532711,39.5855614973262,30.0,55,62.333333333333336,119,0.29411764705882354,1.3058657216163627,0.06477156457758271,42.596638655462186,30.0,18,19.833333333333332,132,0.25,1.1111111111111112,0.02500000000000001,37.57575757575758,30.0,18,22.0,123,0.2601626016260163,1.1721611721611722,0.03821138211382114,38.829268292682926,30.0,19,20.5
30,0.6,0.75,180,False,-44.65098032005387,374,0.3877005347593583,0.7876593162326408,-0.07667852992510542,62.17112299465241,46.0,55,62.333333333333336,119,0.3949579831932773,0.8071320785089637,-0.06951474097025004,62.39495798319328,48.0,18,19.833333333333332,132,0.4015151515151515,0.8445669267341578,-0.054691967528229676,60.50757575757576,45.5,18,22.0,123,0.36585365853658536,0.7115763439924845,-0.10720468538864521,63.739837398373986,45.0,19,20.5
10,0.4,1.0,180,False,-44.672972105346574,374,0.30213903743315507,1.0530871553086836,0.014818981321461422,34.17112299465241,25.0,55,62.333333333333336,119,0.33613445378151263,1.1996144362257075,0.05300685869522975,34.705882352941174,24.0,18,19.833333333333332,132,0.2878787878787879,1.0106382978723407,0.0030303030303030372,31.25,25.0,18,22.0,123,0.2845528455284553,0.9668887167469953,-0.009475749353705468,36.78861788617886,27.0,19,20.5
40,0.3,0.75,180,False,-45.29860222870663,374,0.2994652406417112,1.060668174194663,0.012750049443049506,46.98930481283423,40.0,55,62.333333333333336,119,0.31932773109243695,1.1468526128271819,0.029987550350424517,48.588235294117645,40.0,18,19.833333333333332,132,0.2727272727272727,0.9375000000000002,-0.013636363636363643,46.28787878787879,40.0,18,22.0,123,0.3089430894308943,1.1176470588235294,0.024390243902439032,46.19512195121951,40.0,19,20.5
40,1.0,1.0,180,False,-45.545717356673485,374,0.39572192513368987,0.7787905954101128,-0.10507724508280746,138.64438502673798,180.0,55,62.333333333333336,119,0.40336134453781514,0.774146097927205,-0.10508619144416649,138.87394957983193,180.0,18,19.833333333333332,132,0.4166666666666667,0.8425067485713651,-0.07466817165780233,135.7651515151515,180.0,18,22.0,123,0.36585365853658536,0.7163107859853807,-0.13770271723808344,141.5121951219512,180.0,19,20.5
