ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_delta_bucket,source_combined_from
QQQ,202509,202509,"202501,202502",202502,202503,"202503,202504,202505,202506,202507,202508",202508,thr0.300_maxday2,1198,4328,797,6.771855726599234,False,179,0.5363128491620112,1.425497613514766,21.18978115303534,0.1183786656594153,-5.876982096509596,0.435754189944134,100,0.54,0.2341714468570317,-5.276982096509595,14.87386567037573,0.7019357851293861,24,0.8333333333333334,27,0.5185185185185185,1.186381560188074,1.4537761694669753,0.0538435618321102,-3.353303939588474,0.3703703703703703,17,0.4705882352941176,-0.2538461273943874,-3.353303939588474,7.573814601685675,5.209752890957486,27,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202510,202510,"202501,202502,202503",202503,202504,"202504,202505,202506,202507,202508,202509",202509,thr-0.200_maxday1,1856,4467,803,7.993577552773533,False,125,0.592,1.7828515799081517,22.612308517189813,0.1808984681375185,-2.572043037629564,0.624,125,0.592,0.305555445176588,-2.572043037629564,12.523286698769514,0.553826102684268,20,1.0,23,0.5652173913043478,1.727120485051176,4.362722910307055,0.1896836047959589,-1.8747190243697265,0.5217391304347826,23,0.5652173913043478,0.2994504681158716,-1.8747190243697265,6.768368023508513,1.5514090999265742,23,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202511,202511,"202501,202502,202503,202504",202504,202505,"202505,202506,202507,202508,202509,202510",202510,thr-0.025_maxday1,2445,4681,626,7.068720339254181,False,128,0.546875,1.5810150478799407,18.85448366342722,0.1473006536205251,-3.407625976492608,0.515625,128,0.546875,0.2596474588703731,-3.407625976492608,15.921475862435448,0.8444397707543144,20,0.8333333333333334,19,0.5263157894736842,1.481062076664183,2.442958719538689,0.1285767747125626,-1.8000000000000005,0.3684210526315789,19,0.5263157894736842,0.3490782979770679,-1.8000000000000005,5.597196019766258,2.2911545639310646,19,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202512,202512,"202501,202502,202503,202504,202505",202505,202506,"202506,202507,202508,202509,202510,202511",202511,thr0.477_maxday2,3206,4546,744,8.799435578337178,False,80,0.6625,2.564289503229993,24.890392502182536,0.3111299062772817,-2.3999999999999986,0.775,48,0.625,0.3664367879210013,-2.3999999999999986,14.873502879594534,0.5975599974283385,10,1.0,12,0.5833333333333334,1.2006940161652278,0.6020820484956837,0.0501735040413069,-1.440243824431755,0.8333333333333334,9,0.4444444444444444,-0.1277778329672615,-1.2,2.642325872927439,4.388647493359672,12,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr-999.000_maxday3,3974,4522,692,6.390921300075422,False,377,0.519893899204244,1.2479486917988487,25.48690921988384,0.0676045337397449,-10.459298333946723,0.5915119363395226,128,0.5546875,0.2013805909212121,-9.914117563468302,18.19567875732612,0.7139225317729228,57,0.8333333333333334,60,0.5833333333333334,2.0525042644363305,15.135789085888298,0.2522631514314716,-4.24822707539813,0.6,20,0.65,0.3236924338652764,-3.905072428713925,17.622702803333826,1.1643068427640932,60,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.400_maxday3,4771,4417,550,8.775461512222728,False,358,0.5111731843575419,1.4022198265778896,41.459183585262,0.1158077753778268,-8.235658169804951,0.0502793296089385,125,0.568,0.3906803952607697,-7.327899250025286,24.952689448136415,0.6018615730051823,53,1.0,52,0.4807692307692308,0.90599637541468,-1.488373291244049,-0.0286225632931547,-5.022490063589016,0.0769230769230769,19,0.3684210526315789,-0.5265440653964859,-4.422490063589015,8.256365979870354,-5.547241426893192,52,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr-0.200_maxday3,5526,4212,765,9.11178622539297,False,366,0.5519125683060109,1.4607945107304592,43.68676640817819,0.1193627497491207,-8.078780279873182,0.4808743169398907,124,0.5806451612903226,0.2559999937115823,-8.078780279873186,20.887579825130175,0.4781214436878077,54,1.0,66,0.4848484848484848,1.131942217228219,2.62075994913371,0.0397084840777834,-7.428519659946506,0.5303030303030303,22,0.5,-0.0205673017335538,-6.828519659946507,11.522051515088728,4.3964543638944615,66,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.242_maxday3,6323,4180,637,10.53659407087804,False,355,0.532394366197183,1.5412220294260284,53.331317059235055,0.1502290621386903,-6.190958508836793,0.276056338028169,124,0.6048387096774194,0.3952903090040921,-5.926544065396477,26.528392570991905,0.4974261659716155,54,1.0,52,0.4807692307692308,1.1499591330025831,2.4293379546418445,0.0467180375892662,-5.520582370789215,0.2115384615384615,18,0.4444444444444444,-0.2038095129184982,-4.930246276742505,8.956681820609102,3.686881771017149,52,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.166_maxday3,7126,4014,712,9.917689807350882,False,322,0.5683229813664596,1.5601595088613045,45.65100314559437,0.1417733016943924,-4.5044804004506105,0.4503105590062112,117,0.5897435897435898,0.2597844050517354,-4.504480400450575,20.63841551475617,0.4520911719931813,47,0.8333333333333334,50,0.48,0.8171088792670649,-2.8348123713604947,-0.0566962474272098,-4.956169365690745,0.46,19,0.5263157894736842,0.0920048109645358,-4.956169365690744,6.594932371573124,-2.3264087733637404,50,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
QQQ,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr0.050_maxday3,7752,4100,619,10.44213455922727,False,345,0.5826086956521739,1.587296797646962,50.09394649202934,0.1451998449044328,-5.249992041717867,0.5971014492753624,120,0.6583333333333333,0.3742624208892204,-4.466658598005541,19.96950106349781,0.3986410027941248,52,1.0,57,0.4912280701754385,1.4248141635952938,7.161754475054895,0.1256448153518402,-4.632600740038408,0.4210526315789473,20,0.55,0.6693734226635413,-4.178690115839912,11.279098640381848,1.5749071934353618,57,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_QQQ
SPY,202508,202508,202501,202501,202502,"202502,202503,202504,202505,202506,202507",202507,thr0.300_maxday3,740,4461,786,5.240033818465693,False,225,0.5333333333333333,1.2286810548027802,14.008304064266245,0.0622591291745166,-9.188002683553751,0.32,92,0.5217391304347826,0.2642506619362706,-8.588002683553754,11.592699596620584,0.8275591066153668,15,0.8333333333333334,14,0.3571428571428571,0.4709489798569161,-2.856875508772653,-0.2040625363409038,-3.090963774091498,0.0714285714285714,8,0.25,-0.6,-3.090963774091498,0.2340882653188447,-0.0819385600107621,14,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202509,202509,"202501,202502",202502,202503,"202503,202504,202505,202506,202507,202508",202508,thr-0.100_maxday1,1373,4614,820,4.396620103620312,False,125,0.528,1.146392316826314,4.889355705441874,0.0391148456435349,-6.1333715669939535,0.472,125,0.528,0.2666666501098216,-6.1333715669939535,8.335697557010718,1.7048662562498882,20,0.6666666666666666,21,0.4761904761904761,0.8664756416471293,-0.881260765128947,-0.0419647983394736,-1.7999999999999998,0.5238095238095238,21,0.4761904761904761,-0.6,-1.7999999999999998,4.058812516602119,-4.605688437755684,21,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202510,202510,"202501,202502,202503",202503,202504,"202504,202505,202506,202507,202508,202509",202509,thr0.200_maxday3,2094,4713,852,7.919424312203235,False,306,0.5522875816993464,1.4025299727934104,32.16080136491796,0.1051006580552874,-7.516521615307845,0.3235294117647059,117,0.6068376068376068,0.3888888572469183,-7.415072349960987,19.29078597759793,0.599822926012066,43,1.0,48,0.5,0.9600817007044274,-0.5510136556612961,-0.0114794511596103,-5.152301765393809,0.0416666666666666,18,0.5,-0.0404660116386532,-4.55230176539381,9.60371113763756,-17.429170836268504,48,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202511,202511,"202501,202502,202503,202504",202504,202505,"202505,202506,202507,202508,202509,202510",202510,thr0.318_maxday2,2740,4919,647,7.518236413971827,False,174,0.5632183908045977,1.528720624356026,23.97934953980672,0.13781235367705,-4.101630199534986,0.1724137931034483,95,0.5263157894736842,0.1008197201864903,-3.8179399606524864,16.20893463847574,0.6759538915585777,24,0.8333333333333334,29,0.5862068965517241,1.961770272188332,6.92474595975599,0.2387843434398617,-2.9999999999999982,0.2068965517241379,16,0.5625,0.4063096810257402,-2.999999999999999,10.424328804153651,1.5053734627574666,29,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202512,202512,"202501,202502,202503,202504,202505",202505,202506,"202506,202507,202508,202509,202510,202511",202511,thr0.200_maxday3,3554,4752,847,6.513012228113638,False,313,0.536741214057508,1.403701338584501,34.17997372739801,0.109201194017246,-14.782873214451074,0.2332268370607028,118,0.5508474576271186,0.1943828438680679,-14.782873214451026,25.244713403889453,0.7385820014148746,49,0.8333333333333334,50,0.58,1.5649900411270066,7.118874518200284,0.1423774903640056,-4.800000000000001,0.22,18,0.6111111111111112,0.4882317855464687,-3.8412088653457097,8.734364506777512,1.2269305329721754,50,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.004_maxday3,4331,4822,779,6.52091644411945,False,374,0.5187165775401069,1.2528939295246484,26.267513964317327,0.0702339945569982,-10.214658696879749,0.4786096256684492,126,0.5317460317460317,0.2521458388486011,-9.278944363725032,21.06592284283172,0.8019762689171261,54,0.8333333333333334,57,0.6842105263157895,2.192878112068076,12.37321109077263,0.2170738787854847,-1.4871414072952929,0.5087719298245614,19,0.8421052631578947,0.8345367364424016,-1.425925958303754,7.514359022818747,0.6073087226663909,57,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.400_maxday3,5201,4731,615,7.183426982110444,False,318,0.5377358490566038,1.3213037318061187,27.731566144960425,0.0872061828457875,-7.718929527954479,0.0188679245283018,114,0.5526315789473685,0.2348544537534975,-7.118929527954457,18.952742379398543,0.6834357021283044,45,0.8333333333333334,54,0.4259259259259259,0.928517665723192,-1.3251300013315124,-0.024539444469102,-6.235235409850443,0.0,19,0.3684210526315789,-0.8666667494508922,-5.011172112714043,10.043292426424024,-7.579099723296853,54,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.000_maxday2,5987,4560,799,8.611473411469213,False,247,0.5870445344129555,1.535678271305052,32.45169348198368,0.1313833744209865,-4.53061182101154,0.4615384615384615,124,0.5080645161290323,0.0239273739231921,-4.530611821011522,17.271056546344017,0.532208174464992,37,1.0,44,0.5909090909090909,1.5130273708633142,5.246193656851776,0.1192316740193585,-1.9104558934415696,0.4090909090909091,22,0.4090909090909091,-0.1865111096240778,-1.6468359013510674,7.27528064053241,1.3867731762113948,44,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr-0.200_maxday3,6807,4539,689,10.1969178674075,False,371,0.5714285714285714,1.52543367158187,48.68614211929384,0.1312294935830022,-5.572184881243803,0.2964959568733153,125,0.608,0.3227730014046402,-4.872780089939731,22.185626776888203,0.4556866864194659,55,1.0,54,0.4259259259259259,0.9184446737973706,-1.4895388736875883,-0.0275840532164368,-7.376468779947125,0.2222222222222222,18,0.4444444444444444,-0.4762463088242921,-6.642294513479254,10.93240165551634,-7.33945373876108,54,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.100_maxday3,7659,4376,775,9.26525838910937,False,339,0.5634218289085545,1.4748246828248404,41.44933931648309,0.1222694375117495,-6.106048726659175,0.2035398230088495,119,0.6050420168067226,0.3180326715524234,-5.640922110445526,22.371542443817305,0.5397321842213502,49,1.0,59,0.423728813559322,0.6603502027829493,-6.92885586322783,-0.1174382349699632,-8.34103230034335,0.135593220338983,20,0.35,-0.7293148747137148,-7.885522477547596,6.670454720377358,-0.9627065206794336,59,0.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
SPY,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr-999.000_maxday3,8306,4504,724,8.202866337538632,False,362,0.5441988950276243,1.375511145333687,36.28430701426687,0.1002328923046046,-8.368417697808692,0.2900552486187845,121,0.6033057851239669,0.3000401246838834,-8.368417697808628,23.341150901850376,0.6432850127927954,54,1.0,59,0.559322033898305,1.5235582567853396,8.167508805851297,0.1384323526415474,-3.987788102485954,0.0847457627118644,21,0.5714285714285714,0.4572684375861225,-3.2071428745203034,12.561938987059373,1.5380380095898831,59,1.0,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY
