ticker,trade_date,source_sha256,underlying_rows,required_window_minutes,expected_required_window_minutes,out_of_scope_invalid_rows
QQQ,20231213,01c70792b4485634e16f9609d3d77eca9e0ad4fc426181bf607b9b05f2ba75dd,391,390,390,0
QQQ,20231214,20a060351853c7010b8b932479761d4d9c4d37af730eceb1b7325b415b5205e3,391,390,390,0
QQQ,20231215,27a68028d14685e6e32c0931e0274a3f74fba02b032c2c213d31ccfb69304864,391,390,390,0
QQQ,20231218,a12443b3050bf2c44a3c66812e65563611481dacb5aa25c609e91a8f31db2f3a,391,390,390,0
QQQ,20231219,7bf582ad7c01610bedd81fffea9018ee284e115c8262f503e4d05725841c64f3,391,390,390,0
QQQ,20231220,b562fc5adf0deb52280a25cbbbda1a3402efeb7ea19787059771d6bc3497f8db,391,390,390,0
QQQ,20231221,4f8f49b4187fe9439ebdc5ba3a19c747ef8e3ec1113438dfcc341cf5e3dc7c05,391,390,390,0
QQQ,20231222,3a962b0818264569d7c163d8573544647ef8302639ac043626cf8077cb537d5e,391,390,390,0
QQQ,20231226,7c56a8ed2a513e03073045e3886a75a6e0072ccc87ae28fb54a69528b2fe5436,391,390,390,0
QQQ,20231227,30b3db72ace6cce31290e2e9cfb2865f0647755a02c42f12a5ab86d4223deceb,391,390,390,0
QQQ,20231228,a74b3f8341e9f998061c8370e67f9036fd4ed025beac4824b712a9b4965dd2ac,391,390,390,0
QQQ,20231229,0b3ca2d0507cf391117d0bd0dff69955c80788969f529a0b354bc8bc8790eea6,391,390,390,0
SPXW,20230103,d659203251cc22118952ca26fdc17c1d77296184d00e4c42e9933fe7e60b2000,391,390,390,0
SPXW,20230104,e3142457b6b09dff3df65a2e7fdff18fc669761893fc7f76d9602b3bd34a45b1,391,390,390,0
SPXW,20230105,5f140163c8aa777f9acade65a66366add35db3d8720a82db1c02bed39515299b,391,390,390,0
SPXW,20230106,9b0c64d5c6bc54775005c0541b3a9524087bd3ab6ecbb40ec6c231660a01cb78,391,390,390,0
SPXW,20230109,ec1322d72890a7cf4e2b94f7e4e2c65d5892f729600c237df744c2dde8645445,391,390,390,0
SPXW,20230110,7bd07a2e85a0d6fac239e26712a0cd536514a78bba2f735815786e83fa9596ba,391,390,390,0
SPXW,20230111,9fc26948abfe393479641a1a104941327f257fbc60cb32802ea2f5b64befc63f,391,390,390,0
SPXW,20230112,49fe2c845f250ca99ec86dedd91bcf8194ff283f380a094884c32bac669ccb1c,391,390,390,0
SPXW,20230113,8b351d1e555a8a15302026f24024fee3ffa81bca8beda3738c86b7cad4510d42,391,390,390,0
SPXW,20230117,b218446dc0ccb9f13bfb906ce33bfab2eab15fe3a14127a1121328fff1751c29,391,390,390,0
SPXW,20230118,eb94e84d81127aec49645f7d549b0111c894c38059b8a07ef3a5088a94f16d17,391,390,390,0
SPXW,20230119,b3531da5452ef8e3e46192d90f9099ce5d12b54790bc80b99b002e2557f499f7,391,390,390,0
SPXW,20230120,735984b0db68c3e4a57e1790447935074d5859cbe0813406913856ae37749beb,391,390,390,0
SPXW,20230123,0a16d0d349c31c2c27065f67137bf7849eaf415b4c04153592e7655514b6f674,391,390,390,0
SPXW,20230124,e2ace35d406bf11ab170f258d457633797b6d798cd8fb2ed6e7231b546857718,391,390,390,0
SPXW,20230125,48272c8b8453b0894ed66de532d11b310b2f995b6ca9ffc78ecada82fa5644fc,391,390,390,0
