capture_id,ticker,trade_date,role,expiration,rows,raw_bytes,parquet_bytes,greek_rows,native_extra_target_key_rows,revised_bid_ask_rows,crossed_native_rows,raw_sha256,parquet_sha256,manifest_sha256
3df6a2509ec91356206e10af,SPXW,20241231,back,20250103,3240,611135,44740,1080,0,0,0,67fca149d255cd506bfa4763c669afe0e614dd40dd9e810576784cc8f0f345ca,da5edae0ea9e968707b0d72e85495173daf5836cf6ec6195185994b96cbc49db,32d477368dd3b49969e40bc29a03226820b00e0a538e450a4c92d5882942e2c2
6d0c34b23a172a26cf575dae,SPXW,20241231,front,20241231,5988,1129183,75704,1996,0,0,0,75c3f9a1221bfc3e12c51ebb886e834a768fe39fc2619ccf8b1ae3cd9a649c45,38f0e0dbd36ae3390bc9f65ba4046709075e57e33979323775e285d1a767d657,238fa6920d62bcd528ea9c748539a413a37598ddd3115d8bbf7e4a1f986a79f3
ca8a1ac5d68cdc0a2979b291,SPXW,20250102,back,20250103,3240,610203,43361,1080,0,0,0,fb7b23214e6177efd57445ee83aef9dfbce3da5df886437b2c96d3284413b8c3,050424ab561c0225d6f7668d296f86a70e5239a1d9cede12b3268995321f9d7a,e0d944be2f3bd8b5702b90caec05e3cad96beded35a66912138ed8de8b57545b
76f24c45068d2cc80afaf486,SPXW,20250102,front,20250102,2532,476381,35156,844,0,0,0,c3801e4336d0c010ad609960e0b20a12e0a5894c0a76418a173ed9929ad4ed80,9ab44f72f12b6974a504ac6f1efa6a84af1165e0e577ad88106daf3a089ff242,f212aa09d149ef7f26552cb1378603eb85cc59948ba8a7c4265903410d524be0
398a479e5b17667e60338497,SPXW,20251231,back,20260102,3288,619254,44727,1096,0,0,0,c42b65711a9fb4a0517e522a72f53c707a816d4c28e792a63723eb7afadb9d92,e7c4c371d06af696f218ca19e247575212391b71583fb0d1c07603f20269dbb3,eb9eabe2d4cc33602337d3d30b96f3f41a463c287dc5253bffc15ff278c9e7b4
fb8bf2e11e93c53b2c3a18d7,SPXW,20251231,front,20251231,6744,1272091,73805,2248,0,0,0,08dbde32e3802745c563757351d2663a5793faee724e25a661e00ef573728285,ed7d514b75a5d156537c34bc128117530a383f76257766f3dac89bca42a2b597,ce7a3ba71f9d120748fef409441908622c3bda6e178b4c9cdf56a5385f59f9f8
8ba929e2fd1459a1a5ea4fdf,SPY,20240102,back,20240105,2424,460704,33787,808,0,0,0,0b6a19bd602e46e8d45a9a29a7c8006dc184445b15137b766929b15d28fb8517,6897f770bbe71b3603ed1c6f2e2118dc382722d39c9f7cc4aa59e6e661ff74e7,ed54ab0fa34e3da523b7c57b93c71fd4f1bbb8ef5ad726e5245b26a545eecf0a
3291a6f52fa274571e06fd81,SPY,20240102,front,20240102,1296,245369,19820,432,0,0,0,50598a8405cbb55ad1d554e0cc2da85cd4228ddcd27815bd5158625028386bf0,50fbfe49c474081303b0f8223f19bb0ab051909ea861b81f6191840eb2996266,cc1dff76a85824bb54c231b64fda568ef4e4af2b74db3a651a4998bf623a1df8
1a0a63713ff98151b528ef80,SPY,20241231,back,20250103,1632,308037,27979,544,0,0,0,71f9a2307441924a454562e51defdb0779845cf681258103d596104c30960c97,8cf4c847eca2a59380c9b7a6d231499e7c34f225bab962868964c80d5b575cf8,5a06374b3a415df2625fa7e70f0e894c0db5dbc18e38ae5859c8466cfd7e0416
5345f102d557290f05b195a3,SPY,20241231,front,20241231,3420,645560,41731,1140,0,0,0,a5b62b7832b25608c71afa65d14a87361d10a2eeb1b7e804bd8fa2737bbe8f9f,2529644e1eb425f1e2c7c1cef7619e5f2e7cafb8be3cae93e4adb7c16f8e56d6,fbd241859ec667769a7e688a7d5ccf9f1ba0be7ef307fa6b0b47ee6bc4a1d315
617ef695d31af832f85a9242,SPY,20250102,back,20250103,1632,308658,27191,544,0,0,0,b68061f0badea184666a3af4015a9911712ea4682571acc9f0da6fca18170bdf,94ce26e9a43fdb6830cbf1d00acbf38f3ffba0b0c0ebb680b3a4b8faca4e06cc,b47f1a3248324549c7040d6d30b30b450e6937783f978570fe31b03909369894
7c02c4b30408a57df72199fc,SPY,20250102,front,20250102,1332,251375,23470,444,0,0,0,82b211920122e803d0ef2f78be8720f76910e5086f28e92f3f6f09f528053af9,129ad7d7930069ce279f07fdf846dedad2fd94eb0480d6fd0837756314b07462,26057e4da7d49fd90bd62b1d0b59e5a07f1f2ba4f661072a2b973c9791c7423e
49e1fabea38e1813ca387062,SPY,20251231,back,20260102,1668,315215,22094,556,0,0,0,c9497fcbbf926e0e2c524e17da09e407e1e4039d1f854d4818923fc789993d7c,57f11dbcbc7d5226000fb27c5a2009847ea0387aec09eef15dc8c82e4f966356,c814ea629beaed41d9a71c1cb1a0ddda3282345f62bf8876ca7b813117f12388
85c1586a11e96cdd2b40a527,SPY,20251231,front,20251231,3048,575150,32064,1016,0,0,0,d641733504e304bb2a74abad6b6555a0025896e61a8db676d1c6b950209df3e4,2cb28453fdb696ba4f9f48a953c8847af41c8eb33a77f5439f4c7e21825fc41d,e0481199979d48281d9107fc3f32a3a94af5dde278e572f873b24c3cbc402737
