ticker,year,month,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2023,202310,qsize_call_local_log_bid_depth_change_5m,75,75,0.0,0.0,75,-1.8315527341385422,3.206738550468203
QQQ,2023,202310,qsize_call_local_log_ask_depth_change_5m,75,75,0.0,0.0,75,-2.119863456178752,1.8167759684609344
QQQ,2023,202310,qsize_call_relative_qimb_change_5m,75,75,0.0,0.0,75,-1.5275755822251527,1.00035604927722
QQQ,2023,202310,qsize_call_local_signable_fraction_change_5m,75,75,0.0,0.9733333333333334,3,-0.2727272727272727,0.5454545454545454
QQQ,2023,202310,qsize_call_local_qimb_change_15m,75,75,0.0,0.0,75,-1.0261815453863465,1.5262247244869211
QQQ,2023,202310,qsize_call_local_log_bid_depth_change_15m,75,75,0.0,0.0,75,-2.7898295311237717,2.2385032610119318
QQQ,2023,202310,qsize_call_local_log_ask_depth_change_15m,75,75,0.0,0.0,75,-3.215084029705924,2.7055579204601443
QQQ,2023,202310,qsize_call_relative_qimb_change_15m,75,75,0.0,0.0,75,-0.8770546207722796,1.130875887277619
QQQ,2023,202310,qsize_call_local_signable_fraction_change_15m,75,75,0.0,0.9466666666666667,5,-0.2727272727272727,0.4545454545454546
QQQ,2023,202310,qsize_put_local_qimb,75,74,0.013333333333333308,0.04054054054054054,71,-0.8085106382978723,0.8069797501077122
QQQ,2023,202310,qsize_put_local_log_bid_depth,75,74,0.013333333333333308,0.0,74,6.023447592961033,10.642659171407352
QQQ,2023,202310,qsize_put_local_log_ask_depth,75,74,0.013333333333333308,0.0,74,6.828712071641684,10.813679725948413
QQQ,2023,202310,qsize_put_relative_qimb,75,74,0.013333333333333308,0.02702702702702703,72,-0.8823765745751897,0.7331050639754911
QQQ,2023,202310,qsize_put_local_signable_fraction,75,74,0.013333333333333308,0.0,1,1.0,1.0
QQQ,2023,202310,qsize_put_local_qimb_change_1m,75,74,0.013333333333333308,0.02702702702702703,72,-1.3799392097264436,0.8547665553525298
QQQ,2023,202310,qsize_put_local_log_bid_depth_change_1m,75,74,0.013333333333333308,0.0,74,-2.518327356840399,3.372830939674899
QQQ,2023,202310,qsize_put_local_log_ask_depth_change_1m,75,74,0.013333333333333308,0.0,74,-2.0689471067849503,1.7212374829871884
QQQ,2023,202310,qsize_put_relative_qimb_change_1m,75,74,0.013333333333333308,0.02702702702702703,72,-1.16449203786135,0.9297127589961189
QQQ,2023,202310,qsize_put_local_signable_fraction_change_1m,75,74,0.013333333333333308,0.9864864864864865,2,0.0,0.18181818181818177
QQQ,2023,202310,qsize_put_local_qimb_change_5m,75,74,0.013333333333333308,0.0,73,-1.152454780361757,0.8877448877448877
QQQ,2023,202310,qsize_put_local_log_bid_depth_change_5m,75,74,0.013333333333333308,0.0,74,-2.5054765213309027,1.8709965971586335
QQQ,2023,202310,qsize_put_local_log_ask_depth_change_5m,75,74,0.013333333333333308,0.013513513513513514,74,-1.6666218687320002,1.94973733522027
QQQ,2023,202310,qsize_put_relative_qimb_change_5m,75,74,0.013333333333333308,0.0,73,-1.4158240469016006,0.9463689511155291
QQQ,2023,202310,qsize_put_local_signable_fraction_change_5m,75,74,0.013333333333333308,1.0,1,0.0,0.0
QQQ,2023,202310,qsize_put_local_qimb_change_15m,75,74,0.013333333333333308,0.0,73,-1.1889027951606175,1.2282255399887787
QQQ,2023,202310,qsize_put_local_log_bid_depth_change_15m,75,74,0.013333333333333308,0.0,74,-2.7088569780721494,2.2500014928357146
QQQ,2023,202310,qsize_put_local_log_ask_depth_change_15m,75,74,0.013333333333333308,0.0,74,-2.644300209782111,1.8178075299933862
QQQ,2023,202310,qsize_put_relative_qimb_change_15m,75,74,0.013333333333333308,0.0,73,-0.8678718793344747,0.9663105235275253
QQQ,2023,202310,qsize_put_local_signable_fraction_change_15m,75,74,0.013333333333333308,0.9864864864864865,2,0.0,0.36363636363636365
QQQ,2023,202310,qsize_call_valid,75,75,0.0,0.0,1,1.0,1.0
QQQ,2023,202310,qsize_put_valid,75,75,0.0,0.013333333333333334,2,0.0,1.0
QQQ,2023,202310,qsize_both_valid,75,75,0.0,0.013333333333333334,2,0.0,1.0
QQQ,2023,202310,qsize_call_shared_local_contracts,75,75,0.0,0.0,2,11.0,13.0
QQQ,2023,202310,qsize_put_shared_local_contracts,75,75,0.0,0.0,2,11.0,13.0
QQQ,2023,202311,qsize_call_local_qimb,70,67,0.042857142857142816,0.014925373134328358,67,-0.552101991360236,0.6523867809057528
QQQ,2023,202311,qsize_call_local_log_bid_depth,70,67,0.042857142857142816,0.0,67,8.037220031133012,10.851664473272605
QQQ,2023,202311,qsize_call_local_log_ask_depth,70,67,0.042857142857142816,0.0,66,8.702842538302868,10.98754442319504
QQQ,2023,202311,qsize_call_relative_qimb,70,67,0.042857142857142816,0.0,67,-0.6252781099221776,0.497457203440964
