ticker,trade_date,month,path,bytes,calendar_half_day,eligible_fixed_180m_clock
SPXW,20240820,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240820_20240820_greeks.parquet,4829452,False,True
SPXW,20240821,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240821_20240821_greeks.parquet,4818670,False,True
SPXW,20240822,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240822_20240822_greeks.parquet,4886243,False,True
SPXW,20240823,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240823_20240823_greeks.parquet,5939778,False,True
SPXW,20240826,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240826_20240826_greeks.parquet,4826267,False,True
SPXW,20240827,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240827_20240827_greeks.parquet,4763563,False,True
SPXW,20240828,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240828_20240828_greeks.parquet,4829873,False,True
SPXW,20240829,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240829_20240829_greeks.parquet,4712917,False,True
SPXW,20240830,202408,D:\ThetaData\data_options\SPXW\greeks\2024\08\SPXW_20240830_20240830_greeks.parquet,7476315,False,True
SPXW,20240903,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240903_20240903_greeks.parquet,4903140,False,True
SPXW,20240904,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240904_20240904_greeks.parquet,4732524,False,True
SPXW,20240905,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240905_20240905_greeks.parquet,4550602,False,True
SPXW,20240906,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240906_20240906_greeks.parquet,6010254,False,True
SPXW,20240909,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240909_20240909_greeks.parquet,4632530,False,True
SPXW,20240910,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240910_20240910_greeks.parquet,4599388,False,True
SPXW,20240911,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240911_20240911_greeks.parquet,4715184,False,True
SPXW,20240912,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240912_20240912_greeks.parquet,4650689,False,True
SPXW,20240913,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240913_20240913_greeks.parquet,5641811,False,True
SPXW,20240916,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240916_20240916_greeks.parquet,4531271,False,True
SPXW,20240917,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240917_20240917_greeks.parquet,4605839,False,True
SPXW,20240918,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240918_20240918_greeks.parquet,5088539,False,True
SPXW,20240919,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240919_20240919_greeks.parquet,4559636,False,True
SPXW,20240920,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240920_20240920_greeks.parquet,7639663,False,True
SPXW,20240923,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240923_20240923_greeks.parquet,4434121,False,True
SPXW,20240924,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240924_20240924_greeks.parquet,4246257,False,True
SPXW,20240925,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240925_20240925_greeks.parquet,4512615,False,True
SPXW,20240926,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240926_20240926_greeks.parquet,4456860,False,True
SPXW,20240927,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240927_20240927_greeks.parquet,5756202,False,True
SPXW,20240930,202409,D:\ThetaData\data_options\SPXW\greeks\2024\09\SPXW_20240930_20240930_greeks.parquet,9060185,False,True
SPXW,20241001,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241001_20241001_greeks.parquet,4572065,False,True
SPXW,20241002,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241002_20241002_greeks.parquet,4429971,False,True
SPXW,20241003,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241003_20241003_greeks.parquet,4400121,False,True
SPXW,20241004,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241004_20241004_greeks.parquet,5591999,False,True
SPXW,20241007,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241007_20241007_greeks.parquet,4010504,False,True
SPXW,20241008,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241008_20241008_greeks.parquet,4271814,False,True
SPXW,20241009,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241009_20241009_greeks.parquet,4303161,False,True
SPXW,20241010,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241010_20241010_greeks.parquet,4152857,False,True
SPXW,20241011,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241011_20241011_greeks.parquet,5557243,False,True
SPXW,20241014,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241014_20241014_greeks.parquet,4383203,False,True
SPXW,20241015,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241015_20241015_greeks.parquet,4606319,False,True
SPXW,20241016,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241016_20241016_greeks.parquet,4417276,False,True
SPXW,20241017,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241017_20241017_greeks.parquet,4280522,False,True
SPXW,20241018,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241018_20241018_greeks.parquet,8101567,False,True
SPXW,20241021,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241021_20241021_greeks.parquet,3954195,False,True
SPXW,20241022,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241022_20241022_greeks.parquet,4175090,False,True
SPXW,20241023,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241023_20241023_greeks.parquet,4163949,False,True
SPXW,20241024,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241024_20241024_greeks.parquet,4244955,False,True
SPXW,20241025,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241025_20241025_greeks.parquet,5575782,False,True
SPXW,20241028,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241028_20241028_greeks.parquet,4243759,False,True
SPXW,20241029,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241029_20241029_greeks.parquet,4240437,False,True
SPXW,20241030,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241030_20241030_greeks.parquet,4155621,False,True
SPXW,20241031,202410,D:\ThetaData\data_options\SPXW\greeks\2024\10\SPXW_20241031_20241031_greeks.parquet,7944061,False,True
SPXW,20241101,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241101_20241101_greeks.parquet,5352953,False,True
SPXW,20241104,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241104_20241104_greeks.parquet,4493233,False,True
SPXW,20241105,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241105_20241105_greeks.parquet,4657766,False,True
SPXW,20241106,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241106_20241106_greeks.parquet,4852544,False,True
SPXW,20241107,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241107_20241107_greeks.parquet,4754511,False,True
SPXW,20241108,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241108_20241108_greeks.parquet,5495739,False,True
SPXW,20241111,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241111_20241111_greeks.parquet,4796619,False,True
SPXW,20241112,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241112_20241112_greeks.parquet,4874141,False,True
SPXW,20241113,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241113_20241113_greeks.parquet,4861611,False,True
SPXW,20241114,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241114_20241114_greeks.parquet,4780260,False,True
SPXW,20241115,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241115_20241115_greeks.parquet,8617074,False,True
SPXW,20241118,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241118_20241118_greeks.parquet,4544342,False,True
SPXW,20241119,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241119_20241119_greeks.parquet,4402015,False,True
SPXW,20241120,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241120_20241120_greeks.parquet,4389040,False,True
SPXW,20241121,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241121_20241121_greeks.parquet,4471928,False,True
SPXW,20241122,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241122_20241122_greeks.parquet,5626622,False,True
SPXW,20241125,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241125_20241125_greeks.parquet,4395715,False,True
SPXW,20241126,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241126_20241126_greeks.parquet,4305426,False,True
