ticker,year,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2022,qsize_call_relative_qimb_change_15m,197,194,0.015228426395939132,0.0,194,-1.2979239812470431,1.7131816435385554
QQQ,2022,qsize_put_local_qimb,197,194,0.015228426395939132,0.015463917525773196,188,-0.8888888888888888,0.8571428571428571
QQQ,2022,qsize_put_local_log_bid_depth,197,194,0.015228426395939132,0.0,190,5.351858133476067,9.200189020919808
QQQ,2022,qsize_put_local_log_ask_depth,197,194,0.015228426395939132,0.0,189,6.021023349349527,9.424887076064874
QQQ,2022,qsize_put_relative_qimb,197,194,0.015228426395939132,0.015463917525773196,192,-0.768693923201193,1.0389610389610389
QQQ,2022,qsize_put_local_qimb_change_1m,197,194,0.015228426395939132,0.0,194,-1.1642512077294684,1.5613066424633588
QQQ,2022,qsize_put_local_log_bid_depth_change_1m,197,194,0.015228426395939132,0.0,194,-1.869594941180214,1.4813827868485747
QQQ,2022,qsize_put_local_log_ask_depth_change_1m,197,194,0.015228426395939132,0.0,194,-1.7263825675611875,1.7760504707170703
QQQ,2022,qsize_put_relative_qimb_change_1m,197,194,0.015228426395939132,0.0,194,-1.102017180915356,1.30366692131398
QQQ,2022,qsize_put_local_qimb_change_5m,197,194,0.015228426395939132,0.0,194,-1.3829689929571023,1.5139275874112306
QQQ,2022,qsize_put_local_log_bid_depth_change_5m,197,194,0.015228426395939132,0.0,194,-2.4215123438877075,2.849773752625362
QQQ,2022,qsize_put_local_log_ask_depth_change_5m,197,194,0.015228426395939132,0.0,194,-1.9318794259464545,2.0548592982745006
QQQ,2022,qsize_put_relative_qimb_change_5m,197,194,0.015228426395939132,0.0,194,-1.195080273229475,1.230641057458794
QQQ,2022,qsize_put_local_qimb_change_15m,197,194,0.015228426395939132,0.005154639175257732,194,-1.5128205128205128,1.198616600790514
QQQ,2022,qsize_put_local_log_bid_depth_change_15m,197,194,0.015228426395939132,0.0,194,-2.1001462150415264,3.396789533207735
QQQ,2022,qsize_put_local_log_ask_depth_change_15m,197,194,0.015228426395939132,0.0,194,-2.3185384890141796,1.998373718591055
QQQ,2022,qsize_put_relative_qimb_change_15m,197,194,0.015228426395939132,0.0,194,-1.0641208948095806,1.1665778156875288
QQQ,2022,qsize_call_local_signable_fraction,197,194,0.015228426395939132,0.0,4,0.7,1.0
QQQ,2022,qsize_call_local_signable_fraction_change_1m,197,194,0.015228426395939132,0.9948453608247423,2,-0.09999999999999998,0.0
QQQ,2022,qsize_call_local_signable_fraction_change_5m,197,194,0.015228426395939132,0.9896907216494846,3,-0.10000000000000009,0.0
QQQ,2022,qsize_call_local_signable_fraction_change_15m,197,194,0.015228426395939132,0.979381443298969,4,-0.11111111111111116,0.0
QQQ,2022,qsize_put_local_signable_fraction,197,194,0.015228426395939132,0.0,3,0.8,1.0
QQQ,2022,qsize_put_local_signable_fraction_change_1m,197,194,0.015228426395939132,1.0,1,0.0,0.0
QQQ,2022,qsize_put_local_signable_fraction_change_5m,197,194,0.015228426395939132,1.0,1,0.0,0.0
QQQ,2022,qsize_put_local_signable_fraction_change_15m,197,194,0.015228426395939132,0.9948453608247423,2,-0.09999999999999998,0.0
QQQ,2022,qsize_call_valid,197,197,0.0,0.015228426395939087,2,0.0,1.0
QQQ,2022,qsize_put_valid,197,197,0.0,0.015228426395939087,2,0.0,1.0
QQQ,2022,qsize_both_valid,197,197,0.0,0.015228426395939087,2,0.0,1.0
QQQ,2022,qsize_call_shared_local_contracts,197,197,0.0,0.015228426395939087,6,0.0,11.0
QQQ,2022,qsize_put_shared_local_contracts,197,197,0.0,0.015228426395939087,6,0.0,11.0
QQQ,2023,qsize_call_local_qimb,887,878,0.01014656144306647,0.0056947608200455585,864,-0.9455645161290323,0.9161784587652095
QQQ,2023,qsize_call_local_log_bid_depth,887,878,0.01014656144306647,0.0,869,5.484796933490655,11.22090064308431
QQQ,2023,qsize_call_local_log_ask_depth,887,878,0.01014656144306647,0.0,870,6.29156913955832,11.616735779687223
QQQ,2023,qsize_call_relative_qimb,887,878,0.01014656144306647,0.0056947608200455585,874,-1.0394944707740916,1.1665964172813488
QQQ,2023,qsize_call_local_qimb_change_1m,887,878,0.01014656144306647,0.0,878,-1.419789426016076,1.5389783485581687
QQQ,2023,qsize_call_local_log_bid_depth_change_1m,887,878,0.01014656144306647,0.0,878,-2.274653708304868,2.6691951119067108
QQQ,2023,qsize_call_local_log_ask_depth_change_1m,887,878,0.01014656144306647,0.0,878,-2.363688312094512,2.8184446092873294
QQQ,2023,qsize_call_relative_qimb_change_1m,887,878,0.01014656144306647,0.0011389521640091116,878,-1.2795726985132228,1.5100026572257348
QQQ,2023,qsize_call_local_qimb_change_5m,887,878,0.01014656144306647,0.0,878,-1.6468011860340366,1.5048722191579333
