date,daily_pnl,cum_pnl
20250407,-3000.0,500.0
20250408,-3000.0,-2500.0
20250409,-3000.0,-5500.0
20250410,-3000.0,-8500.0
20250411,-3000.0,-11500.0
20250414,-3000.0,-14500.0
20250415,-3000.0,-17500.0
20250416,-3000.0,-20500.0
20250417,1000.0,-19500.0
20250418,0.0,-19500.0
20250421,-3000.0,-22500.0
20250422,-3000.0,-25500.0
20250423,1000.0,-24500.0
20250424,-3000.0,-27500.0
20250425,-1500.0,-29000.0
20250428,-3000.0,-32000.0
20250429,-3000.0,-35000.0
20250430,-3000.0,-38000.0
20250501,-3000.0,-41000.0
20250502,-3000.0,-44000.0
20250505,1000.0,-43000.0
20250506,1000.0,-42000.0
20250507,1000.0,-41000.0
20250508,1000.0,-40000.0
20250509,5000.0,-35000.0
20250512,-3000.0,-38000.0
20250513,1000.0,-37000.0
20250514,-3000.0,-40000.0
20250515,-3000.0,-43000.0
20250516,-3000.0,-46000.0
20250519,1000.0,-45000.0
20250520,1000.0,-44000.0
20250521,1000.0,-43000.0
20250522,1000.0,-42000.0
20250523,5000.0,-37000.0
20250526,0.0,-37000.0
20250527,1000.0,-36000.0
20250528,-3000.0,-39000.0
20250529,1000.0,-38000.0
20250530,1000.0,-37000.0
20250602,1000.0,-36000.0
20250603,1000.0,-35000.0
20250604,1000.0,-34000.0
20250605,1000.0,-33000.0
20250606,2500.0,-30500.0
20250609,2500.0,-28000.0
20250610,0.0,-28000.0
20250611,0.0,-28000.0
20250612,1000.0,-27000.0
20250613,2500.0,-24500.0
20250616,-1500.0,-26000.0
20250617,0.0,-26000.0
20250618,2500.0,-23500.0
20250619,0.0,-23500.0
20250620,5000.0,-18500.0
20250623,2500.0,-16000.0
20250624,-1500.0,-17500.0
20250625,1000.0,-16500.0
20250626,-1500.0,-18000.0
20250627,-3000.0,-21000.0
20250630,0.0,-21000.0
20250701,-1500.0,-22500.0
20250702,2500.0,-20000.0
20250703,-1500.0,-21500.0
20250704,0.0,-21500.0
20250707,2500.0,-19000.0
20250708,-1500.0,-20500.0
20250709,1000.0,-19500.0
20250710,-1500.0,-21000.0
20250711,-1500.0,-22500.0
20250714,-1500.0,-24000.0
20250715,2500.0,-21500.0
20250716,-1500.0,-23000.0
20250717,-1500.0,-24500.0
20250718,2500.0,-22000.0
20250721,-1500.0,-23500.0
20250722,2500.0,-21000.0
20250723,2500.0,-18500.0
20250724,2500.0,-16000.0
20250725,-1500.0,-17500.0
20250728,2500.0,-15000.0
20250729,2500.0,-12500.0
20250730,2500.0,-10000.0
20250731,2500.0,-7500.0
20250801,2500.0,-5000.0
20250804,-1500.0,-6500.0
20250805,2500.0,-4000.0
20250806,-1500.0,-5500.0
20250807,2500.0,-3000.0
20250808,1000.0,-2000.0
20250811,2500.0,500.0
20250812,2500.0,3000.0
20250813,2500.0,5500.0
20250814,-1500.0,4000.0
20250815,2500.0,6500.0
20250818,0.0,6500.0
20250819,-1500.0,5000.0
20250820,2500.0,7500.0
20250821,2500.0,10000.0
20250822,2500.0,12500.0
20250825,-1500.0,11000.0
20250826,-1500.0,9500.0
20250827,2500.0,12000.0
20250828,2500.0,14500.0
20250829,2500.0,17000.0
20250901,0.0,17000.0
20250902,1000.0,18000.0
20250903,2500.0,20500.0
20250904,-3000.0,17500.0
20250905,2500.0,20000.0
20250908,0.0,20000.0
20250909,2500.0,22500.0
20250910,0.0,22500.0
20250911,-1500.0,21000.0
20250912,-1500.0,19500.0
20250915,0.0,19500.0
20250916,-3000.0,16500.0
20250917,0.0,16500.0
20250918,2500.0,19000.0
20250919,2500.0,21500.0
20250922,2500.0,24000.0
20250923,-1500.0,22500.0
20250924,2500.0,25000.0
20250925,2500.0,27500.0
20250926,2500.0,30000.0
20250929,0.0,30000.0
20250930,-1500.0,28500.0
20251001,1000.0,29500.0
20251002,2500.0,32000.0
20251003,0.0,32000.0
20251006,1000.0,33000.0
20251007,2500.0,35500.0
20251008,-1500.0,34000.0
20251009,0.0,34000.0
20251010,2500.0,36500.0
20251013,2500.0,39000.0
20251014,-1500.0,37500.0
20251015,2500.0,40000.0
20251016,2500.0,42500.0
20251017,-1500.0,41000.0
20251020,2500.0,43500.0
20251021,2500.0,46000.0
20251022,2500.0,48500.0
20251023,-1500.0,47000.0
20251024,0.0,47000.0
20251027,0.0,47000.0
20251028,-1500.0,45500.0
20251029,2500.0,48000.0
20251030,2500.0,50500.0
20251031,2500.0,53000.0
20251103,1000.0,54000.0
20251104,-1500.0,52500.0
20251105,-1500.0,51000.0
20251106,2500.0,53500.0
20251107,2500.0,56000.0
20251110,0.0,56000.0
20251111,2500.0,58500.0
20251112,1000.0,59500.0
20251113,2500.0,62000.0
20251114,-1500.0,60500.0
20251117,2500.0,63000.0
20251118,2500.0,65500.0
20251119,2500.0,68000.0
20251120,2500.0,70500.0
20251121,-1500.0,69000.0
20251124,-1500.0,67500.0
20251125,-1500.0,66000.0
20251126,2500.0,68500.0
20251127,0.0,68500.0
20251128,2500.0,71000.0
20251201,2500.0,73500.0
20251202,-1500.0,72000.0
20251203,-1500.0,70500.0
20251204,1000.0,71500.0
20251205,2500.0,74000.0
20251208,2500.0,76500.0
20251209,-1500.0,75000.0
20251210,2500.0,77500.0
20251211,2500.0,80000.0
20251212,2500.0,82500.0
20251215,2500.0,85000.0
20251216,2500.0,87500.0
20251217,-1500.0,86000.0
20251218,2500.0,88500.0
20251219,2500.0,91000.0
20251222,-1500.0,89500.0
20251223,2500.0,92000.0
20251224,2500.0,94500.0
20251225,0.0,94500.0
20251226,-1500.0,93000.0
20251229,-1500.0,91500.0
20251230,-1500.0,90000.0
20251231,2500.0,92500.0
20260101,0.0,92500.0
20260102,1000.0,93500.0
20260105,-3000.0,90500.0
20260106,-1500.0,89000.0
