status,ticker,test_month,train_months,inner_months,feature_hash,weight_cap_q95_train,weight_mean,scientific_mask_rows,scientific_mask_sha256,sci_cell_degenerate,sci_cell_degenerate_reason,sci_c0_accuracy,sci_c0_balanced_accuracy,sci_c0_roc_auc,sci_c0_spearman,sci_p1_accuracy,sci_p1_balanced_accuracy,sci_p1_roc_auc,sci_p1_spearman,sci_ba_delta,control_valid_inner,control_trade_threshold,control_side_margin,control_selection_details_reason,control_test_metrics_trades,control_test_metrics_win_rate,control_test_metrics_profit_factor,control_test_metrics_pnl_return,control_test_metrics_avg_return,control_test_metrics_max_drawdown,control_test_metrics_call_rate,control_test_metrics_days_with_trades,control_test_metrics_daily_win_rate,control_test_metrics_median_daily_return,control_test_metrics_daily_max_drawdown,control_test_metrics_top5_day_return,control_test_metrics_top5_share_of_pnl,control_test_metrics_min_month_trades,control_test_metrics_positive_month_rate,control_diagnostics_pnl,control_diagnostics_min_hold_minutes,control_diagnostics_gross_profit,control_diagnostics_gross_loss,control_diagnostics_outer_trade_records,weighted_valid_inner,weighted_trade_threshold,weighted_side_margin,weighted_selection_details_reason,weighted_test_metrics_trades,weighted_test_metrics_win_rate,weighted_test_metrics_profit_factor,weighted_test_metrics_pnl_return,weighted_test_metrics_avg_return,weighted_test_metrics_max_drawdown,weighted_test_metrics_call_rate,weighted_test_metrics_days_with_trades,weighted_test_metrics_daily_win_rate,weighted_test_metrics_median_daily_return,weighted_test_metrics_daily_max_drawdown,weighted_test_metrics_top5_day_return,weighted_test_metrics_top5_share_of_pnl,weighted_test_metrics_min_month_trades,weighted_test_metrics_positive_month_rate,weighted_diagnostics_pnl,weighted_diagnostics_min_hold_minutes,weighted_diagnostics_gross_profit,weighted_diagnostics_gross_loss,weighted_diagnostics_outer_trade_records,control_selection_details_trade_threshold,control_selection_details_side_margin,control_selection_details_rank_key,control_selection_details_total_trades,control_selection_details_total_pnl,control_selection_details_gate_details_months_202407_trades,control_selection_details_gate_details_months_202407_pf,control_selection_details_gate_details_months_202407_wr,control_selection_details_gate_details_months_202407_pnl,control_selection_details_gate_details_months_202407_min_hold_minutes,control_selection_details_gate_details_months_202407_pass,control_selection_details_gate_details_months_202408_trades,control_selection_details_gate_details_months_202408_pf,control_selection_details_gate_details_months_202408_wr,control_selection_details_gate_details_months_202408_pnl,control_selection_details_gate_details_months_202408_min_hold_minutes,control_selection_details_gate_details_months_202408_pass,control_selection_details_gate_details_months_202409_trades,control_selection_details_gate_details_months_202409_pf,control_selection_details_gate_details_months_202409_wr,control_selection_details_gate_details_months_202409_pnl,control_selection_details_gate_details_months_202409_min_hold_minutes,control_selection_details_gate_details_months_202409_pass,weighted_selection_details_trade_threshold,weighted_selection_details_side_margin,weighted_selection_details_rank_key,weighted_selection_details_total_trades,weighted_selection_details_total_pnl,weighted_selection_details_gate_details_months_202407_trades,weighted_selection_details_gate_details_months_202407_pf,weighted_selection_details_gate_details_months_202407_wr,weighted_selection_details_gate_details_months_202407_pnl,weighted_selection_details_gate_details_months_202407_min_hold_minutes,weighted_selection_details_gate_details_months_202407_pass,weighted_selection_details_gate_details_months_202408_trades,weighted_selection_details_gate_details_months_202408_pf,weighted_selection_details_gate_details_months_202408_wr,weighted_selection_details_gate_details_months_202408_pnl,weighted_selection_details_gate_details_months_202408_min_hold_minutes,weighted_selection_details_gate_details_months_202408_pass,weighted_selection_details_gate_details_months_202409_trades,weighted_selection_details_gate_details_months_202409_pf,weighted_selection_details_gate_details_months_202409_wr,weighted_selection_details_gate_details_months_202409_pnl,weighted_selection_details_gate_details_months_202409_min_hold_minutes,weighted_selection_details_gate_details_months_202409_pass
completed,SPXW,202402,"202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310","202311,202312,202401",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.743953620522833,1.0,603,80c9c8177f73e7bf1e71d44d575a10532e8f34c5e15efeebebc3475091f115af,False,,0.4079601990049751,0.38466023772146224,0.4150033639829558,-0.060694692731513844,0.41956882255389716,0.3953296703296703,0.4269679300291545,-0.04642020291822685,0.010669432608208074,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202403,"202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311","202312,202401,202402",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.720042547092432,0.9999999999999999,544,347cdfd22f442495992cea954603aa278eb4588bb8743020abe6699806b2f5e4,False,,0.5955882352941176,0.5657718213628757,0.6388946516742045,0.23729195858171998,0.5863970588235294,0.5583516589906367,0.6034189452719804,0.17871999098371227,-0.007420162372239081,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202404,"202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312","202401,202402,202403",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.759980346206968,1.0000000000000002,611,99ef3ce07d3b6a4844899a0437af06913d7ae95220c42e137f8f52f7f7caef53,False,,0.4746317512274959,0.49235149377231946,0.46217663966553435,-0.042050803863840996,0.4877250409165303,0.5064944255726853,0.45723369044508316,-0.04498806101400475,0.014142931800365854,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202405,"202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401","202402,202403,202404",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7200507804497844,0.9999999999999999,593,0342f23550eb2f9fd2c0b57fbfe683d2f4e309548f58f9c4a2bbf59fdec194e8,False,,0.47217537942664417,0.4787568306010929,0.4339253187613843,-0.10030459041309202,0.4839797639123103,0.49129667577413483,0.4373178506375228,-0.05291089875133171,0.012539845173041908,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202406,"202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402","202403,202404,202405",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.741345179519414,0.9999999999999999,580,724306f6b446563131fa7f5ba0bdf250ebf5b221aa67991ad2a47b2a45f06d45,False,,0.6344827586206897,0.6242975265776569,0.6682893653577693,0.28316862794107867,0.6448275862068965,0.6322439775208505,0.6602713247664387,0.26501745910267316,0.007946450943193573,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202407,"202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403","202404,202405,202406",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7270891820473917,1.0,635,cb420c32c18b731281cc6ff1721a44ca8114b2491546457de5b398dc94cb801c,False,,0.5338582677165354,0.5339037698412699,0.5606547619047619,0.11811837306826861,0.5055118110236221,0.5056051587301588,0.5514583333333334,0.09612272779613934,-0.028298611111111094,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202408,"202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404","202405,202406,202407",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.8280082217169906,1.0000000000000002,617,3e704620488929421d693bb3f833857dbb4f0477a2d794c35d18e294d633e586,False,,0.5850891410048622,0.57352972231021,0.5972019850068631,0.1959695653471683,0.5883306320907618,0.5742899377045718,0.6014887551472917,0.22037646393284888,0.000760215394361774,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202409,"202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405","202406,202407,202408",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.8244315645407028,1.0,566,f467ace94f3ee5fd66bd85f89502da592bcb84a1e56d67375dc3a08944229411,False,,0.4469964664310954,0.4528300706735881,0.37599599724810806,-0.20425928677033384,0.4540636042402827,0.45990993808243164,0.39988742260303956,-0.17282758011139837,0.007079867408843532,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202410,"202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406","202407,202408,202409",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.8634047495042636,1.0,609,808cb866bcfeffe68b292d3fad585b6800faa56016f7c4e1f53c1ad39e8ff840,False,,0.4663382594417077,0.46593826175119185,0.43891968850443297,-0.08790829766371921,0.45648604269293924,0.45619323942446666,0.44195051448540673,-0.07603537734339146,-0.009745022326725195,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202411,"202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407","202408,202409,202410",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.8551419644605014,1.0000000000000002,523,f2387f4c9120871e5703aa323a2e1f0ca7e06e14ba9cd832641ce5430bcb6742,False,,0.5602294455066922,0.5600512820512821,0.5679560439560439,0.10569678385127287,0.5659655831739961,0.564871794871795,0.5693772893772895,0.1031582521698732,0.004820512820512879,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202412,"202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408","202409,202410,202411",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.878021843145766,1.0000000000000002,613,b5a749301e5a86772084504cd172310fe615e47903cb6f6d8a8f803714755c78,False,,0.5073409461663948,0.5037924789602641,0.5107702141259188,0.0029808317517436575,0.5269168026101142,0.52320230105465,0.5260147011824865,0.010258039245564636,0.01940982209438591,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202501,"202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409","202410,202411,202412",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.880792268228079,1.0,590,01fe191e159d1dc9b19502624e63dfcfc27271b5b315854843d92972a3816b75,False,,0.5525423728813559,0.548047632234838,0.5497092218222099,0.06615619528103556,0.49830508474576274,0.49358441798209174,0.5291816671282193,0.04012613653196755,-0.05446321425274625,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202502,"202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410","202411,202412,202501",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.866299633644693,1.0,457,c3f9b098af85490031dc9ff498138d01f7d760207277df5527b6a7e40ed167b8,False,,0.5886214442013129,0.5886194744503179,0.6211790393013101,0.11069263678742837,0.5711159737417943,0.571113920171608,0.6108940473454378,0.09462512545376327,-0.017505554278709923,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
