min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
10,0.8,0.75,180,False,-7.11526063392801,469,0.47334754797441364,0.8781387199135623,-0.04759687341125353,85.70788912579957,75.0,46,78.16666666666667,172,0.48255813953488375,0.9210666057907755,-0.029881355310587974,84.59302325581395,72.0,10,28.666666666666668,139,0.4676258992805755,0.8576660589831359,-0.05757953502779714,85.01438848920863,79.0,18,23.166666666666668,158,0.46835443037974683,0.8515541575921041,-0.05809990599742388,87.53164556962025,75.5,18,26.333333333333332
10,1.0,0.75,180,False,-7.76624636584415,469,0.48187633262260127,0.8541310610068756,-0.059336678548035746,117.50106609808103,180.0,46,78.16666666666667,172,0.4883720930232558,0.8679990187384509,-0.053128201593069364,114.48255813953489,179.0,10,28.666666666666668,139,0.48201438848920863,0.8557460409030037,-0.05997329327017401,121.13669064748201,180.0,18,23.166666666666668,158,0.47468354430379744,0.8376113004942124,-0.0655352139270041,117.5886075949367,180.0,18,26.333333333333332
0,0.6,0.75,180,False,-8.698611196968002,469,0.43710021321961623,0.9716060997977133,-0.009377847991863838,53.53091684434968,40.0,46,78.16666666666667,172,0.436046511627907,0.9658818452202235,-0.011311230013101383,52.9593023255814,38.5,10,28.666666666666668,139,0.4244604316546763,0.9287991170401999,-0.02411577239772429,53.94244604316547,43.0,18,23.166666666666668,158,0.44936708860759494,1.0177059861622741,0.005692488717423917,53.79113924050633,38.5,18,26.333333333333332
0,0.8,1.0,180,False,-11.755597059833999,469,0.42857142857142855,0.9698583211130337,-0.012646609879297038,93.08315565031982,85.0,46,78.16666666666667,172,0.436046511627907,1.0263107880807985,0.010632918776193235,91.93023255813954,82.0,10,28.666666666666668,139,0.4316546762589928,0.9775407237702746,-0.00952065368453387,91.39568345323741,86.0,18,23.166666666666668,158,0.4177215189873418,0.9058214480977483,-0.040738931650286976,95.82278481012658,86.5,18,26.333333333333332
20,0.6,0.5,180,False,-12.244478110504389,469,0.488272921108742,0.799092321137522,-0.060489258872607615,49.43923240938166,36.0,46,78.16666666666667,172,0.5058139534883721,0.8525349684996266,-0.04306995087565063,48.33139534883721,35.0,10,28.666666666666668,139,0.4676258992805755,0.7412084481656241,-0.080950304771825,50.719424460431654,39.0,18,23.166666666666668,158,0.4873417721518987,0.7955551870708159,-0.061451509476945484,49.51898734177215,32.5,18,26.333333333333332
20,0.8,0.5,180,False,-13.373390053621423,469,0.5415778251599147,0.767296900276287,-0.08031481629254608,75.88699360341151,58.0,46,78.16666666666667,172,0.5523255813953488,0.8173633201236224,-0.06038268457898541,74.23837209302326,53.0,10,28.666666666666668,139,0.5179856115107914,0.6923233140744838,-0.1142275066458029,76.82014388489209,67.0,18,23.166666666666668,158,0.5506329113924051,0.7864344222978419,-0.07217850423956974,76.86075949367088,59.5,18,26.333333333333332
0,1.0,1.0,180,False,-13.427823923382796,469,0.4349680170575693,0.9351625373961622,-0.028448507853183407,126.0682302771855,180.0,46,78.16666666666667,172,0.4418604651162791,0.9685408542127726,-0.013493666525241829,122.69186046511628,180.0,10,28.666666666666668,139,0.4460431654676259,0.9753248908721907,-0.010752264758135746,128.30935251798562,180.0,18,23.166666666666668,158,0.4177215189873418,0.8666383275773978,-0.06029667556595291,127.77215189873418,180.0,18,26.333333333333332
10,0.6,0.75,180,False,-15.083469210628646,469,0.42857142857142855,0.9377099781719762,-0.020891707266917144,54.682302771855014,40.0,46,78.16666666666667,172,0.43023255813953487,0.942809096891151,-0.019160067222403706,54.02906976744186,40.0,10,28.666666666666668,139,0.4172661870503597,0.9013809778121231,-0.03382800261355163,55.03597122302158,44.0,18,23.166666666666668,158,0.43670886075949367,0.9653714174828965,-0.011396118877512799,55.08227848101266,39.0,18,26.333333333333332
20,1.0,0.5,180,False,-15.429415444713744,469,0.5522388059701493,0.7477536423812833,-0.09085707003504691,106.20042643923242,104.0,46,78.16666666666667,172,0.5581395348837209,0.7647280501594138,-0.08334545178645704,102.91279069767442,84.5,10,28.666666666666668,139,0.539568345323741,0.7069431273480364,-0.11102322909805122,111.5179856115108,131.0,18,23.166666666666668,158,0.5569620253164557,0.7678983043369084,-0.08129316009200799,105.10126582278481,102.5,18,26.333333333333332
20,0.4,0.5,180,False,-15.890048269491821,469,0.42857142857142855,0.9268871608039165,-0.016711506101961964,31.47121535181237,22.0,46,78.16666666666667,172,0.45930232558139533,1.043758623889398,0.00946407446910235,32.122093023255815,22.0,10,28.666666666666668,139,0.38848920863309355,0.7941176470588237,-0.050359712230215826,30.992805755395683,24.0,18,23.166666666666668,158,0.43037974683544306,0.9315134119303955,-0.015604539053833993,31.18354430379747,21.0,18,26.333333333333332
20,1.0,0.75,180,False,-16.9520945417992,469,0.4669509594882729,0.8073233840778773,-0.08024977874718063,121.5863539445629,180.0,46,78.16666666666667,172,0.47674418604651164,0.8344116959530079,-0.06759858274491996,118.25581395348837,179.5,10,28.666666666666668,139,0.4748201438848921,0.8309329710804791,-0.07129039346258337,124.45323741007195,180.0,18,23.166666666666668,158,0.44936708860759494,0.757919922494927,-0.10190395765191392,122.68987341772151,180.0,18,26.333333333333332
20,0.5,0.5,180,False,-16.98867818818352,469,0.4562899786780384,0.8312815443078888,-0.04581239014251411,38.09594882729211,27.0,46,78.16666666666667,172,0.4883720930232558,0.9392686547428546,-0.015535925530897648,37.16860465116279,25.0,10,28.666666666666668,139,0.4172661870503597,0.7160493827160493,-0.08273381294964029,37.26618705035971,32.0,18,23.166666666666668,158,0.45569620253164556,0.8293087639213441,-0.04629007459192862,39.835443037974684,27.0,18,26.333333333333332
20,0.8,0.75,180,False,-17.146400604592465,469,0.4584221748400853,0.8296462179802738,-0.0681277611071965,89.27505330490405,77.0,46,78.16666666666667,172,0.47093023255813954,0.8861103131463995,-0.04369450691719476,87.80813953488372,74.5,10,28.666666666666668,139,0.460431654676259,0.8324843652351567,-0.0687306141644878,87.93525179856115,81.0,18,23.166666666666668,158,0.4430379746835443,0.7694088435157755,-0.09419562911806244,92.0506329113924,78.0,18,26.333333333333332
10,0.8,1.0,180,False,-17.851744134381686,469,0.4200426439232409,0.9395154150675552,-0.025648183883592496,94.75692963752665,87.0,46,78.16666666666667,172,0.4186046511627907,0.9602715917604313,-0.016437893953912507,94.90116279069767,86.5,10,28.666666666666668,139,0.4316546762589928,0.9775407237702746,-0.00952065368453387,91.99280575539568,86.0,18,23.166666666666668,158,0.41139240506329117,0.8854693967235747,-0.04986271910874508,97.03164556962025,87.5,18,26.333333333333332
0,0.6,1.0,180,False,-19.121960716493124,469,0.3859275053304904,1.0334041815464343,0.012008932555129364,59.77185501066098,46.0,46,78.16666666666667,172,0.38372093023255816,1.028463645198162,0.010288866427871312,58.48255813953488,43.0,10,28.666666666666668,139,0.38848920863309355,1.0395492120620666,0.014122957736754156,60.402877697841724,46.0,18,23.166666666666668,158,0.3860759493670886,1.0334420654231575,0.012021602641474534,60.620253164556964,46.5,18,26.333333333333332
10,1.0,1.0,180,False,-19.432939888916536,469,0.42643923240938164,0.9060630837688626,-0.04165586448942367,127.81663113006397,180.0,46,78.16666666666667,172,0.42441860465116277,0.9063447312220982,-0.04112559585059239,125.86627906976744,180.0,10,28.666666666666668,139,0.4460431654676259,0.9753248908721907,-0.010752264758135746,128.9064748201439,180.0,18,23.166666666666668,158,0.41139240506329117,0.8474019452748635,-0.06942046302441103,128.98101265822785,180.0,18,26.333333333333332
0,0.5,0.75,180,False,-23.56274355691294,469,0.39445628997867804,0.9683080542693848,-0.009550945398177971,40.149253731343286,28.0,46,78.16666666666667,172,0.4127906976744186,1.0376651715388412,0.010990237192116701,39.55232558139535,25.0,10,28.666666666666668,139,0.3669064748201439,0.8693181818181818,-0.04136690647482014,39.03597122302158,33.0,18,23.166666666666668,158,0.3987341772151899,0.9868577087942088,-0.0039222417011996295,41.778481012658226,30.0,18,26.333333333333332
10,0.6,1.0,180,False,-25.400330435174645,469,0.3773987206823028,0.9986859918530783,-0.0004775915164659211,61.185501066098084,46.0,46,78.16666666666667,172,0.36627906976744184,0.960799203586541,-0.014456364906885594,60.843023255813954,44.5,10,28.666666666666668,139,0.38848920863309355,1.0395492120620666,0.014122957736754156,61.07194244604317,46.0,18,23.166666666666668,158,0.379746835443038,1.0052165192939841,0.0018950203629935246,61.65822784810127,48.0,18,26.333333333333332
20,0.6,0.75,180,False,-25.652935374276517,469,0.4136460554371002,0.8836838597818901,-0.03992339612904159,58.11940298507463,44.0,46,78.16666666666667,172,0.4186046511627907,0.9061497879437463,-0.03181042813133606,57.325581395348834,41.5,10,28.666666666666668,139,0.41007194244604317,0.8746443257373121,-0.043540232829378966,58.10791366906475,46.0,18,23.166666666666668,158,0.41139240506329117,0.8676292801209828,-0.04557333406738621,58.99367088607595,40.5,18,26.333333333333332
10,0.4,0.75,180,False,-28.192114509757545,469,0.3603411513859275,1.0405191969848322,0.010367385156033766,31.707889125799575,22.0,46,78.16666666666667,172,0.38372093023255816,1.1398070945444718,0.03446407446910236,33.27906976744186,22.0,10,28.666666666666668,139,0.31654676258992803,0.8684210526315793,-0.03597122302158274,30.453237410071942,23.0,18,23.166666666666668,158,0.37341772151898733,1.0993556270074303,0.024901790060090058,31.10126582278481,21.0,18,26.333333333333332
