cell_id,fold,ticker,horizon,arm,bin,lower,upper,count,mean_probability,event_rate
2024_SPY_180m,2024,SPY,180,F0,1,0.1,0.2,3,0.1821375178864835,0.6666666666666666
2024_SPY_180m,2024,SPY,180,F0,2,0.2,0.30000000000000004,63,0.25849777493927817,0.4603174603174603
2024_SPY_180m,2024,SPY,180,F0,3,0.30000000000000004,0.4,125,0.3577439822917469,0.456
2024_SPY_180m,2024,SPY,180,F0,4,0.4,0.5,181,0.44719588419525247,0.4198895027624309
2024_SPY_180m,2024,SPY,180,F0,5,0.5,0.6000000000000001,157,0.5474469013894067,0.4394904458598726
2024_SPY_180m,2024,SPY,180,F0,6,0.6000000000000001,0.7000000000000001,89,0.645430598655263,0.449438202247191
2024_SPY_180m,2024,SPY,180,F0,7,0.7000000000000001,0.8,21,0.733217598013614,0.14285714285714285
2024_SPY_180m,2024,SPY,180,F0,8,0.8,0.9,0,,
2024_SPY_180m,2024,SPY,180,F0,9,0.9,1.0,0,,
2024_SPY_180m,2024,SPY,180,F1,0,0.0,0.1,0,,
2024_SPY_180m,2024,SPY,180,F1,1,0.1,0.2,9,0.17273510379969445,0.5555555555555556
2024_SPY_180m,2024,SPY,180,F1,2,0.2,0.30000000000000004,54,0.26533313878205295,0.4444444444444444
2024_SPY_180m,2024,SPY,180,F1,3,0.30000000000000004,0.4,99,0.3532651749268478,0.4444444444444444
2024_SPY_180m,2024,SPY,180,F1,4,0.4,0.5,190,0.4458908189435466,0.4
2024_SPY_180m,2024,SPY,180,F1,5,0.5,0.6000000000000001,180,0.5500343559204512,0.46111111111111114
2024_SPY_180m,2024,SPY,180,F1,6,0.6000000000000001,0.7000000000000001,78,0.6409449209579028,0.48717948717948717
2024_SPY_180m,2024,SPY,180,F1,7,0.7000000000000001,0.8,27,0.7317479130754095,0.2222222222222222
2024_SPY_180m,2024,SPY,180,F1,8,0.8,0.9,2,0.8181524294806085,0.0
2024_SPY_180m,2024,SPY,180,F1,9,0.9,1.0,0,,
2025_SPXW_30m,2025,SPXW,30,F0,0,0.0,0.1,3,0.08244009054152845,0.0
2025_SPXW_30m,2025,SPXW,30,F0,1,0.1,0.2,46,0.16193758455745091,0.043478260869565216
2025_SPXW_30m,2025,SPXW,30,F0,2,0.2,0.30000000000000004,60,0.25140876274381163,0.16666666666666666
2025_SPXW_30m,2025,SPXW,30,F0,3,0.30000000000000004,0.4,68,0.3503716165915428,0.22058823529411764
2025_SPXW_30m,2025,SPXW,30,F0,4,0.4,0.5,89,0.44567866777452897,0.3595505617977528
2025_SPXW_30m,2025,SPXW,30,F0,5,0.5,0.6000000000000001,82,0.5512777062110863,0.4146341463414634
2025_SPXW_30m,2025,SPXW,30,F0,6,0.6000000000000001,0.7000000000000001,66,0.6442493100679014,0.45454545454545453
2025_SPXW_30m,2025,SPXW,30,F0,7,0.7000000000000001,0.8,38,0.7389518669756808,0.39473684210526316
2025_SPXW_30m,2025,SPXW,30,F0,8,0.8,0.9,2,0.8036275019339902,0.5
2025_SPXW_30m,2025,SPXW,30,F0,9,0.9,1.0,0,,
2025_SPXW_30m,2025,SPXW,30,F1,0,0.0,0.1,0,,
2025_SPXW_30m,2025,SPXW,30,F1,1,0.1,0.2,19,0.16572195227248548,0.05263157894736842
2025_SPXW_30m,2025,SPXW,30,F1,2,0.2,0.30000000000000004,56,0.25848546599418354,0.08928571428571429
2025_SPXW_30m,2025,SPXW,30,F1,3,0.30000000000000004,0.4,86,0.35517921981425365,0.27906976744186046
2025_SPXW_30m,2025,SPXW,30,F1,4,0.4,0.5,100,0.4509781592022783,0.29
2025_SPXW_30m,2025,SPXW,30,F1,5,0.5,0.6000000000000001,109,0.5510419566367861,0.4036697247706422
2025_SPXW_30m,2025,SPXW,30,F1,6,0.6000000000000001,0.7000000000000001,62,0.6376539754811043,0.41935483870967744
2025_SPXW_30m,2025,SPXW,30,F1,7,0.7000000000000001,0.8,21,0.7432396975404485,0.47619047619047616
2025_SPXW_30m,2025,SPXW,30,F1,8,0.8,0.9,1,0.8202129569255873,0.0
2025_SPXW_30m,2025,SPXW,30,F1,9,0.9,1.0,0,,
2025_SPXW_60m,2025,SPXW,60,F0,0,0.0,0.1,0,,
2025_SPXW_60m,2025,SPXW,60,F0,1,0.1,0.2,13,0.16777532489435606,0.23076923076923078
2025_SPXW_60m,2025,SPXW,60,F0,2,0.2,0.30000000000000004,75,0.2610364452335095,0.21333333333333335
2025_SPXW_60m,2025,SPXW,60,F0,3,0.30000000000000004,0.4,102,0.3513314956994529,0.3431372549019608
2025_SPXW_60m,2025,SPXW,60,F0,4,0.4,0.5,109,0.44753319975552236,0.3394495412844037
