ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
SPY,20230105,202301,12:15,735,zero_dte,CALL,0.6460877319403446,0.6460877319403446,0.217937010119317,0.5,-0.3,0.5,thr0.500_maxday2,202301,735,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,5,0,4,6,18,False,primary,6
QQQ,20230106,202301,11:15,675,zero_dte,PUT,0.5581175477770648,0.2400778138381119,0.5581175477770648,-0.3,-0.3,-0.3,thr0.479_maxday1,202301,675,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,3,0,5,5,18,False,primary,5
SPXW,20230106,202301,11:30,690,zero_dte,PUT,0.467986626291241,0.4335483170322773,0.467986626291241,0.5,-0.3,-0.3,thr0.467_maxday3,202301,690,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,9,0,5,9,18,False,primary,9
SPY,20230106,202301,11:45,705,zero_dte,PUT,0.5252734912966501,0.3469094961083893,0.5252734912966501,0.5,-0.3,-0.3,thr0.500_maxday2,202301,705,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,6,0,5,7,18,False,primary,7
SPXW,20230106,202301,12:30,750,zero_dte,CALL,0.506446214310087,0.506446214310087,0.3221192424944935,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,750,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,10,0,5,10,18,False,primary,10
SPY,20230106,202301,12:30,750,zero_dte,CALL,0.5184707728832513,0.5184707728832513,0.3778914549071678,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,750,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,7,0,5,8,18,False,primary,8
SPXW,20230106,202301,13:15,795,zero_dte,CALL,0.6145917708880521,0.6145917708880521,0.2886358226729076,0.5,-0.3,0.5,thr0.467_maxday3,202301,795,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,11,0,5,11,18,False,primary,11
QQQ,20230109,202301,11:00,660,zero_dte,PUT,0.532404421963253,0.224800131983605,0.532404421963253,0.5,-0.3,-0.3,thr0.479_maxday1,202301,660,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,4,0,5,6,18,False,primary,6
SPY,20230109,202301,11:00,660,zero_dte,PUT,0.5334219123293906,0.3046378522490533,0.5334219123293906,0.5,-0.3,-0.3,thr0.500_maxday2,202301,660,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,8,0,5,9,18,False,primary,9
SPXW,20230109,202301,12:00,720,zero_dte,CALL,0.5079115476424892,0.5079115476424892,0.2042749398004899,-0.3,0.5,-0.3,thr0.467_maxday3,202301,720,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,12,0,5,12,18,False,primary,12
SPY,20230109,202301,12:00,720,zero_dte,CALL,0.5409303934239222,0.5409303934239222,0.2134283608213264,-0.3,0.5,-0.3,thr0.500_maxday2,202301,720,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,9,0,5,10,18,False,primary,10
SPXW,20230109,202301,14:15,855,zero_dte,CALL,0.609938913019187,0.609938913019187,0.2477201296623145,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,855,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,13,0,5,13,18,False,primary,13
QQQ,20230110,202301,10:00,600,zero_dte,CALL,0.5313349860930325,0.5313349860930325,0.3737835508961957,0.5,-0.3,0.5,thr0.479_maxday1,202301,600,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,5,0,6,7,18,False,primary,7
SPXW,20230110,202301,10:30,630,zero_dte,CALL,0.5284691516593133,0.5284691516593133,0.4078505748291111,-0.3,0.5,-0.3,thr0.467_maxday3,202301,630,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,14,0,6,14,18,False,primary,14
SPY,20230110,202301,10:30,630,zero_dte,CALL,0.5518605626840581,0.5518605626840581,0.3908209769798335,-0.3,0.5,-0.3,thr0.500_maxday2,202301,630,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,10,0,6,11,18,False,primary,11
SPXW,20230110,202301,11:00,660,zero_dte,CALL,0.4886041386096467,0.4886041386096467,0.1510752468225621,-0.3,0.5,-0.3,thr0.467_maxday3,202301,660,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,15,0,6,15,18,False,primary,15
SPY,20230110,202301,11:15,675,zero_dte,CALL,0.5350568001885073,0.5350568001885073,0.2063993583313943,-0.3,0.5,-0.3,thr0.500_maxday2,202301,675,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,11,0,6,12,18,False,primary,12
SPXW,20230110,202301,11:30,690,zero_dte,CALL,0.5904764403746268,0.5904764403746268,0.1877912498997997,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,690,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,16,0,6,16,18,False,primary,16
QQQ,20230111,202301,10:30,630,zero_dte,PUT,0.5905674088902143,0.1508673228403656,0.5905674088902143,-0.3,0.5,0.5,thr0.479_maxday1,202301,630,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,6,0,7,8,18,False,primary,8
SPY,20230111,202301,10:30,630,zero_dte,PUT,0.5032297500283784,0.3012348311153107,0.5032297500283784,-0.3,0.5,0.5,thr0.500_maxday2,202301,630,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,12,0,7,13,18,False,primary,13
SPXW,20230111,202301,12:45,765,zero_dte,CALL,0.4880312643860868,0.4880312643860868,0.226039191611947,0.5,-0.3,0.5,thr0.467_maxday3,202301,765,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,17,0,7,17,18,False,primary,17
SPXW,20230111,202301,14:30,870,zero_dte,CALL,0.4698018663345629,0.4698018663345629,0.1353414255911871,0.5,-0.3,0.5,thr0.467_maxday3,202301,870,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,18,0,7,18,18,False,primary,18
SPY,20230112,202301,10:30,630,zero_dte,PUT,0.5045675469220682,0.4048425485734462,0.5045675469220682,0.5,-0.3,-0.3,thr0.500_maxday2,202301,630,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,13,0,8,14,18,False,primary,14
QQQ,20230112,202301,11:00,660,zero_dte,CALL,0.5521577002140599,0.5521577002140599,0.3572462894248387,0.5,-0.3,0.5,thr0.479_maxday1,202301,660,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,7,0,8,9,18,False,primary,9
SPXW,20230112,202301,11:00,660,zero_dte,CALL,0.5005710765090781,0.5005710765090781,0.4117245892397525,0.5,-0.3,0.5,thr0.467_maxday3,202301,660,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,19,0,8,19,18,False,primary,19
SPY,20230112,202301,11:00,660,zero_dte,CALL,0.541362830944188,0.541362830944188,0.481411104009126,0.5,-0.3,0.5,thr0.500_maxday2,202301,660,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,14,0,8,15,18,False,primary,15
SPXW,20230112,202301,12:00,720,zero_dte,PUT,0.4972147255913529,0.3614249319619669,0.4972147255913529,0.5,-0.3,-0.3,thr0.467_maxday3,202301,720,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,20,0,8,20,18,False,primary,20
SPXW,20230112,202301,13:15,795,zero_dte,CALL,0.5572283979304817,0.5572283979304817,0.2838906584862928,-0.3,0.5,-0.3,thr0.467_maxday3,202301,795,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,21,0,8,21,18,False,primary,21
QQQ,20230113,202301,10:15,615,zero_dte,PUT,0.532348505362013,0.1248643933182049,0.532348505362013,-0.3,-0.3,-0.3,thr0.479_maxday1,202301,615,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,8,0,9,10,18,False,primary,10
SPXW,20230113,202301,11:00,660,zero_dte,PUT,0.5566498008028516,0.4310382928109909,0.5566498008028516,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,660,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,22,0,9,22,18,False,primary,22
SPY,20230113,202301,11:00,660,zero_dte,PUT,0.5734915583119267,0.3354715966323419,0.5734915583119267,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,660,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,15,0,9,16,18,False,primary,16
