ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPXW,20260303,202603,10:50,650,zero_dte,CALL,0.4153937051597592,0.4153937051597592,-0.2613905017103065,2.305555702727522,-0.6,2.305555702727522,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260303,202603,11:45,705,zero_dte,CALL,0.2449017958866258,0.2449017958866258,-0.271161272081967,0.27325579074346,-0.6,0.27325579074346,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260304,202603,10:25,625,zero_dte,CALL,0.1054857797231054,0.1054857797231054,-0.0193422486360958,-0.3642857415335518,-0.6,-0.3642857415335518,thr0.100_maxday1,202603,50,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf202504_202606_v1,d50,2,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260304,202603,11:30,690,zero_dte,PUT,0.2669524229642699,-0.4454700687172853,0.2669524229642699,0.2899999618530273,-0.6,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260304,202603,12:00,720,zero_dte,PUT,0.1932034631979332,-0.6194490069567554,0.1932034631979332,-0.6,0.3863635575475788,0.3863635575475788,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260305,202603,10:00,600,zero_dte,PUT,0.2175285331211523,-0.1656805607654707,0.2175285331211523,-0.6,2.05655522978494,2.05655522978494,thr0.100_maxday1,202603,50,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf202504_202606_v1,d50,2,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260305,202603,11:05,665,zero_dte,CALL,0.2931713584279111,0.2931713584279111,0.1753183696246907,-0.6,0.7068346409649373,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260305,202603,11:35,695,zero_dte,CALL,0.196931503097479,0.196931503097479,-0.2129103796826065,0.6409090215509587,-0.6,0.6409090215509587,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260306,202603,10:10,610,zero_dte,CALL,0.5474516939485169,0.5474516939485169,-0.6253298630634789,0.3021936587379827,-0.6,0.3021936587379827,thr0.448_maxday3,202603,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260306,202603,10:40,640,zero_dte,CALL,0.2235840344260772,0.2235840344260772,-0.3297761112383722,-0.6,0.7520202483368017,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260306,202603,11:10,670,zero_dte,CALL,0.2465399432634809,0.2465399432634809,-0.3988715889069195,-0.6,0.3188622494606314,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
