ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,call_d25_strike,call_d25_opt_status,call_d25_opt_max_ret,call_d25_opt_min_ret,call_d35_strike,call_d35_opt_status,call_d35_opt_max_ret,call_d35_opt_min_ret,put_d25_strike,put_d25_opt_status,put_d25_opt_max_ret,put_d25_opt_min_ret,put_d35_strike,put_d35_opt_status,put_d35_opt_max_ret,put_d35_opt_min_ret,action,score,realized_return,exit_minutes,status,exit_reason,date,deploy_config,direction,config_id
SPXW,20230601,680,9.526531833059515,executable_quote,1.4680852877063058,42,1.4594595308631235,45,-0.6037736171587955,33,-0.6025641245092703,33,21.871417540628034,635.0,-20.48401263685156,3152361023.5482216,-787215533.0883511,1313192185.5455244,202306,4215.0,1,3.723404609331358,-0.19148933903671184,4210.0,1,3.2162162649796944,-0.16216219873477056,4190.0,-1,0.056603717566302336,-0.9433962262029026,4195.0,-1,0.07692300168250155,-0.9487179492077962,CALL,1.0,0.9148936947312738,36,1,trail,20230601,thr-inf_maxday4,D1_INVERTED,T30D15
SPY,20230601,680,9.295517064318304,executable_quote,1.4374999650754026,45,1.4374999650754026,45,-0.6052631372560091,38,-0.6052631372560091,38,21.028426752152622,635.0,18.071872925226963,1356843321.1632993,70552869.66480249,428763483.8328323,202306,421.0,1,3.093749912688507,-0.1875000116415324,421.0,1,3.093749912688507,-0.1875000116415324,419.0,-1,0.07894737254879813,-0.8947368431371996,419.0,-1,0.07894737254879813,-0.8947368431371996,CALL,1.0,1.2812501105945584,42,1,trail,20230601,thr-inf_maxday1,D1_INVERTED,T30D15
SPXW,20230601,720,11.332527253342661,executable_quote,0.8461537521031268,30,0.7058823611909542,30,-0.6129031985160827,74,-0.6413043455726032,81,22.45925870355684,675.0,21.750492258658777,5674559087.032757,2793307622.294565,960417154.9127306,202306,4225.0,1,1.4615384991587494,0.0512820011216677,4220.0,1,1.4999999298768905,0.05882347166332158,4205.0,-1,-0.12903221588849145,-0.9516128998145104,4210.0,-1,-0.10869565442739682,-0.9456521727863015,CALL,1.0,0.8461537521031268,30,1,trail,20230601,thr-inf_maxday4,D1_INVERTED,T30D15
QQQ,20230601,730,19.11811459426538,executable_quote,0.3571428343349574,111,0.6603774391234114,130,-0.609756102879653,64,-0.609756102879653,64,19.731768734728174,685.0,18.927614223181134,371020817.9361615,166019235.67333373,68333860.75427593,202306,353.0,1,1.6428571656650424,-0.2857142781116525,352.0,1,1.641509531570445,-0.13207540910156224,350.0,-1,0.024390220854836775,-0.9512195128599567,350.0,-1,0.024390220854836775,-0.9512195128599567,CALL,1.0,0.3018868582322567,30,1,trail,20230601,thr-inf_maxday2,D1_INVERTED,T30D15
SPXW,20230601,815,-6.6809873099415995,executable_quote,0.3469387298323432,30,0.3469387298323432,30,-0.6,30,-0.637499988079071,32,22.665607601491008,770.0,22.66532819834917,6975065821.249818,6973117238.1773405,649527.6908257803,202306,4225.0,1,2.22448977208644,-1.0,4225.0,1,2.22448977208644,-1.0,4210.0,-1,0.019999980926513672,-1.0,4215.0,-1,0.04999995231628418,-1.0,PUT,1.0,-0.6,30,-1,stop,20230601,thr-inf_maxday4,D1_INVERTED,T30D15
SPXW,20230602,680,-2.2203632308759325,executable_quote,0.30612244302161007,131,0.39473690980028997,131,-0.6571428435189384,88,-0.6224489820743292,88,23.555658446396723,635.0,23.504574212472054,16986053234.778538,16140124482.19723,281976250.86043614,202306,4290.0,1,0.5918367426378535,-0.5714285992324868,4285.0,1,0.6842105725465395,-0.4605263215683174,4265.0,-1,0.25714288439069466,-0.8571428571428572,4270.0,-1,0.2857142996162434,-0.8367346946222988,PUT,1.0,-0.6571428435189384,88,-1,stop,20230602,thr-inf_maxday4,D1_INVERTED,T30D15
SPY,20230602,680,-2.1064332900433413,executable_quote,-0.5454545362182885,180,0.2708333915409955,133,-0.6285714358699566,96,-0.6285714358699566,96,22.19028189496802,635.0,22.02111805747529,4336276618.105379,3661424283.6605844,224950778.14826488,202306,429.0,0,0.4545454299154359,-0.5454545362182885,428.0,1,0.6249999767169352,-0.4166666511446234,426.0,-1,0.2285714699297543,-0.7999999957425253,426.0,-1,0.2285714699297543,-0.7999999957425253,PUT,1.0,-0.6285714358699566,96,-1,stop,20230602,thr-inf_maxday1,D1_INVERTED,T30D15
QQQ,20230602,775,8.735278244151878,executable_quote,-0.611111124908482,39,-0.6190476156686708,57,0.26470589008710776,75,0.26470589008710776,75,20.071288069882925,730.0,19.803502371437972,521014311.15269077,398613314.7324378,40800332.140084326,202306,357.0,-1,-0.055555583150297405,-1.0,356.0,-1,-0.023809501846360326,-1.0,354.0,1,0.6470588132171895,-0.9411764725217769,354.0,1,0.6470588132171895,-0.9411764725217769,CALL,1.0,-0.6190476156686708,57,-1,stop,20230602,thr-inf_maxday2,D1_INVERTED,T30D15
SPXW,20230602,780,6.563695508865486,executable_quote,-0.7027027000903736,68,-0.6562499976716936,68,-0.6315789517713497,97,-0.6315789517713497,97,23.603755767692647,735.0,23.582106124626723,17823003077.112953,17441288325.42213,127238250.56360753,202306,4295.0,-1,0.21621620054224122,-1.0,4290.0,-1,0.21875001164153196,-1.0,4275.0,-1,0.19298252952249517,-1.0,4275.0,-1,0.19298252952249517,-1.0,CALL,1.0,-0.7027027000903736,68,-1,stop,20230602,thr-inf_maxday4,D1_INVERTED,T30D15
QQQ,20230605,680,11.225692867715686,executable_quote,-0.6410256263302152,129,-0.6410256263302152,129,-0.6451612949743479,91,-0.6101694671253598,101,19.343330251192,635.0,18.66821127285365,251594757.82439375,128085845.49884765,41169637.4418487,202306,358.0,-1,0.3589743354616777,-0.8461538439495323,358.0,-1,0.3589743354616777,-0.8461538439495323,355.0,-1,0.5483870502565211,-0.6451612949743479,356.0,-1,0.7288136038414488,-0.6440677919013853,CALL,1.0,0.1025641613458057,30,1,trail,20230605,thr-inf_maxday2,D1_INVERTED,T30D15
