result,file,path,rows,tickers,date_min,date_max,month_min,month_max,ret_source,overall_trades,overall_wr,overall_pf,overall_pnl_r,min_ticker_pf,min_ticker_wr,min_month_trades,min_month_pf,min_month_wr,positive_months,ticker_months,pass_ticker_overall_pf_wr,pass_monthly_positive,pass_monthly_pf_wr,ticker_metrics,score
event_option_current_best_causal_qqqbalanced_spxwrouter_spybackfill_m18_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spybackfill_m18_2026janjun_risk5000\combined_trades.csv,809,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,809,0.4956736711990111,1.4218465628248882,42.867664223800176,1.3692619640902954,0.478494623655914,10,0.7531003844842494,0.3888888888888889,17,18,True,False,False,"QQQ:n=237,wr=0.532,pf=1.517,r=15.344,call=0.608; SPXW:n=386,wr=0.482,pf=1.369,r=17.830,call=0.503; SPY:n=186,wr=0.478,pf=1.410,r=9.694,call=0.301",1015.5431428459658
event_option_current_best_causal_qqqbackfill_d65_spxwrouter_spybackfill_m19_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqbackfill_d65_spxwrouter_spybackfill_m19_2026janjun_risk5000\combined_trades.csv,818,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,818,0.49511002444987773,1.4169046914017105,42.87004918763866,1.3692619640902954,0.478494623655914,10,0.7531003844842494,0.42105263157894735,17,18,True,False,False,"QQQ:n=246,wr=0.528,pf=1.497,r=15.346,call=0.606; SPXW:n=386,wr=0.482,pf=1.369,r=17.830,call=0.503; SPY:n=186,wr=0.478,pf=1.410,r=9.694,call=0.301",1015.538224824181
event_option_spxw_branch_trade_meta_tdvp_zdz_strict_2025h2_2026jun_risk5000,candidate_trade_meta_trades.csv,research_papers\JEPA\results\event_option_spxw_branch_trade_meta_tdvp_zdz_strict_2025h2_2026jun_risk5000\candidate_trade_meta_trades.csv,261,SPXW,20260106,20260616,202601,202606,realized_return,261,0.49808429118773945,1.3414615570814656,9.402304897773606,1.3414615570814656,0.49808429118773945,24,0.5567458591259972,0.36,3,6,True,False,False,"SPXW:n=261,wr=0.498,pf=1.341,r=9.402,call=0.667",1014.850100176874
event_option_spy_june_selector_nested_vs_topk_s2_202606_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_june_selector_nested_vs_topk_s2_202606_partial_risk5000\stream_selector_trades.csv,20,SPY,20260601,20260616,202606,202606,realized_return,20,0.45,2.4407357787937567,4.259501080324522,2.4407357787937567,0.45,20,2.4407357787937567,0.45,1,1,False,True,False,"SPY:n=20,wr=0.450,pf=2.441,r=4.260,call=0.250",526.8906885775345
event_option_spy_current_wincls_meta_gate_s3_pf10_wr40_m18_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s3_pf10_wr40_m18_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,183,SPY,20260102,20260616,202601,202606,realized_return,183,0.44808743169398907,1.4602347255749513,12.54646532780888,1.4602347255749513,0.44808743169398907,11,0.7351001723783429,0.35,4,6,False,False,False,"SPY:n=183,wr=0.448,pf=1.460,r=12.546,call=0.459",16.188046634602554
event_option_spy_current_wincls_meta_gate_s3_pf12_wr45_m18_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s3_pf12_wr45_m18_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,183,SPY,20260102,20260616,202601,202606,realized_return,183,0.44808743169398907,1.4602347255749513,12.54646532780888,1.4602347255749513,0.44808743169398907,11,0.7351001723783429,0.35,4,6,False,False,False,"SPY:n=183,wr=0.448,pf=1.460,r=12.546,call=0.459",16.188046634602554
level_stability_nested_structural_profiles_risk5000_qqq_trainonly_2026janjun,selected_trades.csv,research_papers\JEPA\results\level_stability_nested_structural_profiles_risk5000_qqq_trainonly_2026janjun\selected_trades.csv,229,QQQ,20260102,20260605,202601,202606,rule_pnl_dollars/5000,229,0.4104803493449782,1.4178545111210457,29.87013631677125,1.4178545111210457,0.4104803493449782,20,0.366362324088652,0.17391304347826086,5,6,False,False,False,"QQQ:n=229,wr=0.410,pf=1.418,r=29.870,call=nan",15.895100985499216
event_option_spy_current_wincls_meta_gate_s2_pf10_wr40_m18_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s2_pf10_wr40_m18_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,196,SPY,20260102,20260616,202601,202606,realized_return,196,0.44387755102040816,1.4321420653177515,12.581055630391134,1.4321420653177515,0.44387755102040816,10,0.14035354193539717,0.1,5,6,False,False,False,"SPY:n=196,wr=0.444,pf=1.432,r=12.581,call=0.449",15.879373274799178
event_option_spy_current_wincls_meta_gate_s2_pf10_wr40_m19_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s2_pf10_wr40_m19_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,196,SPY,20260102,20260616,202601,202606,realized_return,196,0.44387755102040816,1.4321420653177515,12.581055630391134,1.4321420653177515,0.44387755102040816,10,0.14035354193539717,0.1,5,6,False,False,False,"SPY:n=196,wr=0.444,pf=1.432,r=12.581,call=0.449",15.879373274799178
event_option_spy_current_wincls_meta_gate_s2_pf12_wr45_m18_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s2_pf12_wr45_m18_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,196,SPY,20260102,20260616,202601,202606,realized_return,196,0.44387755102040816,1.4321420653177515,12.581055630391134,1.4321420653177515,0.44387755102040816,10,0.14035354193539717,0.1,5,6,False,False,False,"SPY:n=196,wr=0.444,pf=1.432,r=12.581,call=0.449",15.879373274799178
