ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from
SPXW,20251017,202510,12:15,735,zero_dte,PUT,0.4333163782890952,-0.231468227488337,0.4333163782890952,-0.6,0.5340707528431521,0.5340707528431521,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251020,202510,10:05,605,zero_dte,PUT,0.2514285371955508,-0.1262367777140881,0.2514285371955508,0.702514050713098,-0.6,-0.6,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251021,202510,10:10,610,zero_dte,CALL,0.2035162329857868,0.2035162329857868,-0.107075788548187,0.3453427507972775,-0.6,0.3453427507972775,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251022,202510,10:30,630,zero_dte,PUT,0.3338259486241282,-0.4019889149680282,0.3338259486241282,-0.6,0.3163756434125506,0.3163756434125506,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251023,202510,11:00,660,zero_dte,PUT,0.2259224413897519,-0.1661656031207126,0.2259224413897519,0.6820275906320179,0.3963415017091123,0.3963415017091123,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251024,202510,10:55,655,zero_dte,PUT,0.2037360487846596,-0.4465714568824424,0.2037360487846596,0.6545161585653982,-0.6,-0.6,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251027,202510,12:25,745,zero_dte,PUT,0.2042306100270249,-0.5767288287064927,0.2042306100270249,0.2672565887711686,-0.6,-0.6,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251028,202510,10:20,620,zero_dte,PUT,0.2415007980354336,-0.1447810572217909,0.2415007980354336,0.4384848854758523,-0.6,-0.6,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251029,202510,10:00,600,zero_dte,PUT,0.3053420810814947,-0.1998897125032974,0.3053420810814947,-0.2650602603446663,0.213815854898451,0.213815854898451,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251030,202510,10:00,600,zero_dte,PUT,0.2006798125994793,-0.1474176783134623,0.2006798125994793,-0.5180723002313752,0.4010373562533849,0.4010373562533849,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251031,202510,10:00,600,zero_dte,PUT,0.2045815352658634,-0.362369580564351,0.2045815352658634,-0.6,0.4954689007847259,0.4954689007847259,thr0.200_maxday1,202510,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251103,202511,10:20,620,zero_dte,PUT,0.1338134222831075,-0.3547986066348456,0.1338134222831075,0.3152173913043479,0.2503952659756285,0.2503952659756285,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251104,202511,10:00,600,zero_dte,PUT,0.1447314860706163,-0.3086122056206039,0.1447314860706163,-0.6,0.6008065700779137,0.6008065700779137,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251104,202511,10:30,630,zero_dte,PUT,0.1280109093489611,-0.1626247557260263,0.1280109093489611,-0.6,0.3353403184233596,0.3353403184233596,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251105,202511,10:05,605,zero_dte,PUT,0.0373679833018376,-0.2122429414282099,0.0373679833018376,0.7024848755519093,0.2754236630618139,0.2754236630618139,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251105,202511,10:35,635,zero_dte,PUT,0.2016377363734489,-0.4139612874027207,0.2016377363734489,0.4080644367388735,-0.6,-0.6,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251106,202511,10:15,615,zero_dte,PUT,0.1078186198053589,-0.2157542159353478,0.1078186198053589,0.2868420784933525,0.3717227715275004,0.3717227715275004,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251106,202511,10:45,645,zero_dte,CALL,0.1439910639563419,0.1439910639563419,-0.2453055033362341,-0.0784593455024174,0.2666667302449543,-0.0784593455024174,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20251107,202511,10:05,605,zero_dte,CALL,0.2596903143941878,0.2596903143941878,-0.0049043833827916,-0.6,0.3554399414062499,-0.6,thr0.000_maxday2,202511,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
