cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F0,2024,SPXW,120,6,0.6000000000000001,0.7000000000000001,169,0.6407514855460961,0.5443786982248521
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F0,2024,SPXW,120,7,0.7000000000000001,0.8,46,0.7317769582748376,0.32608695652173914
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F0,2024,SPXW,120,8,0.8,0.9,1,0.8182313255836342,0.0
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F0,2024,SPXW,120,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,1,0.1,0.2,7,0.17817283688874982,0.2857142857142857
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,2,0.2,0.30000000000000004,107,0.2674439557509437,0.40186915887850466
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,3,0.30000000000000004,0.4,261,0.355492423981974,0.4827586206896552
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,4,0.4,0.5,342,0.4482077242474867,0.4590643274853801
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,5,0.5,0.6000000000000001,254,0.544823161300031,0.4566929133858268
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,6,0.6000000000000001,0.7000000000000001,124,0.6406856600816033,0.49193548387096775
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,7,0.7000000000000001,0.8,23,0.7248601828390193,0.4782608695652174
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,8,0.8,0.9,1,0.8900778856228718,1.0
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,F1,2024,SPXW,120,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,1,0.1,0.2,1,0.1889179565779287,1.0
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,2,0.2,0.30000000000000004,27,0.273820885542445,0.2222222222222222
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,3,0.30000000000000004,0.4,157,0.36149180553853666,0.43312101910828027
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,4,0.4,0.5,269,0.4494271289291016,0.49070631970260226
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,5,0.5,0.6000000000000001,225,0.5454548582321895,0.49333333333333335
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,6,0.6000000000000001,0.7000000000000001,133,0.6437710633642858,0.41353383458646614
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,7,0.7000000000000001,0.8,26,0.7203786481255506,0.46153846153846156
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,8,0.8,0.9,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F0,2024,SPXW,180,9,0.9,1.0,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,0,0.0,0.1,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,1,0.1,0.2,0,,
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,2,0.2,0.30000000000000004,57,0.2644799336641219,0.43859649122807015
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,3,0.30000000000000004,0.4,179,0.35767324595894734,0.4581005586592179
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,4,0.4,0.5,255,0.4524529952979241,0.4196078431372549
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,5,0.5,0.6000000000000001,207,0.5444420255193126,0.4444444444444444
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,6,0.6000000000000001,0.7000000000000001,118,0.6397445662620626,0.576271186440678
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,7,0.7000000000000001,0.8,20,0.7331783882231513,0.55
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,8,0.8,0.9,2,0.8176611571677783,0.0
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,F1,2024,SPXW,180,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,1,0.1,0.2,13,0.16572233046618168,0.23076923076923078
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,2,0.2,0.30000000000000004,62,0.25975501866622597,0.3870967741935484
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,3,0.30000000000000004,0.4,153,0.3529445165224467,0.38562091503267976
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,4,0.4,0.5,188,0.45035439528678783,0.39361702127659576
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,5,0.5,0.6000000000000001,221,0.5516130513724845,0.4434389140271493
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,6,0.6000000000000001,0.7000000000000001,142,0.6456666462376898,0.3591549295774648
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,7,0.7000000000000001,0.8,47,0.7324457019324395,0.44680851063829785
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,8,0.8,0.9,3,0.8233473262186962,0.0
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F0,2024,QQQ,30,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,0,0.0,0.1,0,,
