mode,outer_month,ticker,arm,model_family,utility_percentile,margin_percentile,utility_threshold,side_margin,passed,policy_candidates,scheduled_trades,worst_inner_month_pnl,worst_inner_month_pf,worst_inner_month_wr,minimum_inner_month_trades,pooled_inner_pnl,pooled_inner_pf,inner_month_metrics
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,40,0.06919375496834376,0.26733805803833033,False,354,89,-5.780769160176839,0.3711785136523745,0.3333333333333333,21,-6.288752911192377,0.8120108974497121,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 6.274641609531426, ""maximum_hold"": 107.0, ""minimum_hold"": 30.0, ""pnl"": -5.780769160176839, ""profit_factor"": 0.3711785136523745, ""put_rate"": 0.8571428571428571, ""trades"": 21, ""win_rate"": 0.3333333333333333}, ""202302"": {""call_rate"": 0.4117647058823529, ""max_drawdown"": 4.365427294049205, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.23833070326511363, ""profit_factor"": 0.980583316057049, ""put_rate"": 0.5882352941176471, ""trades"": 34, ""win_rate"": 0.4411764705882353}, ""202303"": {""call_rate"": 0.4117647058823529, ""max_drawdown"": 3.5503942526177124, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.2696530477504244, ""profit_factor"": 0.9775011634968368, ""put_rate"": 0.5882352941176471, ""trades"": 34, ""win_rate"": 0.4411764705882353}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,50,0.06919375496834376,0.33776177420424763,False,314,83,-5.194281177216613,0.4114317771584353,0.38095238095238093,21,-5.681666905366479,0.8145561508737452,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 5.688153626571199, ""maximum_hold"": 107.0, ""minimum_hold"": 30.0, ""pnl"": -5.194281177216613, ""profit_factor"": 0.4114317771584353, ""put_rate"": 0.8571428571428571, ""trades"": 21, ""win_rate"": 0.38095238095238093}, ""202302"": {""call_rate"": 0.4375, ""max_drawdown"": 5.0288455339471785, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.9017489431630876, ""profit_factor"": 0.9265349617761535, ""put_rate"": 0.5625, ""trades"": 32, ""win_rate"": 0.40625}, ""202303"": {""call_rate"": 0.43333333333333335, ""max_drawdown"": 4.461360885933828, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.4143632150132214, ""profit_factor"": 1.0434416238736632, ""put_rate"": 0.5666666666666667, ""trades"": 30, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,0,0.12801095743080682,5.385276490446622e-05,False,259,69,-4.467772593352646,0.4330255441019727,0.34782608695652173,19,-2.844276327717502,0.8838073479906059,"{""202301"": {""call_rate"": 0.10526315789473684, ""max_drawdown"": 5.021168845360515, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -4.467772593352646, ""profit_factor"": 0.4330255441019727, ""put_rate"": 0.8947368421052632, ""trades"": 19, ""win_rate"": 0.3684210526315789}, ""202302"": {""call_rate"": 0.391304347826087, ""max_drawdown"": 4.9582051990232365, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -1.8435987917757373, ""profit_factor"": 0.8016399975176318, ""put_rate"": 0.6086956521739131, ""trades"": 23, ""win_rate"": 0.34782608695652173}, ""202303"": {""call_rate"": 0.37037037037037035, ""max_drawdown"": 3.7472713069914736, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.4670950574108814, ""profit_factor"": 1.4746364573575486, ""put_rate"": 0.6296296296296297, ""trades"": 27, ""win_rate"": 0.5925925925925926}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,10,0.12801095743080682,0.06648191791669567,False,259,69,-4.467772593352646,0.4330255441019727,0.34782608695652173,19,-2.844276327717502,0.8838073479906059,"{""202301"": {""call_rate"": 0.10526315789473684, ""max_drawdown"": 5.021168845360515, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -4.467772593352646, ""profit_factor"": 0.4330255441019727, ""put_rate"": 0.8947368421052632, ""trades"": 19, ""win_rate"": 0.3684210526315789}, ""202302"": {""call_rate"": 0.391304347826087, ""max_drawdown"": 4.9582051990232365, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -1.8435987917757373, ""profit_factor"": 0.8016399975176318, ""put_rate"": 0.6086956521739131, ""trades"": 23, ""win_rate"": 0.34782608695652173}, ""202303"": {""call_rate"": 0.37037037037037035, ""max_drawdown"": 3.7472713069914736, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.4670950574108814, ""profit_factor"": 1.4746364573575486, ""put_rate"": 0.6296296296296297, ""trades"": 27, ""win_rate"": 0.5925925925925926}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,20,0.12801095743080682,0.1331889120505271,False,257,69,-4.467772593352646,0.4330255441019727,0.34782608695652173,19,-2.844276327717502,0.8838073479906059,"{""202301"": {""call_rate"": 0.10526315789473684, ""max_drawdown"": 5.021168845360515, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -4.467772593352646, ""profit_factor"": 0.4330255441019727, ""put_rate"": 0.8947368421052632, ""trades"": 19, ""win_rate"": 0.3684210526315789}, ""202302"": {""call_rate"": 0.391304347826087, ""max_drawdown"": 4.9582051990232365, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -1.8435987917757373, ""profit_factor"": 0.8016399975176318, ""put_rate"": 0.6086956521739131, ""trades"": 23, ""win_rate"": 0.34782608695652173}, ""202303"": {""call_rate"": 0.37037037037037035, ""max_drawdown"": 3.7472713069914736, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.4670950574108814, ""profit_factor"": 1.4746364573575486, ""put_rate"": 0.6296296296296297, ""trades"": 27, ""win_rate"": 0.5925925925925926}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,30,0.12801095743080682,0.19960867925819373,False,252,69,-4.467772593352646,0.4330255441019727,0.34782608695652173,19,-2.844276327717502,0.8838073479906059,"{""202301"": {""call_rate"": 0.10526315789473684, ""max_drawdown"": 5.021168845360515, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -4.467772593352646, ""profit_factor"": 0.4330255441019727, ""put_rate"": 0.8947368421052632, ""trades"": 19, ""win_rate"": 0.3684210526315789}, ""202302"": {""call_rate"": 0.391304347826087, ""max_drawdown"": 4.9582051990232365, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -1.8435987917757373, ""profit_factor"": 0.8016399975176318, ""put_rate"": 0.6086956521739131, ""trades"": 23, ""win_rate"": 0.34782608695652173}, ""202303"": {""call_rate"": 0.37037037037037035, ""max_drawdown"": 3.7472713069914736, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.4670950574108814, ""profit_factor"": 1.4746364573575486, ""put_rate"": 0.6296296296296297, ""trades"": 27, ""win_rate"": 0.5925925925925926}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,40,0.12801095743080682,0.26733805803833033,False,246,69,-3.860629751415056,0.4691746762446145,0.3333333333333333,18,-2.7593872684871776,0.8868829128187712,"{""202301"": {""call_rate"": 0.1111111111111111, ""max_drawdown"": 5.021168845360515, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -3.860629751415056, ""profit_factor"": 0.4691746762446145, ""put_rate"": 0.8888888888888888, ""trades"": 18, ""win_rate"": 0.3888888888888889}, ""202302"": {""call_rate"": 0.375, ""max_drawdown"": 5.4804589817305045, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -2.3658525744830046, ""profit_factor"": 0.7589912711913531, ""put_rate"": 0.625, ""trades"": 24, ""win_rate"": 0.3333333333333333}, ""202303"": {""call_rate"": 0.37037037037037035, ""max_drawdown"": 3.7472713069914736, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.4670950574108814, ""profit_factor"": 1.4746364573575486, ""put_rate"": 0.6296296296296297, ""trades"": 27, ""win_rate"": 0.5925925925925926}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,70,50,0.12801095743080682,0.33776177420424763,False,222,68,-3.228223388881614,0.5293603500957883,0.3333333333333333,18,-1.8312322783007922,0.9217180330070479,"{""202301"": {""call_rate"": 0.1111111111111111, ""max_drawdown"": 4.388762482827072, ""maximum_hold"": 82.0, ""minimum_hold"": 30.0, ""pnl"": -3.228223388881614, ""profit_factor"": 0.5293603500957883, ""put_rate"": 0.8888888888888888, ""trades"": 18, ""win_rate"": 0.4444444444444444}, ""202302"": {""call_rate"": 0.375, ""max_drawdown"": 5.4804589817305045, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -2.3658525744830046, ""profit_factor"": 0.7589912711913531, ""put_rate"": 0.625, ""trades"": 24, ""win_rate"": 0.3333333333333333}, ""202303"": {""call_rate"": 0.38461538461538464, ""max_drawdown"": 3.159620636190917, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": 3.762843685063826, ""profit_factor"": 1.5601897657498245, ""put_rate"": 0.6153846153846154, ""trades"": 26, ""win_rate"": 0.6153846153846154}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,80,0,0.21262956574149025,5.385276490446622e-05,False,125,36,-5.762443155795536,0.13182786001965835,0.16666666666666666,10,-8.82455577943416,0.42353063551107345,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 3.128633440131109, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -2.6574066714400146, ""profit_factor"": 0.5080980811220709, ""put_rate"": 0.8571428571428571, ""trades"": 14, ""win_rate"": 0.42857142857142855}, ""202302"": {""call_rate"": 0.4166666666666667, ""max_drawdown"": 6.012443155795534, ""maximum_hold"": 146.0, ""minimum_hold"": 30.0, ""pnl"": -5.762443155795536, ""profit_factor"": 0.13182786001965835, ""put_rate"": 0.5833333333333334, ""trades"": 12, ""win_rate"": 0.16666666666666666}, ""202303"": {""call_rate"": 0.4, ""max_drawdown"": 2.6218408305679826, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": -0.4047059521986107, ""profit_factor"": 0.8761678761302222, ""put_rate"": 0.6, ""trades"": 10, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,80,10,0.21262956574149025,0.06648191791669567,False,125,36,-5.762443155795536,0.13182786001965835,0.16666666666666666,10,-8.82455577943416,0.42353063551107345,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 3.128633440131109, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -2.6574066714400146, ""profit_factor"": 0.5080980811220709, ""put_rate"": 0.8571428571428571, ""trades"": 14, ""win_rate"": 0.42857142857142855}, ""202302"": {""call_rate"": 0.4166666666666667, ""max_drawdown"": 6.012443155795534, ""maximum_hold"": 146.0, ""minimum_hold"": 30.0, ""pnl"": -5.762443155795536, ""profit_factor"": 0.13182786001965835, ""put_rate"": 0.5833333333333334, ""trades"": 12, ""win_rate"": 0.16666666666666666}, ""202303"": {""call_rate"": 0.4, ""max_drawdown"": 2.6218408305679826, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": -0.4047059521986107, ""profit_factor"": 0.8761678761302222, ""put_rate"": 0.6, ""trades"": 10, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,80,20,0.21262956574149025,0.1331889120505271,False,125,36,-5.762443155795536,0.13182786001965835,0.16666666666666666,10,-8.82455577943416,0.42353063551107345,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 3.128633440131109, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -2.6574066714400146, ""profit_factor"": 0.5080980811220709, ""put_rate"": 0.8571428571428571, ""trades"": 14, ""win_rate"": 0.42857142857142855}, ""202302"": {""call_rate"": 0.4166666666666667, ""max_drawdown"": 6.012443155795534, ""maximum_hold"": 146.0, ""minimum_hold"": 30.0, ""pnl"": -5.762443155795536, ""profit_factor"": 0.13182786001965835, ""put_rate"": 0.5833333333333334, ""trades"": 12, ""win_rate"": 0.16666666666666666}, ""202303"": {""call_rate"": 0.4, ""max_drawdown"": 2.6218408305679826, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": -0.4047059521986107, ""profit_factor"": 0.8761678761302222, ""put_rate"": 0.6, ""trades"": 10, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,80,30,0.21262956574149025,0.19960867925819373,False,125,36,-5.762443155795536,0.13182786001965835,0.16666666666666666,10,-8.82455577943416,0.42353063551107345,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 3.128633440131109, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -2.6574066714400146, ""profit_factor"": 0.5080980811220709, ""put_rate"": 0.8571428571428571, ""trades"": 14, ""win_rate"": 0.42857142857142855}, ""202302"": {""call_rate"": 0.4166666666666667, ""max_drawdown"": 6.012443155795534, ""maximum_hold"": 146.0, ""minimum_hold"": 30.0, ""pnl"": -5.762443155795536, ""profit_factor"": 0.13182786001965835, ""put_rate"": 0.5833333333333334, ""trades"": 12, ""win_rate"": 0.16666666666666666}, ""202303"": {""call_rate"": 0.4, ""max_drawdown"": 2.6218408305679826, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": -0.4047059521986107, ""profit_factor"": 0.8761678761302222, ""put_rate"": 0.6, ""trades"": 10, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,80,40,0.21262956574149025,0.26733805803833033,False,125,36,-5.762443155795536,0.13182786001965835,0.16666666666666666,10,-8.82455577943416,0.42353063551107345,"{""202301"": {""call_rate"": 0.14285714285714285, ""max_drawdown"": 3.128633440131109, ""maximum_hold"": 92.0, ""minimum_hold"": 30.0, ""pnl"": -2.6574066714400146, ""profit_factor"": 0.5080980811220709, ""put_rate"": 0.8571428571428571, ""trades"": 14, ""win_rate"": 0.42857142857142855}, ""202302"": {""call_rate"": 0.4166666666666667, ""max_drawdown"": 6.012443155795534, ""maximum_hold"": 146.0, ""minimum_hold"": 30.0, ""pnl"": -5.762443155795536, ""profit_factor"": 0.13182786001965835, ""put_rate"": 0.5833333333333334, ""trades"": 12, ""win_rate"": 0.16666666666666666}, ""202303"": {""call_rate"": 0.4, ""max_drawdown"": 2.6218408305679826, ""maximum_hold"": 178.0, ""minimum_hold"": 30.0, ""pnl"": -0.4047059521986107, ""profit_factor"": 0.8761678761302222, ""put_rate"": 0.6, ""trades"": 10, ""win_rate"": 0.5}}"
