ticker,underlying_ticker,trade_date,expiration,dte_days,expiry_mode,has_greeks,has_iv,has_ohlc,has_oi,has_underlying,greeks_path,iv_path,ohlc_path,oi_path,underlying_path
QQQ,QQQ,20260611,20260612,1,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260612_20260611_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260612_20260611_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260612_20260611_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260612_20260611_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260611.parquet
QQQ,QQQ,20260612,20260612,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260612_20260612_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260612_20260612_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260612_20260612_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260612_20260612_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260612.parquet
QQQ,QQQ,20260612,20260618,6,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260618_20260612_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260618_20260612_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260618_20260612_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260618_20260612_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260612.parquet
QQQ,QQQ,20260615,20260615,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260615_20260615_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260615_20260615_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260615_20260615_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260615_20260615_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260615.parquet
QQQ,QQQ,20260615,20260618,3,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260618_20260615_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260618_20260615_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260618_20260615_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260618_20260615_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260615.parquet
QQQ,QQQ,20260616,20260616,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260616_20260616_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260616_20260616_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260616_20260616_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260616_20260616_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260616.parquet
QQQ,QQQ,20260616,20260618,2,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260618_20260616_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260618_20260616_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260618_20260616_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260618_20260616_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260616.parquet
QQQ,QQQ,20260618,20260618,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260618_20260618_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260618_20260618_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260618_20260618_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260618_20260618_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260618.parquet
QQQ,QQQ,20260618,20260626,8,longer_dated,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260618_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260618_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260618_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260618_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260618.parquet
QQQ,QQQ,20260622,20260622,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260622_20260622_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260622_20260622_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260622_20260622_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260622_20260622_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260622.parquet
