ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,_16,call_d35_opt_exit_minutes,put_d35_opt_exit_minutes,exit_minutes,known_minute,circuit_config,circuit_side_specific,circuit_mode,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,source_stream,source_file,_32,_33,_34,backfill_required_count,backfill_count_before,backfill_mode,static_source,static_source_file,static_source_priority,static_union_max_day,static_union_cooldown_minutes,static_union_count_before,_source_order,_orig_order,_priority
SPXW,20260217,202602,10:30,630,front_weekly,CALL,0.1956887568115449,0.1956887568115449,-0.2492792474878107,0.5,-0.3,0.5,thr-0.100_maxday4,202602,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,48.0,,0.0,11,12,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,48,,0
SPXW,20260217,202602,11:15,675,front_weekly,CALL,0.1371011102816147,0.1371011102816147,-0.2489537373615357,-0.3,-0.3,-0.3,thr-0.100_maxday4,202602,675,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,49.0,,0.0,11,13,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,49,,0
SPXW,20260217,202602,11:45,705,front_weekly,CALL,0.190891531018734,0.190891531018734,-0.2433482815370807,0.313884053382029,-0.3,0.313884053382029,thr-0.100_maxday4,202602,705,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,50.0,,0.0,11,14,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,50,,0
SPXW,20260217,202602,12:15,735,front_weekly,CALL,0.220358785227465,0.220358785227465,-0.2953675734510559,0.1554770509734875,-0.3,0.1554770509734875,thr-0.100_maxday4,202602,735,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,51.0,,0.0,11,15,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,51,,0
SPXW,20260223,202602,10:30,630,front_weekly,CALL,0.1028652076117783,0.1028652076117783,-0.2224520819964675,-0.3,0.5,-0.3,thr-0.100_maxday4,202602,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,52.0,,0.0,15,16,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,52,,0
SPXW,20260223,202602,11:00,660,front_weekly,CALL,0.2232618869562851,0.2232618869562851,-0.2612561647376356,-0.1177325861849857,-0.081042658034121,-0.1177325861849857,thr-0.100_maxday4,202602,660,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,53.0,,0.0,15,17,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,53,,0
SPXW,20260223,202602,11:30,690,front_weekly,CALL,0.1249220902890821,0.1249220902890821,-0.2051374046817664,-0.1818181818181817,0.0651906431340352,-0.1818181818181817,thr-0.100_maxday4,202602,690,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,54.0,,0.0,15,18,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,54,,0
SPXW,20260223,202602,12:00,720,front_weekly,CALL,0.1233266680847626,0.1233266680847626,-0.2649761150046518,-0.1133721323513593,0.0652173642625426,-0.1133721323513593,thr-0.100_maxday4,202602,720,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,55.0,,0.0,15,19,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,55,,0
SPXW,20260224,202602,10:30,630,front_weekly,CALL,0.0444416845358493,0.0444416845358493,-0.226589710310364,0.111943159152146,-0.1147011650048186,0.111943159152146,thr-0.100_maxday4,202602,630,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,56.0,,0.0,16,20,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,56,,0
SPXW,20260224,202602,11:00,660,front_weekly,CALL,0.1731601244258921,0.1731601244258921,-0.2256636697803962,0.2462659133762847,-0.3,0.2462659133762847,thr-0.100_maxday4,202602,660,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,57.0,,0.0,16,21,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,57,,0
SPXW,20260224,202602,11:30,690,front_weekly,CALL,0.0891337474955971,0.0891337474955971,-0.2678012420318427,0.0890756683694429,-0.1287758415038762,0.0890756683694429,thr-0.100_maxday4,202602,690,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,58.0,,0.0,16,22,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,58,,0
SPXW,20260224,202602,12:00,720,front_weekly,CALL,0.0403415906179408,0.0403415906179408,-0.23967858349732,0.0390624994179233,-0.1327999877929687,0.0390624994179233,thr-0.100_maxday4,202602,720,,,,,,,,,vol25,1.0,SELECTED,vol25,12.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,59.0,,0.0,16,23,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,59,,0
SPXW,20260303,202603,10:30,630,front_weekly,CALL,0.1432640727679117,0.1432640727679117,-0.1561721895517954,0.5,-0.3,0.5,thr0.050_maxday6,202603,630,410.0,84.0,34.0,84.0,714.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,60.0,,0.0,2,0,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,60,,0
SPXW,20260303,202603,11:45,705,front_weekly,PUT,0.0564769087868424,-0.0084302195255328,0.0564769087868424,0.5,-0.3,-0.3,thr0.050_maxday6,202603,705,411.0,114.0,108.0,108.0,813.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,61.0,,0.0,2,1,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,61,,0
SPXW,20260303,202603,12:30,750,front_weekly,PUT,0.1196735457510846,-0.0381739821937033,0.1196735457510846,0.5,-0.3,-0.3,thr0.050_maxday6,202603,750,412.0,137.0,73.0,73.0,823.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,62.0,,0.0,2,2,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,62,,0
SPXW,20260303,202603,13:15,795,front_weekly,PUT,0.1812250441830002,-0.0637256257075091,0.1812250441830002,0.5,-0.3,-0.3,thr0.050_maxday6,202603,795,413.0,90.0,25.0,25.0,820.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,63.0,,0.0,2,3,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,63,,0
SPXW,20260304,202603,11:15,675,front_weekly,CALL,0.1001556867068871,0.1001556867068871,-0.1910241881331792,0.2734234002801226,-0.3,0.2734234002801226,thr0.050_maxday6,202603,675,416.0,180.0,168.0,180.0,855.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,66.0,,0.0,3,4,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,64,,0
SPXW,20260304,202603,12:15,735,front_weekly,CALL,0.0624337941967081,0.0624337941967081,-0.1360777604176389,-0.0515081042623134,-0.0522900723485733,-0.0515081042623134,thr0.050_maxday6,202603,735,417.0,180.0,175.0,180.0,915.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,67.0,,0.0,3,5,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,65,,0
SPXW,20260304,202603,12:45,765,front_weekly,CALL,0.0739779981225245,0.0739779981225245,-0.2110656816900974,0.1019417642030111,-0.085603106054188,0.1019417642030111,thr0.050_maxday6,202603,765,418.0,180.0,180.0,180.0,945.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,68.0,,0.0,3,6,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,66,,0
SPXW,20260304,202603,15:15,915,front_weekly,CALL,0.0719377520607787,0.0719377520607787,-0.1551863371911913,-0.0704501221346963,0.1577519619538656,-0.0704501221346963,thr0.050_maxday6,202603,915,419.0,44.0,44.0,44.0,959.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,69.0,,0.0,3,7,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,67,,0
SPXW,20260310,202603,11:00,660,front_weekly,PUT,0.0568489929545373,-0.1252115053929621,0.0568489929545373,0.06833213289021,-0.0222535469162632,-0.0222535469162632,thr0.050_maxday6,202603,660,420.0,180.0,166.0,166.0,826.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,70.0,,0.0,6,8,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,68,,0
SPXW,20260310,202603,12:30,750,front_weekly,PUT,0.0615746521252153,-0.0651147380017831,0.0615746521252153,-0.2801457311593219,0.5,0.5,thr0.050_maxday6,202603,750,421.0,180.0,111.0,111.0,861.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,71.0,,0.0,6,9,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,69,,0
SPXW,20260310,202603,14:15,855,front_weekly,PUT,0.0657369409791333,-0.1037676188883045,0.0657369409791333,-0.1627906564121434,0.1979974892703884,0.1979974892703884,thr0.050_maxday6,202603,855,422.0,104.0,104.0,104.0,959.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,72.0,,0.0,6,10,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,70,,0
SPXW,20260310,202603,14:45,885,front_weekly,PUT,0.0927525597357284,-0.0192851571775204,0.0927525597357284,-0.1500842803657143,0.2463541949426551,0.2463541949426551,thr0.050_maxday6,202603,885,423.0,74.0,74.0,74.0,959.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,73.0,,0.0,6,11,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,71,,0
SPXW,20260311,202603,11:30,690,front_weekly,CALL,0.108509550193165,0.108509550193165,-0.0540402698885503,-0.0541516230572415,-0.0846737209432502,-0.0541516230572415,thr0.050_maxday6,202603,690,425.0,180.0,175.0,180.0,870.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,75.0,,0.0,7,12,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,72,,0
SPXW,20260311,202603,12:00,720,front_weekly,CALL,0.0855982340012118,0.0855982340012118,0.0165013395692698,0.0351201405754713,-0.1757755006170287,0.0351201405754713,thr0.050_maxday6,202603,720,426.0,178.0,179.0,178.0,898.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,76.0,,0.0,7,13,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,73,,0
SPXW,20260311,202603,14:00,840,front_weekly,CALL,0.068650563845059,0.068650563845059,-0.0735594963872302,0.0607692278348481,-0.229447836034016,0.0607692278348481,thr0.050_maxday6,202603,840,427.0,118.0,119.0,118.0,958.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,77.0,,0.0,7,14,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,2.0,74,,0
SPXW,20260311,202603,14:30,870,front_weekly,CALL,0.0540689655595776,0.0540689655595776,0.0232101652971951,0.0526717221595902,-0.1723228822570136,0.0526717221595902,thr0.050_maxday6,202603,870,428.0,88.0,89.0,88.0,958.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,78.0,,0.0,7,15,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,3.0,75,,0
SPXW,20260317,202603,10:30,630,front_weekly,CALL,0.1037665208671934,0.1037665208671934,-0.1076737547021377,-0.250771854600489,0.018284095572596,-0.250771854600489,thr0.050_maxday6,202603,630,431.0,176.0,180.0,176.0,806.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,81.0,,0.0,10,16,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,0.0,76,,0
SPXW,20260317,202603,11:00,660,front_weekly,CALL,0.1089322207472228,0.1089322207472228,-0.1321811844043877,-0.2508710751608013,0.1154285975864954,-0.2508710751608013,thr0.050_maxday6,202603,660,432.0,165.0,169.0,165.0,825.0,streakoff_daylossoff_lossesoff,1.0,SELECTED,base,0.0,SELECTED,base,8.0,15.0,cap4,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_cap4_cd15_2026janmay_risk5000\combined_trades.csv,82.0,,0.0,10,17,primary,spxw,research_papers\JEPA\results\event_option_spxw_h2_union_selector_backfill_base_t18_md6_cd15_2026janmay_risk5000\monthly_volume_backfill_trades.csv,0.0,4.0,15.0,1.0,77,,0
