ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
SPY,20260123,202601,10:35,635,zero_dte,CALL,0.0782531873048178,0.0782531873048178,-0.2276335479831271,0.5,-0.3,0.5,thr0.014_maxday1,202601,635,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,196,0,14,15,18,False,primary
SPY,20260126,202601,10:15,615,zero_dte,CALL,0.0422370155507105,0.0422370155507105,-0.1570897582871276,0.5,-0.3,0.5,thr0.014_maxday1,202601,615,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,197,0,15,16,18,False,primary
SPY,20260127,202601,10:05,605,zero_dte,CALL,0.0764685134372207,0.0764685134372207,-0.2706772260960678,0.5,-0.3,0.5,thr0.014_maxday1,202601,605,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,198,0,16,17,18,False,primary
SPY,20260128,202601,11:55,715,zero_dte,PUT,0.1574699535492298,-0.2393886923615404,0.1574699535492298,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,715,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,199,0,17,18,18,False,primary
SPY,20260129,202601,10:15,615,zero_dte,PUT,0.0472790686541814,0.0066703792970878,0.0472790686541814,-0.3,-0.3,-0.3,thr0.014_maxday1,202601,615,spy_d15_return,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d15_return_wf2026_v1\event_option_gate_trades.csv,200,0,18,19,18,False,primary
SPY,20260202,202602,10:10,610,zero_dte,PUT,0.7111596743385171,0.1395904886897252,0.7111596743385171,0.5,-0.3,-0.3,thr0.500_maxday2,202602,610,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,353,1,1,0,18,False,fallback_volume_pace
SPY,20260203,202602,10:15,615,zero_dte,PUT,0.6864669270571649,0.22172751299024,0.6864669270571649,-0.3,0.5,0.5,thr0.500_maxday2,202602,615,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,355,1,2,1,18,False,fallback_volume_pace
SPY,20260204,202602,10:00,600,zero_dte,PUT,0.6860410593125627,0.3144496339549932,0.6860410593125627,0.5,-0.3,-0.3,thr0.500_maxday2,202602,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,357,1,3,2,18,False,fallback_volume_pace
SPY,20260205,202602,10:20,620,zero_dte,PUT,0.5973021393887018,0.2217858327524485,0.5973021393887018,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,620,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,359,1,4,3,18,False,fallback_volume_pace
SPY,20260206,202602,10:25,625,zero_dte,PUT,0.7290142676515797,0.2358169564287868,0.7290142676515797,0.5,-0.3,-0.3,thr0.500_maxday2,202602,625,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,361,1,5,4,18,False,fallback_volume_pace
SPY,20260209,202602,10:10,610,zero_dte,PUT,0.7718689359060648,0.1209825294113418,0.7718689359060648,0.5,-0.3,-0.3,thr0.500_maxday2,202602,610,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,363,1,6,5,18,False,fallback_volume_pace
SPY,20260210,202602,10:00,600,zero_dte,PUT,0.6947862388237471,0.1218054459844092,0.6947862388237471,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,365,1,7,6,18,False,fallback_volume_pace
SPY,20260211,202602,10:20,620,zero_dte,PUT,0.6686559306856218,0.2758006393162323,0.6686559306856218,0.5,-0.3,-0.3,thr0.500_maxday2,202602,620,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,367,1,8,7,18,False,fallback_volume_pace
SPY,20260212,202602,10:00,600,zero_dte,PUT,0.696158246001137,0.2432487687336422,0.696158246001137,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,369,1,9,8,18,False,fallback_volume_pace
SPY,20260217,202602,10:00,600,zero_dte,PUT,0.6358922837149477,0.2147648787289274,0.6358922837149477,0.5,-0.3,-0.3,thr0.500_maxday2,202602,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,373,1,11,9,18,False,fallback_volume_pace
SPY,20260217,202602,10:30,630,zero_dte,PUT,0.720668727507296,0.1946747618398649,0.720668727507296,0.5,-0.3,-0.3,thr0.500_maxday2,202602,630,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,374,1,11,10,18,False,fallback_volume_pace
SPY,20260218,202602,10:05,605,zero_dte,PUT,0.7620854043516564,0.0856413460976575,0.7620854043516564,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,605,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,375,1,12,11,18,False,fallback_volume_pace
SPY,20260219,202602,10:05,605,zero_dte,PUT,0.717018336022545,0.1308510188405206,0.717018336022545,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,605,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,377,1,13,12,18,False,fallback_volume_pace
SPY,20260220,202602,10:55,655,zero_dte,PUT,0.789199252625887,0.1300930563434542,0.789199252625887,-0.3,0.5,0.5,thr0.500_maxday2,202602,655,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,379,1,14,13,18,False,fallback_volume_pace
SPY,20260223,202602,10:05,605,zero_dte,PUT,0.5926080877617148,0.3206627033696576,0.5926080877617148,-0.3,0.5,0.5,thr0.500_maxday2,202602,605,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,381,1,15,14,18,False,fallback_volume_pace
SPY,20260224,202602,10:25,625,zero_dte,PUT,0.6710294787778086,0.1367258593654229,0.6710294787778086,0.5,-0.3,-0.3,thr0.500_maxday2,202602,625,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,383,1,16,15,18,False,fallback_volume_pace
SPY,20260225,202602,10:00,600,zero_dte,PUT,0.8266586718431205,0.0712308952182959,0.8266586718431205,-0.3,-0.3,-0.3,thr0.500_maxday2,202602,600,spy_d50_win,research_papers\JEPA\results\_diagnostics\event_option_clean_live1000_nopool_d50_win_wf2026_v1\event_option_gate_trades.csv,385,1,17,16,18,False,fallback_volume_pace
