primary,fallback,score25,pass25,pass26,minwr25,minpf25,minm25,minwr26,minpf26,minm26,R25,R26
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-284.35467529740384,False,False,0.4367816091954023,1.072102699080112,4,0.42448979591836733,1.0376243637752065,6,15.648161984101959,10.662603446981308
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.50395159922556,False,False,0.42857142857142855,1.0630817258608314,4,0.416988416988417,1.0306239062968083,4,17.951685645183847,13.528254458431055
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.5960489911589,False,False,0.42613636363636365,1.0629943837391966,4,0.39325842696629215,0.8090782961897426,6,11.26435350854998,4.7289815665675885
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.5960489911589,False,False,0.42613636363636365,1.0629943837391966,4,0.38095238095238093,0.7128261413592384,6,11.26435350854998,1.2689406977717224
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.60444361478613,False,False,0.4293785310734463,1.0588063482302896,4,0.4666666666666667,1.2353261484705793,6,11.370759217649569,11.973319326152538
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.75620189853976,False,False,0.43478260869565216,1.0668605543437815,1,0.4318181818181818,1.0775869551065222,4,12.736647106589375,11.562163766059278
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.87487265234546,False,False,0.4339622641509434,1.0555696152645009,1,0.4117647058823529,0.9298559717313857,4,12.980855350010815,1.668412531586977
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-284.87487265234546,False,False,0.4339622641509434,1.0555696152645009,1,0.4117647058823529,1.1595671367300189,4,12.980855350010815,5.787947971034314
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-285.02838347509294,False,False,0.4222222222222222,1.01246676321427,4,0.4431137724550898,1.1628088754095571,4,22.47266705421247,16.658258386980492
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-285.3860096781359,False,False,0.43037974683544306,1.0017969215702849,1,0.4430379746835443,1.1623597361682871,4,19.222363780682606,14.433742711841564
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-285.3860096781359,False,False,0.43037974683544306,1.0017969215702849,1,0.4430379746835443,1.1623597361682871,4,19.222363780682606,14.433742711841564
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-285.3860096781359,False,False,0.43037974683544306,1.0017969215702849,1,0.4430379746835443,1.1623597361682871,4,19.222363780682606,14.433742711841564
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-285.3860096781359,False,False,0.43037974683544306,1.0017969215702849,1,0.4430379746835443,1.1623597361682871,4,19.222363780682606,14.374660488641188
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-399.7976874885974,False,False,0.0,0.0,2,0.19047619047619047,0.4275929908418283,1,0.2312511402611378,-0.4957635050225522
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-399.7976874885974,False,False,0.0,0.0,2,0.19047619047619047,0.4275929908418283,1,0.2312511402611378,-0.4957635050225522
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-399.7976874885974,False,False,0.0,0.0,2,0.0,0.0,1,0.2312511402611378,-4.277345145584539
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-399.7976874885974,False,False,0.0,0.0,2,0.0,0.0,1,0.2312511402611378,-2.9244636954076126
