trigger_losses,pause_days,rolling_sum_window,rolling_sum_threshold,gate_pass,overall_pf,overall_wr,overall_pnl,overall_trades,min_month,pf_min,wr_min,max_negative_day_streak,negative_months,dd_to_pnl,first3miss,health_flag_count,flags_json
2,4,3,-1.0,False,1.8299910160846218,0.5739348370927319,25.79561712444717,399,9,1.5010682874350973,0.5131578947368421,2,2,0.3080425747417771,0,2,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': ''}"
2,5,0,0.0,False,1.8057010776756404,0.5780487804878048,26.728667233704734,410,7,1.3898737066525657,0.527027027027027,2,2,0.3601086021000856,0,2,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': ''}"
2,5,5,-2.0,False,1.8057010776756404,0.5780487804878048,26.728667233704734,410,7,1.3898737066525657,0.527027027027027,2,2,0.3601086021000856,0,2,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': ''}"
2,3,0,0.0,False,1.8032786281375426,0.5736961451247166,29.12523817055288,441,12,1.7494174299705085,0.5662650602409639,2,2,0.20899756867295233,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
2,3,5,-1.0,False,1.7998192321612694,0.576036866359447,28.194322295566735,434,12,1.7397120666808659,0.5702479338842975,2,2,0.16311641770180768,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
3,2,5,-2.0,False,1.5875234862073249,0.546875,27.00176112721801,512,16,1.520372433813369,0.5181818181818182,3,2,0.28004704913307077,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
4,4,3,-1.0,False,1.6107964376180839,0.5508130081300813,26.365804935963872,492,14,1.4703868128845856,0.5086206896551724,4,2,0.3339662785521346,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
4,4,5,-1.0,False,1.5304121312078496,0.549266247379455,22.422761775164005,477,10,1.3380476511199295,0.5,4,2,0.33246214970222415,0,2,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months'}"
2,5,3,-1.0,False,1.7236249761522404,0.5675,24.00584003855247,400,7,1.3898737066525657,0.527027027027027,2,3,0.3601086021000856,0,3,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': ''}"
2,3,5,-2.0,False,1.7224145630750658,0.5681293302540416,26.066789405961323,433,12,1.5952372668281762,0.5560165975103735,2,3,0.2552110610206106,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
2,1,5,-2.0,False,1.590201337403382,0.5475728155339806,27.632832215354014,515,17,1.4646105748714162,0.509090909090909,2,3,0.2740528201950455,0,3,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'negative_months'}"
2,1,0,0.0,False,1.5660315708650074,0.5445736434108527,26.84083883998577,516,17,1.4646105748714162,0.509090909090909,2,3,0.2740528201950455,0,3,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'negative_months'}"
2,4,5,-1.0,False,1.6919900458656165,0.5653333333333334,21.114526361247393,375,9,1.5010682874350973,0.5131578947368421,2,4,0.3080425747417771,0,3,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': ''}"
2,2,3,-1.0,False,1.646072744993855,0.5575221238938053,25.677574965011253,452,14,1.5435236728089832,0.5294117647058824,2,4,0.2358123021450757,0,3,"{'SPXW': 'negative_months', 'SPY': 'first_2_month_share<0.1', 'QQQ': 'negative_months'}"
2,4,3,-0.5,False,1.7469110347597194,0.5705705705705706,20.505709565694183,333,9,1.7047549545112965,0.5555555555555556,2,5,0.2566406289825515,0,3,"{'SPXW': 'negative_months', 'SPY': '', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
3,2,3,-1.0,False,1.5968684922826963,0.5467196819085487,26.796050492160607,503,16,1.520372433813369,0.5181818181818182,3,3,0.28004704913307077,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
3,2,0,0.0,False,1.54621596103658,0.5433526011560693,25.835169390342127,519,16,1.520372433813369,0.5181818181818182,3,3,0.35901077281529636,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,5,3,-1.0,False,1.5808773820996702,0.5504201680672269,24.301771193890552,476,11,1.525374462200455,0.5221238938053098,4,3,0.31599350562070094,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,3,3,-1.0,False,1.5280636172679494,0.5439672801635992,23.28651100526355,489,15,1.4597744293206105,0.5042016806722689,4,3,0.44865181516593344,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,3,5,-2.0,False,1.4885073006405378,0.539622641509434,24.251022599485584,530,15,1.431963886076492,0.5042016806722689,4,3,0.4173189086967709,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,4,5,-2.0,False,1.4759893394616852,0.5403377110694184,23.738433794003175,533,14,1.3984190187223744,0.5086206896551724,4,3,0.3860155486115011,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,3,0,0.0,False,1.4683690427947977,0.5352622061482821,24.612103753688622,553,16,1.4003927454257794,0.5042016806722689,4,4,0.37217891761338057,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,4,0,0.0,False,1.45024989202112,0.5357798165137615,23.474222653976593,545,14,1.357217260216681,0.5086206896551724,4,4,0.42223036940112285,0,3,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
2,5,5,-1.0,False,1.7585568897859118,0.5778894472361809,24.519856220247433,398,7,1.271016765228882,0.5217391304347826,2,2,0.5411731879866367,0,4,"{'SPXW': 'drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': ''}"
2,4,0,0.0,False,1.738973151647142,0.5617433414043583,24.976103078377484,413,9,1.5010682874350973,0.5131578947368421,2,3,0.3080425747417771,0,4,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': ''}"
2,4,5,-2.0,False,1.738973151647142,0.5617433414043583,24.976103078377484,413,9,1.5010682874350973,0.5131578947368421,2,3,0.3080425747417771,0,4,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': ''}"
2,1,3,-0.5,False,1.6697080319133966,0.5495867768595041,28.82930757151407,484,16,1.5910176002368277,0.5451127819548872,2,3,0.30096975338492077,0,4,"{'SPXW': 'negative_months', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months'}"
2,1,3,-1.0,False,1.6054250847364473,0.5483234714003945,27.78967597554317,507,17,1.4646105748714162,0.509090909090909,2,4,0.2740528201950455,0,4,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
2,2,5,-2.0,False,1.557524102784744,0.5477707006369427,24.183113520951373,471,14,1.5064356886791603,0.5294117647058824,2,4,0.38916363228228396,1,4,"{'SPXW': 'negative_months', 'SPY': 'first_2_month_share<0.1;first_3_month_share<0.2', 'QQQ': 'negative_months'}"
2,2,0,0.0,False,1.56074234058467,0.5473684210526316,24.30760731458174,475,14,1.512398201796316,0.5294117647058824,2,5,0.3745946259964446,0,4,"{'SPXW': 'negative_months', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months'}"
3,2,5,-1.0,False,1.5245713741919018,0.5425101214574899,23.4677512964923,494,13,1.4807182224120348,0.5185185185185185,3,4,0.3347162668144701,0,4,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,5,0,0.0,False,1.460196749662674,0.5390334572490706,23.51421212393272,538,12,1.3251974460858975,0.5221238938053098,4,4,0.5661748723699783,0,4,"{'SPXW': 'negative_months', 'SPY': 'drawdown_to_pnl>0.45;negative_months', 'QQQ': 'negative_months'}"
2,1,5,-1.0,False,1.533742917612333,0.5430861723446894,24.83196872970888,499,16,1.3792551149602756,0.5,2,5,0.36743269326156824,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months'}"
2,2,5,-1.0,False,1.5552681752810456,0.5462555066079295,22.52446817248484,454,14,1.4712138995492554,0.53,2,6,0.6263737855771052,0,5,"{'SPXW': 'negative_months', 'SPY': 'negative_months', 'QQQ': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65'}"
4,4,3,-0.5,False,1.4977449003550862,0.5340599455040872,16.488631376179995,367,10,1.3525586641956096,0.4895833333333333,3,4,0.4468716705480954,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
5,4,3,-0.5,False,1.4977449003550862,0.5340599455040872,16.488631376179995,367,10,1.3525586641956096,0.4895833333333333,3,4,0.4468716705480954,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
6,4,3,-0.5,False,1.4977449003550862,0.5340599455040872,16.488631376179995,367,10,1.3525586641956096,0.4895833333333333,3,4,0.4468716705480954,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
7,4,3,-0.5,False,1.4977449003550862,0.5340599455040872,16.488631376179995,367,10,1.3525586641956096,0.4895833333333333,3,4,0.4468716705480954,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
4,3,3,-0.5,False,1.5726400479435818,0.5497630331753555,21.726378626376608,422,13,1.446981017310704,0.5,3,5,0.3299519677396176,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
5,3,3,-0.5,False,1.5726400479435818,0.5497630331753555,21.726378626376608,422,13,1.446981017310704,0.5,3,5,0.3299519677396176,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
6,3,3,-0.5,False,1.5726400479435818,0.5497630331753555,21.726378626376608,422,13,1.446981017310704,0.5,3,5,0.3299519677396176,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
7,3,3,-0.5,False,1.5726400479435818,0.5497630331753555,21.726378626376608,422,13,1.446981017310704,0.5,3,5,0.3299519677396176,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
3,3,3,-0.5,False,1.571087992537766,0.5509708737864077,21.034959424242096,412,10,1.3871616150820567,0.49473684210526314,3,6,0.4101223148174288,0,5,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
4,1,5,-1.0,False,1.4430874539925926,0.5296367112810707,21.948205297537214,523,17,1.3403596960097743,0.5080645161290323,4,4,0.8307939028701714,0,5,"{'SPXW': 'negative_months', 'SPY': 'drawdown_to_pnl>0.45;negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months'}"
5,4,3,-1.0,False,1.578795077047216,0.5492957746478874,25.481761948397136,497,15,1.4607512783289591,0.5166666666666667,5,2,0.33946308422444366,0,5,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
