ticker,artifact,file,trades,win_rate,profit_factor,pnl_return,min_month_trades,positive_months,call_rate,top5_share,first_2_month_share,first_3_month_share,first_4_month_share,passes_basic,passes_curve
QQQ,event_option_qqq_branch_router_topk_balanced_call065_2025h2export_202510_202606_risk5000,trade_union_topk_regressor_trades.csv,237,0.5316455696202531,1.5172605887318371,15.343692224268935,10,6,0.6075949367088608,0.9037544228965521,0.09427952549680736,0.1703825547413476,0.7318543103786275,False,False
QQQ,event_option_qqq_static_union_metas1_current_online_mtdrescue1_cd45_2026janmay_risk5000,combined_trades.csv,174,0.5,1.5165940564361755,12.008117651712862,0,5,0.4885057471264368,0.6995267904292899,0.3982740662046472,0.7255434075713405,0.7783361120211252,False,False
QQQ,event_option_qqq_nested_volume_backfill_m19_maxday4_2026janmay_risk5000,nested_volume_backfill_trades.csv,173,0.5202312138728323,1.5035587274309947,11.03076548993489,0,5,0.6589595375722543,0.8666601645637955,0.07210383922310548,0.21986924823880374,0.8396954066643871,False,False
QQQ,event_option_qqq_union_ptdj_tdvp_topk_intraday_circuit_2026janjun_risk5000,intraday_circuit_trades.csv,150,0.48,1.4803556318983104,10.931117081506917,10,5,0.47333333333333333,1.1709690697261699,0.7951836847259367,0.9049620350127651,0.7169465361508277,False,False
QQQ,event_option_qqq_nested_volume_backfill_m19_2026janmay_risk5000,nested_volume_backfill_trades.csv,236,0.5254237288135594,1.4565018110141752,13.546077188107414,0,5,0.6186440677966102,0.9964910902595612,0.07284152128294152,0.1931690191808188,0.829150173834346,False,False
QQQ,event_option_qqq_static_union_metas1_current_online_mtdrescue1_cd45_2026janjun_rebuild,combined_trades.csv,187,0.48663101604278075,1.4504748340381242,11.569656114607824,13,5,0.48663101604278075,0.7260371368682409,0.41336767465137353,0.7530397198704153,0.8078331380935124,False,False
QQQ,event_option_qqq_union_balanced_d65_current_topk_s2_m19_maxday5_202510_202606_risk5000,trade_union_topk_regressor_trades.csv,227,0.5022026431718062,1.4389447832378248,12.329182124301528,10,5,0.6784140969162996,0.8021879725423497,-0.03596741249207724,-0.021177265668262817,0.639266789438136,False,False
QQQ,event_option_qqq_ptdj_v1_intraday_circuit_2026janjun_risk5000,intraday_circuit_trades.csv,202,0.4801980198019802,1.435854391849629,13.187684385589343,11,5,0.3465346534653465,0.9819767949944345,0.5773757299439497,1.0816340858018154,0.8371255601283066,False,False
QQQ,event_option_qqq_ptdj_v1_intraday_circuit_m19_2026janjun_risk5000,intraday_circuit_trades.csv,202,0.4801980198019802,1.435854391849629,13.187684385589343,11,5,0.3465346534653465,0.9819767949944345,0.5773757299439497,1.0816340858018154,0.8371255601283066,False,False
QQQ,event_option_qqq_branch_router_topk_current_wide_d65_fw35_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,305,0.5016393442622951,1.434576063949953,17.148640316224117,10,5,0.6196721311475409,0.8167056370754172,0.03255912052166838,0.3164927981292461,0.7600774838736253,False,False
QQQ,event_option_qqq_branch_router_topk_balanced_call075_2025h2_2026jun_risk5000,trade_union_topk_regressor_trades.csv,319,0.49843260188087773,1.409781173504153,17.29757868720924,10,5,0.6081504702194357,0.8242733762152359,0.008292590965176481,0.38941575465527045,0.7621433029897386,False,False
QQQ,event_option_qqq_nested_volume_backfill_m19_maxday3_2026janmay_risk5000,nested_volume_backfill_trades.csv,146,0.4931506849315068,1.3935065178926518,7.726125052371917,0,4,0.6506849315068494,0.9707324110289288,0.01998281346156862,0.20634156855123129,0.7905353186074285,False,False
QQQ,event_option_qqq_union_balanced_d65_current_topk_s2_m19_maxday5_hist202507_2026janmay_risk5000,trade_union_topk_regressor_trades.csv,217,0.4976958525345622,1.3915907458087777,10.529182124301531,0,4,0.695852534562212,0.8918377040630536,-0.042116165711599846,-0.024797592276052563,0.7485516519663331,False,False
QQQ,event_option_qqq_static_union_metas1_current_online_cd45_2026janmay_risk5000,combined_trades.csv,202,0.4900990099009901,1.387403536211552,10.184333151876551,0,5,0.5445544554455446,0.8247962703824382,0.4653487163139968,0.6436729517454307,0.7059196395482852,False,False
