kind,trigger_losses,pause_days,trigger_sum,gate_pass,simple_health_pass,all_trades,all_wr,all_pf,all_pnl,all_minM,all_call,all_negM,all_maxNegStreak,all_top5,all_ddpnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_pnl,QQQ_minM,QQQ_call,QQQ_negM,QQQ_maxNegStreak,QQQ_top5,QQQ_ddpnl,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_pnl,SPXW_minM,SPXW_call,SPXW_negM,SPXW_maxNegStreak,SPXW_top5,SPXW_ddpnl,SPY_trades,SPY_wr,SPY_pf,SPY_pnl,SPY_minM,SPY_call,SPY_negM,SPY_maxNegStreak,SPY_top5,SPY_ddpnl
streak,4,1,None,False,False,1833,0.49372613202400434,1.374644229010608,71.53879412641193,86,0.4402618657937807,2,5,0.20599090794892996,0.08357652544899763,626,0.5079872204472844,1.362807536660571,21.204413858495204,32,0.4680511182108626,5,7,0.2357999628457936,0.1342252813988854,341,0.49853372434017595,1.4013753051912556,14.781828452425476,17,0.39589442815249265,4,6,0.16912657375548068,0.21661906347496773,866,0.4815242494226328,1.3715855208572578,35.55255181549125,22,0.4376443418013857,3,6,0.2109553215454998,0.12465026451991176
streak,4,2,None,False,False,1798,0.4916573971078977,1.3626467943367624,68.3120362158825,82,0.4410456062291435,2,5,0.2103225441390886,0.0807180273300287,610,0.5049180327868853,1.359076410245821,20.599132937962768,30,0.4639344262295082,5,6,0.24272866314607583,0.1278269777610039,334,0.5,1.3996532201591558,14.423304135311877,16,0.40119760479041916,4,5,0.17333060279020054,0.20607806229110123,854,0.47892271662763464,1.3507336847318134,33.289599142607855,21,0.44028103044496486,4,6,0.2252955936138215,0.12605688630556156
streak,4,3,None,False,False,1766,0.4943374858437146,1.3778182013186335,69.48013280105542,78,0.43997734994337484,1,5,0.20678661184176264,0.0661773752601759,597,0.5041876046901173,1.3534388671377635,19.90351042866446,29,0.457286432160804,5,5,0.25121196674929985,0.1511970878288295,327,0.5045871559633027,1.4297724681249184,14.882969988768233,15,0.4036697247706422,3,5,0.16797722510269664,0.1795560005870489,842,0.4833729216152019,1.3732323536828874,34.69365238362272,20,0.4418052256532066,4,5,0.21617787360838392,0.1031999511019014
streak,4,5,None,False,False,1695,0.48849557522123893,1.344374522557282,61.74620992521423,70,0.4389380530973451,2,5,0.23268733853701576,0.09042144488576341,566,0.5,1.3005061282288075,16.35646854595062,22,0.4558303886925795,7,6,0.30568945771841766,0.2216664908584081,313,0.49201277955271566,1.393094425479038,13.333121824584847,13,0.3961661341853035,5,7,0.1875029743889588,0.21099888781645768,816,0.4791666666666667,1.3524584518373852,32.05661955467876,18,0.44362745098039214,5,6,0.23396103844347343,0.11519723420599022
streak,5,1,None,True,False,1850,0.49243243243243245,1.368139234486759,71.20349159991352,87,0.43945945945945947,2,5,0.20882093798112653,0.08229686746842574,633,0.5055292259083728,1.3583389923186218,21.41160926049094,33,0.46445497630331756,4,7,0.23351817881461545,0.1259807136349224,344,0.49709302325581395,1.4054211145514566,15.080886545468925,19,0.39244186046511625,3,6,0.16577274767385136,0.21144412857555306,873,0.48109965635738833,1.3598332800505655,34.710995793953664,23,0.43986254295532645,4,7,0.216069859952172,0.12462207651678851
streak,5,2,None,True,False,1834,0.495092693565976,1.3855343684230899,73.45203299765038,86,0.43838604143947657,2,5,0.2024284324969036,0.07569326653851911,627,0.507177033492823,1.3666219073622201,21.61537272215595,32,0.4609250398724083,5,6,0.23131685325393234,0.11509666385232067,340,0.5029411764705882,1.450645605458136,16.24055239892528,18,0.3941176470588235,3,5,0.15393565062266215,0.17787356259782294,867,0.48327566320645904,1.372642655744263,35.59610787656915,23,0.43944636678200694,4,6,0.21069719268203518,0.12152329655836928
streak,5,3,None,False,False,1816,0.4944933920704846,1.380895311886058,72.05232698599625,84,0.43667400881057267,2,5,0.2063608564136316,0.07815426848701247,619,0.5105008077544426,1.380009598709959,22.118019771625107,30,0.4588045234248788,4,7,0.2260600203646815,0.12386185051670376,336,0.49702380952380953,1.4249833324272783,15.315724807608873,17,0.3898809523809524,3,6,0.16323092974078487,0.19327439920918257,861,0.4819976771196283,1.364700045501497,34.61858240676226,23,0.43902439024390244,5,5,0.21664665271027908,0.12495475184342157
streak,5,5,None,False,False,1781,0.49073554183043233,1.3655189820865274,68.30567696067854,80,0.43571027512633353,2,5,0.2176800020880358,0.07906768309557556,604,0.5049668874172185,1.3570211262780645,20.45409823780928,26,0.4602649006622517,5,7,0.24444978907735612,0.12079475709936548,328,0.4969512195121951,1.4305371774548512,15.1171144104589,15,0.3902439024390244,4,6,0.16537547657047263,0.18057098383361633,849,0.47820965842167257,1.3465067676794489,32.734464312410346,23,0.43580683156654887,5,7,0.2291163199868399,0.13214685087020134
rollsum,0,1,"(3, -1.5)",True,False,1854,0.4924487594390507,1.3723259758398316,71.97489739965692,89,0.44228694714131606,2,5,0.20658285653208974,0.08607726328817743,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,865,0.4797687861271676,1.3695421239019911,35.2431882581214,23,0.44508670520231214,3,7,0.21280708047949404,0.12574444047744837
rollsum,0,2,"(3, -1.5)",True,False,1816,0.4911894273127753,1.3663616831399168,69.81110978936057,89,0.43997797356828194,2,5,0.21298586927336388,0.08115615130504104,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,827,0.47642079806529625,1.357187286870449,33.07940064782504,23,0.44014510278113667,5,7,0.22672720342933791,0.1273205852261955
