path,dir,file,ticker,window,v_trades,v_wr,v_pf,v_r,v_min_month,v_pos_months,v_call_rate,t_trades,t_wr,t_pf,t_r,t_min_month,t_pos_months,t_call_rate
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPY,octdec,105,0.5047619047619047,1.3562334573641226,4.374085086373657,9,2,0.6666666666666666,110,0.33636363636363636,0.9064112924214515,-1.763145782267891,3,3,0.6363636363636364
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,QQQ,h2,115,0.4260869565217391,1.0226439409890393,0.34045828600535116,0,2,0.6086956521739131,122,0.36065573770491804,0.8873566331518257,-2.1730947611996547,4,3,0.5819672131147541
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,QQQ,octdec,115,0.4260869565217391,1.0226439409890393,0.34045828600535116,17,2,0.6086956521739131,122,0.36065573770491804,0.8873566331518257,-2.1730947611996547,4,3,0.5819672131147541
research_papers\JEPA\results\event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,217,0.3548387096774194,0.848759180203508,-5.871935804782954,29,3,0.29493087557603687,206,0.39805825242718446,0.9987154690381198,-0.04595956698814785,0,4,0.35436893203883496
research_papers\JEPA\results\event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,110,0.33636363636363636,0.7562115307914932,-5.1177438257546495,34,1,0.36363636363636365,206,0.39805825242718446,0.9987154690381198,-0.04595956698814785,0,4,0.35436893203883496
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,225,0.52,1.0523725496271088,1.304392708808202,20,4,0.6666666666666666,306,0.4150326797385621,0.9075361971119675,-3.796886056083747,0,2,0.7026143790849673
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,115,0.5391304347826087,1.018825202768528,0.22757716571959544,22,2,0.7217391304347827,306,0.4150326797385621,0.9075361971119675,-3.796886056083747,0,2,0.7026143790849673
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,307,0.48534201954397393,1.1199303032031667,3.408824636453967,19,4,0.742671009771987,319,0.4106583072100313,1.0510000926476506,1.9089928751165406,0,3,0.7429467084639498
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,166,0.536144578313253,1.5428951528085437,6.6373005736603226,35,3,0.7469879518072289,319,0.4106583072100313,1.0510000926476506,1.9089928751165406,0,3,0.7429467084639498
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,24,3,0.28888888888888886,201,0.4228855721393035,1.1459912729902657,4.938721660440942,0,4,0.3681592039800995
