ticker,delta_target,max_minutes_to_close,feature,op,threshold,name,score,train_reason,core_reason,inner_val_reason,train_trades,train_wr,train_pf,train_pnl,train_min_month,train_long_rate,core_trades,core_wr,core_pf,core_pnl,core_min_month,core_long_rate,inner_val_trades,inner_val_wr,inner_val_pf,inner_val_pnl,inner_val_min_month,inner_val_long_rate
SPX,0.5,140.0,net_delta,<=,-18.635166764526684,SPX_d0.50_mtc_le_140_net_delta_<=_m18p635,-1.1499999999999999e+18,min_month 0<15,min_month 0<15,min_month 0<15,191,0.35602094240837695,1.2852299790775707,108765.70863075333,0,0.8586387434554974,105,0.4380952380952381,1.566698984060891,108692.6821852497,0,0.8380952380952381,86,0.2558139534883721,1.0003853095819002,73.0264455036322,0,0.8837209302325582
SPX,0.6,140.0,net_delta,<=,-18.635166764526684,SPX_d0.60_mtc_le_140_net_delta_<=_m18p635,-1.1499999999999999e+18,min_month 0<15,min_month 0<15,min_month 0<15,191,0.39267015706806285,1.281347191261009,92217.63702114335,0,0.8586387434554974,105,0.4857142857142857,1.757614651579621,117307.9302509894,0,0.8380952380952381,86,0.27906976744186046,0.854913335618989,-25090.293229846066,0,0.8837209302325582
SPX,0.6,60.0,net_delta,<=,18.27192410937688,SPX_d0.60_mtc_le_60_net_delta_<=_18p272,-1.1499999999999999e+18,min_month 10<15,min_month 10<15,min_month 11<15,209,0.37799043062200954,1.2616953062702514,102453.60757944512,10,0.6124401913875598,141,0.3900709219858156,1.4409533968941584,118616.0176978308,10,0.5886524822695035,68,0.35294117647058826,0.8680626163245793,-16162.4101183857,11,0.6617647058823529
SPX,0.5,180.0,net_delta,<=,-18.635166764526684,SPX_d0.50_mtc_le_180_net_delta_<=_m18p635,-1.1499999999999999e+18,min_month 0<15,min_month 0<15,min_month 0<15,258,0.32945736434108525,1.2389344759567191,122621.4732657234,0,0.872093023255814,142,0.3873239436619718,1.3742695586020972,100426.7147692834,0,0.8661971830985915,116,0.25862068965517243,1.0906374556028808,22194.75849643998,0,0.8793103448275862
SPX,0.5,60.0,net_delta,<=,18.27192410937688,SPX_d0.50_mtc_le_60_net_delta_<=_18p272,-1.1499999999999999e+18,min_month 10<15,min_month 10<15,min_month 11<15,209,0.3253588516746411,1.224547411731339,104694.24133174522,10,0.6124401913875598,141,0.3333333333333333,1.3936245125360063,124083.83480549548,10,0.5886524822695035,68,0.3088235294117647,0.8716019433907063,-19389.593473750294,11,0.6617647058823529
SPX,0.4,60.0,net_delta,<=,18.27192410937688,SPX_d0.40_mtc_le_60_net_delta_<=_18p272,-1.1499999999999999e+18,min_month 10<15,min_month 10<15,min_month 11<15,209,0.24401913875598086,1.2225790019965324,122117.17024097512,10,0.6124401913875598,141,0.2624113475177305,1.389233918734047,144862.99211350238,10,0.5886524822695035,68,0.20588235294117646,0.8711078748111921,-22745.821872527264,11,0.6617647058823529
SPX,0.7,60.0,net_delta,<=,18.27192410937688,SPX_d0.70_mtc_le_60_net_delta_<=_18p272,-1.1499999999999999e+18,min_month 10<15,min_month 10<15,min_month 11<15,209,0.430622009569378,1.2201581862282345,73181.86275229849,10,0.6124401913875598,141,0.44680851063829785,1.383325635952893,87788.0934024626,10,0.5886524822695035,68,0.39705882352941174,0.8587252206173575,-14606.230650164085,11,0.6617647058823529
SPX,0.6,180.0,net_delta,<=,-18.635166764526684,SPX_d0.60_mtc_le_180_net_delta_<=_m18p635,-1.1499999999999999e+18,min_month 0<15,min_month 0<15,min_month 0<15,258,0.3643410852713178,1.1986656031661562,88019.50840949353,0,0.872093023255814,142,0.43661971830985913,1.4802969394239007,106090.68269240507,0,0.8661971830985915,116,0.27586206896551724,0.9186598607033265,-18071.174282911572,0,0.8793103448275862
SPX,0.7,140.0,net_delta,<=,-18.635166764526684,SPX_d0.70_mtc_le_140_net_delta_<=_m18p635,-1.1499999999999999e+18,min_month 0<15,min_month 0<15,min_month 0<15,191,0.41361256544502617,1.1766945750295452,52297.86405900465,0,0.8586387434554974,105,0.5047619047619047,1.503549972395265,73889.45413788075,0,0.8380952380952381,86,0.3023255813953488,0.8553247871376922,-21591.590078876117,0,0.8837209302325582
SPX,0.5,140.0,net_delta,<=,-17.280433537449255,SPX_d0.50_mtc_le_140_net_delta_<=_m17p28,-1.1499999999999999e+18,min_month 0<15,min_month 2<15,min_month 0<15,286,0.3321678321678322,1.168981731485058,99059.5738082751,0,0.7727272727272727,170,0.37058823529411766,1.2627233878359723,90313.22490390929,2,0.7588235294117647,116,0.27586206896551724,1.036073836990741,8746.348904365843,0,0.7931034482758621
