sources,min_score,select_pass,select_user_pass,test2025_pass,test2025_user_pass,test2026_pass,test2026_user_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d50ret,d65ret",0.0,False,False,False,False,False,False,119,0.36134453781512604,0.8719963977306789,-2.7423714370059744,11,0.29411764705882354,,0.3333333333333333,205,0.375609756097561,0.9177816036115791,-2.7766727638066886,0,0.3951219512195122,,0.5,94,0.39361702127659576,1.0095943589391598,0.14829244414919007,15,0.4148936170212766,16.858579776895898,0.4
"d65ret,d50ret",-999999.0,False,False,False,False,False,False,119,0.36134453781512604,0.8719963977306789,-2.7423714370059744,11,0.29411764705882354,,0.3333333333333333,227,0.3876651982378855,0.9425055306255705,-2.0495013515405534,0,0.4052863436123348,,0.4166666666666667,101,0.40594059405940597,1.0545137912439324,0.860971201510858,19,0.42574257425742573,2.903697586647411,0.4
"d65ret,d50ret",0.0,False,False,False,False,False,False,119,0.36134453781512604,0.8719963977306789,-2.7423714370059744,11,0.29411764705882354,,0.3333333333333333,205,0.375609756097561,0.9177816036115791,-2.7766727638066886,0,0.3951219512195122,,0.5,94,0.39361702127659576,1.0095943589391598,0.14829244414919007,15,0.4148936170212766,16.858579776895898,0.4
"d50ret,d65win",-999999.0,True,True,False,False,False,False,126,0.5396825396825397,1.55240356297769,6.16324794409279,18,0.20634920634920634,0.40563028174067595,0.6666666666666666,246,0.46747967479674796,1.0938655081309916,2.5296160666077485,19,0.36585365853658536,0.9882922681434958,0.6666666666666666,102,0.46078431372549017,0.927148294401724,-0.7264655065520231,19,0.6666666666666666,,0.6
"d50ret,d65win",0.0,False,False,False,False,False,False,122,0.5245901639344263,1.4651879975172961,5.190171029781917,16,0.21311475409836064,0.48167969526527266,0.6666666666666666,245,0.46530612244897956,1.091816014842198,2.4743835189449634,19,0.363265306122449,1.0103526720328138,0.6666666666666666,95,0.45263157894736844,0.9135691380421843,-0.7936441581901875,14,0.6631578947368421,,0.6
"d65win,d50ret",-999999.0,True,True,False,False,False,False,126,0.5396825396825397,1.55240356297769,6.16324794409279,18,0.20634920634920634,0.40563028174067595,0.6666666666666666,246,0.46747967479674796,1.0938655081309916,2.5296160666077485,19,0.36585365853658536,0.9882922681434958,0.6666666666666666,102,0.46078431372549017,0.927148294401724,-0.7264655065520231,19,0.6666666666666666,,0.6
"d65win,d50ret",0.0,False,False,False,False,False,False,122,0.5245901639344263,1.4651879975172961,5.190171029781917,16,0.21311475409836064,0.48167969526527266,0.6666666666666666,245,0.46530612244897956,1.091816014842198,2.4743835189449634,19,0.363265306122449,1.0103526720328138,0.6666666666666666,95,0.45263157894736844,0.9135691380421843,-0.7936441581901875,14,0.6631578947368421,,0.6
"d50ret,d80",-999999.0,False,True,False,False,False,False,127,0.4645669291338583,1.3343642814715329,6.534744264438477,19,0.16535433070866143,0.38257044175466626,0.5,246,0.4186991869918699,1.1253986174505017,4.6304889918428955,19,0.3130081300813008,0.5398997825940238,0.5833333333333334,102,0.4411764705882353,1.1653771022771833,2.3689866778829938,19,0.38235294117647056,1.0553035284411494,0.8
"d50ret,d80",0.0,False,False,False,False,False,False,120,0.475,1.385792732967896,7.116202394622932,16,0.14166666666666666,0.3513109747818616,0.6666666666666666,234,0.41025641025641024,1.1242386080213955,4.4485471193434405,17,0.3034188034188034,0.5619812340818757,0.6666666666666666,82,0.43902439024390244,1.1230991700177184,1.5243079893882328,10,0.2804878048780488,1.6400884974717953,0.8
"d80,d50ret",-999999.0,False,True,False,False,False,False,127,0.4645669291338583,1.3343642814715329,6.534744264438477,19,0.16535433070866143,0.38257044175466626,0.5,246,0.4186991869918699,1.1253986174505017,4.6304889918428955,19,0.3130081300813008,0.5398997825940238,0.5833333333333334,102,0.4411764705882353,1.1653771022771833,2.3689866778829938,19,0.38235294117647056,1.0553035284411494,0.8
"d80,d50ret",0.0,False,False,False,False,False,False,120,0.475,1.385792732967896,7.116202394622932,16,0.14166666666666666,0.3513109747818616,0.6666666666666666,234,0.41025641025641024,1.1242386080213955,4.4485471193434405,17,0.3034188034188034,0.5619812340818757,0.6666666666666666,82,0.43902439024390244,1.1230991700177184,1.5243079893882328,10,0.2804878048780488,1.6400884974717953,0.8
"d50ret,d80_front",-999999.0,False,False,False,False,False,False,125,0.448,1.1773668221506843,2.813648916144697,17,0.272,0.8885259229234387,0.6666666666666666,242,0.4669421487603306,1.265646014466781,6.869888694646173,17,0.3677685950413223,0.36390691481629023,0.5833333333333334,102,0.43137254901960786,0.8369953493031947,-2.169071059611757,19,0.37254901960784315,,0.2
"d50ret,d80_front",0.0,False,False,False,False,False,False,115,0.45217391304347826,1.13294264905227,2.0418931713154573,10,0.2608695652173913,1.2243539648009178,0.6666666666666666,216,0.4722222222222222,1.292481343784819,6.87774417078455,12,0.35185185185185186,0.3634912753253547,0.6666666666666666,98,0.4489795918367347,0.8787864991242746,-1.5362590269284975,19,0.35714285714285715,,0.6
"d80_front,d50ret",-999999.0,False,False,False,False,False,False,125,0.448,1.1773668221506843,2.813648916144697,17,0.272,0.8885259229234387,0.6666666666666666,242,0.4669421487603306,1.265646014466781,6.869888694646173,17,0.3677685950413223,0.36390691481629023,0.5833333333333334,102,0.43137254901960786,0.8369953493031947,-2.169071059611757,19,0.37254901960784315,,0.2
"d80_front,d50ret",0.0,False,False,False,False,False,False,115,0.45217391304347826,1.13294264905227,2.0418931713154573,10,0.2608695652173913,1.2243539648009178,0.6666666666666666,216,0.4722222222222222,1.292481343784819,6.87774417078455,12,0.35185185185185186,0.3634912753253547,0.6666666666666666,98,0.4489795918367347,0.8787864991242746,-1.5362590269284975,19,0.35714285714285715,,0.6
"d50ret,d80_zero",-999999.0,False,False,False,False,False,False,125,0.432,1.133577030695066,2.632534624148942,17,0.224,0.949655125925727,0.8333333333333334,216,0.4537037037037037,1.2370776300884458,6.942733228448291,0,0.4305555555555556,0.36008873130197355,0.5,101,0.4158415841584158,1.0669089287205922,0.9683961468724352,19,0.45544554455445546,2.5815881321648004,0.6
