ticker,sources,cap,minscore,daily_order,select_pass,test_pass,both,near,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call
SPY,"cons_m2s1c45,d65win,d80_front",5,0.0,time_asc,False,False,False,1.9090657919419622,659,0.424886191198786,0.9430125232417327,26,-4.275790089110201,0.4006069802731411,315,0.5047619047619047,1.2223503444574595,47,6.392497839254572,0.6063492063492063
SPY,"cons_m2s2c30,d50ret",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"d50ret,cons_m2s2c30",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"cons_m2s2c30,d50ret,d80_front",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"cons_m2s2c30,d80_front,d50ret",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"d50ret,cons_m2s2c30,d80_front",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"d50ret,d80_front,cons_m2s2c30",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"d80_front,cons_m2s2c30,d50ret",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"d80_front,d50ret,cons_m2s2c30",2,0.5,time_asc,False,False,False,1.909003901849065,63,0.47619047619047616,1.3922158326576637,0,2.9177259065236947,0.1746031746031746,26,0.5769230769230769,1.4375055876052736,1,1.1420333935688372,0.5384615384615384
SPY,"cons_m2s1c45,d80_front,d65win",6,0.0,time_asc,False,False,False,1.9089963292562124,710,0.4267605633802817,0.9487395594119997,26,-4.024885117831773,0.4,329,0.49544072948328266,1.1781211369263493,47,5.374505764224864,0.601823708206687
SPY,"d50ret,d65win",7,0.0,score_desc,False,False,False,1.9088951926342255,768,0.4166666666666667,0.9979761147441238,23,-0.18851839164401918,0.3268229166666667,273,0.47985347985347987,1.1172329327491142,25,3.6137595139875236,0.5054945054945055
SPY,"d65win,d50ret",7,0.0,score_desc,False,False,False,1.9088951926342255,768,0.4166666666666667,0.9979761147441238,23,-0.18851839164401918,0.3268229166666667,273,0.47985347985347987,1.1172329327491142,25,3.6137595139875236,0.5054945054945055
SPY,"d65win,d80_front",8,-999999.0,time_asc,False,False,False,1.908858664644648,741,0.4534412955465587,1.00666806230572,21,0.4971321358424672,0.4224021592442645,294,0.5102040816326531,1.0949781021348604,35,2.3777985433944453,0.6360544217687075
