sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"wconly,cons22,ptdj35",5,0.2,True,True,245,0.4816326530612245,1.3681343171179394,80,12.05665364460419,0.5510204081632653,325,0.49230769230769234,1.656858909853914,47,29.978014938127444,0.5138461538461538,True,2.392873917709687
"ptdj35,cons22,wconly",5,0.2,True,True,245,0.4816326530612245,1.3650569358673823,80,11.955867279016644,0.5510204081632653,325,0.49230769230769234,1.6580563759501084,47,30.032665420873585,0.5138461538461538,True,2.3909940025553245
"cons22,wconly,ptdj35",5,0.2,True,True,245,0.4775510204081633,1.3448466856470032,80,11.33548204664043,0.5510204081632653,325,0.49230769230769234,1.6602999966976435,47,29.981476517806275,0.5138461538461538,True,2.364864107776358
"cons22,ptdj35,wconly",5,0.2,True,True,245,0.4775510204081633,1.3448466856470032,80,11.33548204664043,0.5510204081632653,325,0.49230769230769234,1.6602999966976435,47,29.981476517806275,0.5138461538461538,True,2.364864107776358
"topk,cons22,ptdj80",5,0.5,True,True,250,0.512,1.32282439832353,72,10.120364594384045,0.652,327,0.5076452599388379,1.536365088060978,52,22.521508573626537,0.5688073394495413,True,2.2584800062621837
"cons22,topk,ptdj80",5,0.5,True,True,250,0.512,1.32282439832353,72,10.120364594384045,0.652,327,0.5076452599388379,1.536365088060978,52,22.521508573626537,0.5688073394495413,True,2.2584800062621837
"topk,ptdj35,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,338,0.5118343195266272,1.5387625373188165,60,23.631163296686708,0.5325443786982249,True,2.2545321967240857
"ptdj35,topk,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,338,0.5118343195266272,1.5387625373188165,60,23.631163296686708,0.5325443786982249,True,2.2545321967240857
"topk,cons32,ptdj80",5,0.5,True,True,250,0.508,1.3074131813452576,72,9.729455503474954,0.648,331,0.5045317220543807,1.5176294687107121,54,22.016817388663476,0.5649546827794562,True,2.250106094164731
"cons32,topk,ptdj80",5,0.5,True,True,250,0.508,1.3074131813452576,72,9.729455503474954,0.648,331,0.5045317220543807,1.5176294687107121,54,22.016817388663476,0.5649546827794562,True,2.250106094164731
"topk,ptdj80,cons22",5,0.5,True,True,250,0.512,1.3142399487952174,72,9.851246895970355,0.652,327,0.5076452599388379,1.536365088060978,52,22.521508573626537,0.5688073394495413,True,2.2498955567338714
