path,dir,file,ticker,v25_trades,v25_wr,v25_pf,v25_r,v25_min_month,v25_pos_months,v25_months,v25_call_rate,t26_trades,t26_wr,t26_pf,t26_r,t26_min_month,t26_pos_months,t26_months,t26_call_rate
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even,event_option_gate_trades.csv,QQQ,87,0.45977011494252873,1.4313995314506682,4.435976638433882,0,3,12,0.7701149425287356,86,0.36046511627906974,0.8830494429597091,-1.8308040997451314,8,4,6,0.3953488372093023
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain,event_option_gate_trades.csv,SPY,3,0.6666666666666666,3.3333333333333335,0.7,0,1,12,0.0,85,0.32941176470588235,0.8191795482965762,-2.8243526532631247,5,1,6,0.36470588235294116
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain,event_option_gate_trades.csv,QQQ,15,0.3333333333333333,1.0734521991868997,0.1710653703130352,0,1,12,0.26666666666666666,49,0.42857142857142855,1.0879576655275902,0.7017459661888876,0,4,6,0.7142857142857143
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid,event_option_gate_trades.csv,SPXW,143,0.4195804195804196,1.0624813984337753,1.364328699209808,0,1,12,0.972027972027972,133,0.3458646616541353,0.8740679580481494,-2.9542321275928263,11,3,6,0.7142857142857143
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid,event_option_gate_trades.csv,SPY,53,0.39622641509433965,0.9683772907509932,-0.19363481397079008,0,1,12,0.7924528301886793,85,0.32941176470588235,0.8191795482965762,-2.8243526532631247,5,1,6,0.36470588235294116
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid,event_option_gate_trades.csv,QQQ,15,0.3333333333333333,1.0734521991868997,0.1710653703130352,0,1,12,0.26666666666666666,106,0.3867924528301887,0.9722152553834106,-0.49003726384814605,6,4,6,0.6981132075471698
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_quantile_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_quantile_min18_2025h2_2026,event_option_gate_trades.csv,SPY,246,0.4065040650406504,1.065777903813128,2.45197273692204,0,4,12,0.508130081300813,170,0.4294117647058823,1.2345848997354376,5.61032001953191,0,3,6,0.4411764705882353
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,SPY,384,0.3671875,0.7213108178318326,-17.281632612520873,0,0,12,0.5625,155,0.4645161290322581,1.4766139036631236,9.266291856597725,0,5,6,0.2903225806451613
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,SPY,384,0.3671875,0.7213108178318326,-17.281632612520873,0,0,12,0.5625,177,0.4632768361581921,1.389228459941491,8.745123988726707,13,5,6,0.288135593220339
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026,event_option_gate_trades.csv,SPY,218,0.40825688073394495,1.0251641551518553,0.8368652421685914,0,4,12,0.5412844036697247,177,0.4519774011299435,1.412274694601744,9.23821309130425,0,5,6,0.480225988700565
