path,all_metric_pass,hold_proven,hold_issue,raw_banned_cols,feature_banned,feature_count,research_audit,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_min_month,SPXW_pos_month,SPXW_pnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_min_month,QQQ_pos_month,QQQ_pnl,SPY_trades,SPY_wr,SPY_pf,SPY_min_month,SPY_pos_month,SPY_pnl
research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spybackfill_m18_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=45 missing=423,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,227,0.5286343612334802,1.4758288364840022,0,0.8333333333333334,13.543692224268934,163,0.48466257668711654,1.5168662912118136,0,0.8333333333333334,10.51478325434931
research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spywincls_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=43 missing=424,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,227,0.5286343612334802,1.4758288364840022,0,0.8333333333333334,13.543692224268934,155,0.4645161290322581,1.4766139036631236,0,0.8333333333333334,9.266291856597725
research_papers\JEPA\results\event_option_current_best_causal_qqqcircuit_sidecircuits_spydd25_tdvp_meta_2026janjun_risk5000\combined_trades.csv,False,False,missing,1,0,0,missing,263,0.5171102661596958,1.494956167581303,23,0.8333333333333334,12.795124469946682,206,0.5097087378640777,1.61249995452866,10,0.8333333333333334,18.01474574510754,182,0.46153846153846156,1.5375106564141192,19,0.8333333333333334,20.910646405679817
research_papers\JEPA\results\event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=126 missing=0,54,0,0,missing,263,0.5171102661596958,1.494956167581303,23,0.8333333333333334,12.795124469946682,206,0.5097087378640777,1.61249995452866,10,0.8333333333333334,18.01474574510754,169,0.47337278106508873,1.661591879543966,19,0.8333333333333334,23.019418087330827
research_papers\JEPA\results\event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=125 missing=165,140,0,0,missing,386,0.48186528497409326,1.3692619640902954,42,1.0,17.830356613052952,206,0.5097087378640777,1.61249995452866,10,0.8333333333333334,18.01474574510754,169,0.47337278106508873,1.661591879543966,19,0.8333333333333334,23.019418087330827
research_papers\JEPA\results\event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=113 missing=137,140,0,0,missing,344,0.47093023255813954,1.3301410487458103,0,0.8333333333333334,14.919747166814261,196,0.5051020408163265,1.574749834095361,0,0.6666666666666666,16.214745745107543,149,0.47651006711409394,1.5892394723365237,0,0.6666666666666666,18.759917007006305
research_papers\JEPA\results\event_option_current_best_causal_spxw_outer_s1_qqq_outer_call50_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=30 missing=386,140,0,0,passed,188,0.5159574468085106,1.6232220732095586,0,0.8333333333333334,12.670497654626843,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_spxw_outer_s1_qqq_outer_call50_spy_junes2_2026janjun_partial_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=42 missing=414,140,0,0,passed,227,0.5242290748898678,1.6625085606972099,22,1.0,15.409285070086225,222,0.5315315315315315,1.7001277876102578,10,1.0,17.300976178407375,184,0.4782608695652174,1.6133220818228686,20,1.0,14.47428433467383
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_outerselector_call50_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=29 missing=362,140,0,0,passed,178,0.5,1.5039946151215455,0,0.8333333333333334,10.478693159178805,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janjun_partial_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=35 missing=408,140,0,0,missing,213,0.5070422535211268,1.5131367035706709,22,1.0,12.017480574638187,222,0.5315315315315315,1.7001277876102578,10,1.0,17.300976178407375,186,0.478494623655914,1.4095446560505394,20,0.8333333333333334,9.69361538647829
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=29 missing=362,140,0,0,passed,178,0.5,1.5039946151215455,0,0.8333333333333334,10.478693159178805,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_spy_junes2_2026janjun_partial_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=41 missing=386,140,0,0,missing,213,0.5070422535211268,1.5131367035706709,22,1.0,12.017480574638187,222,0.5315315315315315,1.7001277876102578,10,1.0,17.300976178407375,184,0.4782608695652174,1.6133220818228686,20,1.0,14.47428433467383
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_topk_s2_2026janmay_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=29 missing=362,140,0,0,missing,178,0.5,1.5039946151215455,0,0.8333333333333334,10.478693159178805,212,0.5283018867924528,1.6593026525775687,0,0.8333333333333334,15.500976178407374,164,0.4817073170731707,1.4948223761198152,0,0.8333333333333334,10.214783254349308
research_papers\JEPA\results\event_option_current_best_plus_qqq_full20familyselector_partialonly_2026janjun_diag_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=41 missing=425,141,0,0,failed,227,0.5242290748898678,1.6625085606972099,22,1.0,15.409285070086225,232,0.5258620689655172,1.6601359633286574,19,1.0,17.500976178407377,184,0.4782608695652174,1.6133220818228686,20,1.0,14.47428433467383
research_papers\JEPA\results\event_option_current_best_plus_qqq_full20win65_autopartial19_2026janjun_diag_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=41 missing=430,141,0,0,missing,227,0.5242290748898678,1.6625085606972099,22,1.0,15.409285070086225,237,0.5232067510548524,1.6421096484168853,19,1.0,17.600976178407375,184,0.4782608695652174,1.6133220818228686,20,1.0,14.47428433467383
research_papers\JEPA\results\event_option_current_best_plus_qqq_full20win65_backfill_t28_2026janjun_diag_risk5000\combined_trades.csv,False,False,exit_minutes: min=2.0 under30=41 missing=436,140,0,0,missing,227,0.5242290748898678,1.6625085606972099,22,1.0,15.409285070086225,243,0.5267489711934157,1.6783357054558423,19,1.0,19.000976178407377,184,0.4782608695652174,1.6133220818228686,20,1.0,14.47428433467383
research_papers\JEPA\results\event_option_delta_ranker_rawhist2024_same_side_2025h2_2026jun_candidate_with2025h2_risk5000_n120_combined\combined_trades.csv,False,False,missing,107,0,0,missing,299,0.5384615384615384,1.3012321634777657,24,0.6666666666666666,5.7897430319653616,211,0.4218009478672986,1.1678835499216826,14,0.6666666666666666,5.77833562422876,190,0.43157894736842106,1.10402087723553,18,0.6666666666666666,2.11906994216755
research_papers\JEPA\results\event_option_dense15_backfill18_no_scorethr_spy_wf2026_fullmayjun_production_v1\combined_trades.csv,False,False,missing,2,0,0,missing,125,0.512,1.7486338797814203,19,1.0,13.7,178,0.4606741573033708,1.4236111111111114,19,1.0,12.2,119,0.5042016806722689,1.6949152542372878,18,1.0,12.299999999999999
research_papers\JEPA\results\event_option_dense15_backfill18_wf2026_fulljun_excl202605_production_v1\combined_trades.csv,False,False,missing,3,0,0,missing,131,0.4961832061068702,1.6414141414141414,0,0.8333333333333334,12.7,133,0.48872180451127817,1.5931372549019607,0,0.8333333333333334,12.100000000000001,116,0.5172413793103449,1.7857142857142856,0,0.8333333333333334,13.2
research_papers\JEPA\results\event_option_dense15_backfill18_wf2026_fullmayjun_production_v1\combined_trades.csv,False,False,missing,2,0,0,missing,125,0.512,1.7486338797814203,19,1.0,13.7,178,0.4606741573033708,1.4236111111111114,19,1.0,12.2,121,0.4628099173553719,1.435897435897436,19,0.8333333333333334,8.5
research_papers\JEPA\results\event_option_dense15_backfill19_spy_no_scorethr_wf2026_fullmayjun_production_v1\combined_trades.csv,False,False,missing,2,0,0,missing,125,0.512,1.7486338797814203,19,1.0,13.7,178,0.4606741573033708,1.4236111111111114,19,1.0,12.2,122,0.5081967213114754,1.7222222222222219,19,1.0,12.999999999999998
