sources,cap,min_score,daily_order,select_pass,test2025_pass,test2026_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d80,d80_zero,cons_m3s2c30",2,-999999.0,score_desc,False,False,True,251,0.47410358565737054,1.2085154321542206,7.040009482723853,36,0.17131474103585656,0.7102263160681778,0.5,469,0.4605543710021322,1.1690954316986004,10.2696879396435,31,0.3752665245202559,0.4868697110745479,0.6666666666666666,199,0.5276381909547738,1.6503299963171782,11.811262952118312,37,0.5527638190954773,0.42332475538555897,0.8
"d80,d80_zero,cons_m3s2c30",2,0.0,time_asc,False,True,True,251,0.4342629482071713,1.0495056373253353,1.8879591461058323,36,0.18725099601593626,2.6483623919051253,0.5,440,0.47045454545454546,1.3018792626838205,16.149370286096122,24,0.36818181818181817,0.3096095953849528,0.75,194,0.5154639175257731,1.564990834764257,10.848503424613707,35,0.5876288659793815,0.46089306555001064,0.8
"d80,d80_zero,cons_m3s2c30",2,0.0,score_desc,False,False,True,251,0.47410358565737054,1.2085154321542206,7.040009482723853,36,0.17131474103585656,0.7102263160681778,0.5,440,0.4590909090909091,1.1876797585697296,10.643676349963945,24,0.3477272727272727,0.46976249893364497,0.75,194,0.5309278350515464,1.6682217607399028,11.919168045496367,35,0.5515463917525774,0.41949236565124526,0.8
"d80,d80_zero,cons_m3s2c30",3,-999999.0,time_asc,False,False,True,361,0.4155124653739612,0.9737634283843336,-1.4422216441810234,51,0.18005540166204986,,0.3333333333333333,642,0.45638629283489096,1.159015354865094,12.98211624421368,33,0.43769470404984423,0.5777178280423163,0.6666666666666666,275,0.5018181818181818,1.4141205539041193,12.382288233285657,45,0.6181818181818182,0.5283192751164305,1.0
"d80,d80_zero,cons_m3s2c30",3,-999999.0,score_desc,False,False,True,361,0.43490304709141275,1.0563643742775815,3.02301929786969,51,0.16066481994459833,2.4809633220949734,0.5,642,0.45482866043613707,1.140271048415153,12.127952282647433,33,0.3987538940809969,0.6184061270368728,0.6666666666666666,275,0.49818181818181817,1.434372011898826,12.415699630501566,45,0.5454545454545454,0.5062902303926374,0.8
"d80,d80_zero,cons_m3s2c30",3,0.0,time_asc,False,False,True,360,0.4166666666666667,0.9841634954478109,-0.8657800756264564,51,0.17777777777777778,,0.3333333333333333,578,0.4532871972318339,1.1629180805874868,12.114677300165397,24,0.3771626297577855,0.6190837621318733,0.6666666666666666,256,0.5,1.3868653399675959,10.398568593435126,41,0.5703125,0.6545298575016643,0.8
"d80,d80_zero,cons_m3s2c30",3,0.0,score_desc,False,False,True,360,0.43333333333333335,1.0521961140511982,2.799460866424256,51,0.15833333333333333,2.679087280680487,0.5,578,0.45501730103806226,1.1592368263763249,12.250118497716906,24,0.36505190311418684,0.6122389755983013,0.6666666666666666,256,0.5078125,1.5243592573656648,13.576868288968665,41,0.5390625,0.4513744747968548,0.8
"d80,d80_zero,cons_m3s2c30",4,-999999.0,time_asc,False,False,True,451,0.4212860310421286,1.0331355139710467,2.2636310937954907,51,0.17960088691796008,4.3489174910665005,0.3333333333333333,783,0.4495530012771392,1.1234799844144898,12.714872760681505,33,0.4355044699872286,0.7210912720970436,0.5833333333333334,339,0.504424778761062,1.402419356882238,14.724435833562428,50,0.6047197640117994,0.5502640297870658,1.0
"d80,d80_zero,cons_m3s2c30",4,-999999.0,score_desc,False,False,True,451,0.4279379157427938,1.0526682862975194,3.602296897595319,51,0.15521064301552107,2.7327966397496857,0.5,783,0.4495530012771392,1.1084002298243916,11.66731306036598,33,0.4163473818646232,0.8453924930871896,0.5833333333333334,339,0.5014749262536873,1.4454148145118662,16.02596617485531,50,0.5722713864306784,0.44860783392615905,1.0
"d80,d80_zero,cons_m3s2c30",4,0.0,time_asc,False,False,True,447,0.4228187919463087,1.0336253235936634,2.284476151156101,51,0.17225950782997762,4.309235118146142,0.3333333333333333,688,0.4491279069767442,1.1226861478582433,11.122365581673694,24,0.3793604651162791,0.8568972119735191,0.6666666666666666,290,0.503448275862069,1.4291724774299464,12.799108292980478,44,0.5689655172413793,0.6281052156989377,0.8
