path,dir,file,ticker,select_window,select_pass,test_pass,pass_both,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_min_month_trades,select_positive_months,select_call_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_min_month_trades,test_positive_months,test_call_rate
research_papers\JEPA\results\event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,217,0.3548387096774194,0.848759180203508,-5.871935804782954,29,3,0.29493087557603687,206,0.39805825242718446,0.9987154690381198,-0.04595956698814785,21,4,0.35436893203883496
research_papers\JEPA\results\event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,False,False,False,110,0.33636363636363636,0.7562115307914932,-5.1177438257546495,34,1,0.36363636363636365,206,0.39805825242718446,0.9987154690381198,-0.04595956698814785,21,4,0.35436893203883496
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,225,0.52,1.0523725496271088,1.304392708808202,20,4,0.6666666666666666,306,0.4150326797385621,0.9075361971119675,-3.796886056083747,29,2,0.7026143790849673
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,False,False,False,115,0.5391304347826087,1.018825202768528,0.22757716571959544,22,2,0.7217391304347827,306,0.4150326797385621,0.9075361971119675,-3.796886056083747,29,2,0.7026143790849673
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,307,0.48534201954397393,1.1199303032031667,3.408824636453967,19,4,0.742671009771987,319,0.4106583072100313,1.0510000926476506,1.9089928751165406,29,3,0.7429467084639498
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,True,False,False,166,0.536144578313253,1.5428951528085437,6.6373005736603226,35,3,0.7469879518072289,319,0.4106583072100313,1.0510000926476506,1.9089928751165406,29,3,0.7429467084639498
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,24,3,0.28888888888888886,201,0.4228855721393035,1.1459912729902657,4.938721660440942,28,4,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,False,False,False,89,0.449438202247191,1.2662587927592328,3.6363665373637057,24,2,0.38202247191011235,201,0.4228855721393035,1.1459912729902657,4.938721660440942,28,4,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,False,False,False,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,24,3,0.28888888888888886,201,0.4228855721393035,1.1459912729902657,4.938721660440942,28,4,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,False,False,False,89,0.449438202247191,1.2662587927592328,3.6363665373637057,24,2,0.38202247191011235,201,0.4228855721393035,1.1459912729902657,4.938721660440942,28,4,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,204,0.45588235294117646,1.349636080490068,10.787512455244924,0,3,0.2647058823529412,211,0.4549763033175355,1.3175066762771908,10.363959073227464,16,4,0.33175355450236965
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,False,False,False,98,0.5408163265306123,1.8774089792418405,11.350448719534933,0,2,0.29591836734693877,211,0.4549763033175355,1.3175066762771908,10.363959073227464,16,4,0.33175355450236965
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,False,True,False,158,0.34177215189873417,0.8627030380613833,-3.994320340476504,0,1,0.18354430379746836,225,0.4622222222222222,1.3306942742786545,11.36953789696593,23,4,0.3688888888888889
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,False,True,False,55,0.36363636363636365,0.898264127699055,-1.0421291921386504,0,0,0.23636363636363636,225,0.4622222222222222,1.3306942742786545,11.36953789696593,23,4,0.3688888888888889
research_papers\JEPA\results\event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,False,False,False,102,0.4411764705882353,1.1012815138538157,1.2153067833930753,0,2,0.5196078431372549,149,0.40939597315436244,0.9720920696589752,-0.49937186540419787,18,1,0.6241610738255033
research_papers\JEPA\results\event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,False,False,False,102,0.4411764705882353,1.1012815138538157,1.2153067833930753,29,2,0.5196078431372549,149,0.40939597315436244,0.9720920696589752,-0.49937186540419787,18,1,0.6241610738255033
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d35_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d35_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,False,False,False,46,0.4782608695652174,1.5339502016761455,3.8289719001436193,0,2,0.06521739130434782,160,0.375,0.9961134265829332,-0.11542015750869927,24,3,0.2875
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d35_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d35_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,False,False,False,7,0.42857142857142855,1.25,0.2999999999999999,0,1,0.0,160,0.375,0.9961134265829332,-0.11542015750869927,24,3,0.2875
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d50_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d50_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,False,False,False,76,0.3815789473684211,1.066244598394112,0.9008689733681388,0,2,0.3026315789473684,303,0.4158415841584158,1.1881418310154335,9.903741634276816,26,4,0.40924092409240925
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d50_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d50_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,False,False,False,19,0.42105263157894735,1.2121212121212124,0.7,0,1,0.6842105263157895,303,0.4158415841584158,1.1881418310154335,9.903741634276816,26,4,0.40924092409240925
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d65_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d65_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,False,False,False,147,0.4217687074829932,1.2756733430353628,6.596552067434068,0,2,0.1836734693877551,182,0.45604395604395603,1.3564296374828309,10.489272294274977,13,5,0.4340659340659341
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d65_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d65_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,False,False,False,38,0.4473684210526316,1.4146253621239924,2.4913419993844474,0,1,0.42105263157894735,182,0.45604395604395603,1.3564296374828309,10.489272294274977,13,5,0.4340659340659341
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d80_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d80_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,False,False,False,137,0.43795620437956206,1.280254827571793,6.132205643346982,0,2,0.19708029197080293,238,0.4327731092436975,1.089351259190006,3.3947893449993582,0,3,0.5336134453781513
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d80_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d80_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,False,False,False,30,0.6333333333333333,2.6726778446782977,5.519836887438382,0,1,0.6333333333333333,238,0.4327731092436975,1.089351259190006,3.3947893449993582,0,3,0.5336134453781513
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,False,False,False,195,0.3333333333333333,0.8113598459554628,-7.3515007440308935,15,2,0.26666666666666666,181,0.4088397790055249,1.1396177822089852,4.481730808908419,17,3,0.5027624309392266
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,False,False,False,91,0.38461538461538464,0.9892575807038981,-0.1804726441745128,22,1,0.18681318681318682,181,0.4088397790055249,1.1396177822089852,4.481730808908419,17,3,0.5027624309392266
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,False,False,False,187,0.3155080213903743,0.7233020956159917,-9.471875883765744,0,1,0.32620320855614976,126,0.38095238095238093,0.924783156383189,-1.6857769973705194,0,2,0.8492063492063492
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,False,False,False,20,0.3,0.7142857142857144,-1.2,0,0,0.0,126,0.38095238095238093,0.924783156383189,-1.6857769973705194,0,2,0.8492063492063492
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,False,False,False,158,0.37341772151898733,1.0003728244208185,0.009550816670139461,0,2,0.3670886075949367,182,0.3956043956043956,0.9615082637005696,-1.2372710579031985,25,2,0.6318681318681318
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,False,False,False,0,,,0.0,0,0,,182,0.3956043956043956,0.9615082637005696,-1.2372710579031985,25,2,0.6318681318681318
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,h2,False,False,False,94,0.3617021276595745,0.7656457635806686,-2.831036317325109,0,0,0.7446808510638298,28,0.5357142857142857,1.6399781021283297,1.614154785734863,0,1,0.7142857142857143
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,octdec,False,False,False,34,0.4117647058823529,0.5461805490727482,-2.074777245112959,0,0,0.7058823529411765,28,0.5357142857142857,1.6399781021283297,1.614154785734863,0,1,0.7142857142857143
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,h2,False,True,False,282,0.4078014184397163,1.0617271705365297,1.778646182274279,25,4,0.7588652482269503,291,0.47079037800687284,1.3680018967724257,10.677847487460223,36,3,0.7491408934707904
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,octdec,False,True,False,183,0.4207650273224044,1.2195558700721205,3.904338984229946,47,2,0.6666666666666666,291,0.47079037800687284,1.3680018967724257,10.677847487460223,36,3,0.7491408934707904
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026,event_option_gate_trades.csv,SPXW,h2,False,True,False,350,0.4057142857142857,1.0970424618080181,3.5649715831270554,25,4,0.5714285714285714,254,0.5078740157480315,1.4807686409519378,12.56233303455121,24,4,0.6259842519685039
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026,event_option_gate_trades.csv,SPXW,octdec,False,True,False,179,0.4245810055865922,1.2923404934910745,5.030384684170278,25,3,0.547486033519553,254,0.5078740157480315,1.4807686409519378,12.56233303455121,24,4,0.6259842519685039
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun,event_option_gate_trades.csv,SPXW,h2,False,True,False,350,0.4057142857142857,1.0970424618080181,3.5649715831270554,25,4,0.5714285714285714,254,0.5078740157480315,1.4807686409519378,12.56233303455121,24,4,0.6259842519685039
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun,event_option_gate_trades.csv,SPXW,octdec,False,True,False,179,0.4245810055865922,1.2923404934910745,5.030384684170278,25,3,0.547486033519553,254,0.5078740157480315,1.4807686409519378,12.56233303455121,24,4,0.6259842519685039
