ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
QQQ,20260116,202601,10:20,620,zero_dte,CALL,0.4536176377859979,0.4536176377859979,0.0756492071262273,-0.3,-0.3,-0.3,thr0.321_maxday1,202601,620,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,10,0,10,12,18,False,primary
QQQ,20260120,202601,10:10,610,zero_dte,CALL,0.3818963263027151,0.3818963263027151,0.1236983081687366,0.5,-0.3,0.5,thr0.321_maxday1,202601,610,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,11,0,12,13,18,False,primary
QQQ,20260121,202601,10:30,630,zero_dte,PUT,0.4239172265008505,0.168176653265079,0.4239172265008505,0.5,-0.3,-0.3,thr0.321_maxday1,202601,630,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,12,0,13,14,18,False,primary
QQQ,20260122,202601,10:00,600,zero_dte,CALL,0.4335674175484389,0.4335674175484389,0.0839318658578903,0.5,-0.3,0.5,thr0.321_maxday1,202601,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,13,0,14,15,18,False,primary
QQQ,20260123,202601,10:35,635,zero_dte,CALL,0.3626927871283568,0.3626927871283568,0.2470647263997062,0.5,-0.3,0.5,thr0.321_maxday1,202601,635,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,14,0,14,16,18,False,primary
QQQ,20260126,202601,10:50,650,zero_dte,PUT,0.341848733419512,0.217680691655262,0.341848733419512,0.5,-0.3,-0.3,thr0.321_maxday1,202601,650,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,15,0,15,17,18,False,primary
QQQ,20260127,202601,10:05,605,zero_dte,CALL,0.3900492632082598,0.3900492632082598,0.1458521621381388,0.5,-0.3,0.5,thr0.321_maxday1,202601,605,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,16,0,16,18,18,False,primary
QQQ,20260128,202601,10:40,640,zero_dte,PUT,0.360976144943362,0.1196019386542529,0.360976144943362,-0.3,0.5,0.5,thr0.321_maxday1,202601,640,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,17,0,17,19,18,False,primary
QQQ,20260129,202601,10:30,630,zero_dte,CALL,0.4367866967690919,0.4367866967690919,0.1046591746095372,-0.3,0.5,-0.3,thr0.321_maxday1,202601,630,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,18,0,18,20,18,False,primary
QQQ,20260130,202601,10:00,600,zero_dte,CALL,0.3638867377916416,0.3638867377916416,0.0999862506893023,0.5,-0.3,0.5,thr0.321_maxday1,202601,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,19,0,18,21,18,False,primary
