ticker,trade_date,path,size_bytes,sha256,audit_rows_read,model_rows_used,original_invalid_open_rows,audit_first_clock,model_first_clock,last_clock
QQQ,20230328,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230328.parquet,11935,4d48753a913ff2146401c2432c0454cb21cb7ea4c47bb81d7e7c4220738ab40a,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230329,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230329.parquet,12224,3347c47fb03cc439e1e719b16b3668fcc908fe2f42eacf469704cdb84c814829,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230330,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230330.parquet,11791,12cbabc9b05943319f5df5605e79c5ff9754c26be76392367de6e5716147230f,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230331,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230331.parquet,13020,f8787957fecf7217dd45039a9a80e58ab86ead18c53a2dd13b8c8d5920e395a1,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230403,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230403.parquet,12361,9750ae8d6a7986466226a4525eb7779acefb9c34741bc1d9716300228abf293a,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230404,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230404.parquet,12618,f826895134eead5e5143db43be0d34cbee0e4bdb4e377209750f1adc0a0cfb08,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230405,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230405.parquet,12585,622ef4754f1b732d8e08b598b6cf21a5c3d13bc5f5beeb9bcd0048c9d49bde22,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230406,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230406.parquet,13147,9be4ec6b7940f052a20f0bc2a89f9d3084baf315ec2be3d8799c4e754aaf4b0b,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230410,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230410.parquet,13102,c6b3e1bd60a211534d41a1c1486978c2b57aabe864b41355c8cdb4812236446f,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230411,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230411.parquet,11912,00c943e8ca40cdff368c04ac63e59932e87c167e919367f7dcad29630ecb6445,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230412,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230412.parquet,12991,17f07145d1b5eab0dd09ddd9b1f1a4c6a996f072f16ea4c0621087d30743aeab,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230413,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230413.parquet,12695,ed54c4462c2fc8a956ecf592cf42190fc545a0b5bbbb9f95ccefc4c665292bd6,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230414,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230414.parquet,13029,76ca54004fdc3fbe268373fef6b5afe8349f8c0775c4724ce61d24b6e886d5b7,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230417,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230417.parquet,12482,17b8f12f12fd20a6cbd509984fffdbd4ee40012a9ec22217b2194a52eece5a9d,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230418,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230418.parquet,11737,e94f6987c51747ee26fb687d78e0e901380ba0269cc624cde46de04dfc241b62,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230419,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230419.parquet,12272,2250d09cf730d6c9359fff19208d2f01c592f1ff86270dd80b8b2c3b86c3fc0d,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230420,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230420.parquet,13077,912dc7894339d02a39365fa9c47fc953a0f36e4724d082964915843a7d19e9b3,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230421,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230421.parquet,12128,3bfb61678e911b64435ee605b1c61c85511f43fd693866ceea14f0b3cb7723dd,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230424,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230424.parquet,12655,22f92e98934e8e3c7596df8ca1b843cd775e39980d9864c44d64377af0ea69dc,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230425,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230425.parquet,13256,e6ee243c77d100ad5c650942967d18264892a9791f9e482f3688912c9bc3bf24,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230426,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230426.parquet,12879,744ed40572d4daed958e43bd9b858c726cc490843ccf7e58c3607f949653d42a,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230427,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230427.parquet,13627,d09d8a07b6be9cd82736bd7d99ac2ab760a099162e733c7013929fc01da650cf,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230428,D:\ThetaData\data_underlying_derived\QQQ\2023\04\QQQ_20230428.parquet,12449,7c1842b6cceb6c31f35639a22bbbebd494fd9b7a2ec3a82233d465c2c2846b9e,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230501,D:\ThetaData\data_underlying_derived\QQQ\2023\05\QQQ_20230501.parquet,11952,d8c47665790c33aadfe0875d62fe6c4a3db0ab78d9de634dd3bc4e3736780140,66,36,0,09:30:00,10:00:00,10:35:00
