cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,9,0.9,1.0,0,,
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,0,0.0,0.1,1,0.08062221652367153,0.0
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,1,0.1,0.2,2,0.1800771626713056,1.0
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,2,0.2,0.30000000000000004,28,0.26546862491702666,0.32142857142857145
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,3,0.30000000000000004,0.4,75,0.3523401088729735,0.25333333333333335
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,4,0.4,0.5,116,0.4484506240080405,0.45689655172413796
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,5,0.5,0.6000000000000001,109,0.5498735968749544,0.43119266055045874
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,6,0.6000000000000001,0.7000000000000001,107,0.649791979438221,0.37383177570093457
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,7,0.7000000000000001,0.8,51,0.7390737905390896,0.5686274509803921
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,8,0.8,0.9,12,0.8300949373534875,0.3333333333333333
lr_2024_SPXW_180m,lr,F1,2024,SPXW,180,9,0.9,1.0,1,0.9490415136838651,1.0
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,0,0.0,0.1,0,,
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,1,0.1,0.2,1,0.16573480307557914,0.0
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,2,0.2,0.30000000000000004,16,0.27953590023557984,0.4375
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,3,0.30000000000000004,0.4,100,0.36489184693607607,0.25
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,4,0.4,0.5,224,0.45337727574298575,0.33035714285714285
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,5,0.5,0.6000000000000001,205,0.5481592669062042,0.36097560975609755
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,6,0.6000000000000001,0.7000000000000001,96,0.6417464558140641,0.5
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,7,0.7000000000000001,0.8,21,0.7371160147921498,0.5238095238095238
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,8,0.8,0.9,4,0.81997257152363,0.25
lr_2024_QQQ_30m,lr,F0,2024,QQQ,30,9,0.9,1.0,0,,
lr_2024_QQQ_30m,lr,F1,2024,QQQ,30,0,0.0,0.1,0,,
