cell_id,family,fold,ticker,horizon,valid_pair,auc_delta,average_precision_delta,log_loss_delta,brier_delta,balanced_accuracy_delta,spearman_delta,ece_delta,bootstrap_requested,bootstrap_valid,bootstrap_auc_delta_p025,bootstrap_auc_delta_median,bootstrap_auc_delta_p975,bootstrap_favorable_share
lr_2024_SPY_120m,lr,2024,SPY,120,True,0.0051046786343020845,-0.0048080975050205366,0.024452266567770886,0.010040288027956756,-0.022460585990929427,0.008662027877749567,0.021681660423994567,1000,1000,-0.023125243193666007,0.005588665331155707,0.03450236931358571,0.637
lr_2024_SPY_180m,lr,2024,SPY,180,True,-0.01559068950373299,-0.017778860416307773,0.02665487476146622,0.011337250979174263,-0.005958797460773768,-0.026752444555942487,0.02067090566983551,1000,1000,-0.04323442112059284,-0.01502654823885774,0.01605527298850577,0.157
lr_2025_SPXW_30m,lr,2025,SPXW,30,True,-0.01872348275225988,-0.0021201920765966387,0.018706680139344956,0.008577630950586917,-0.031232706142778177,-0.029949286530851993,0.012641859003346329,1000,1000,-0.05574158485273494,-0.018999326903966884,0.020955363923072397,0.164
lr_2025_SPXW_60m,lr,2025,SPXW,60,True,-0.03156078901972548,-0.015799411747544845,0.018176243511130674,0.008072571606944384,-0.013035325883147153,-0.05286240543591386,0.004742781653744352,1000,1000,-0.06654846381890643,-0.03158741723516223,0.0016112742435682747,0.037
lr_2025_SPXW_120m,lr,2025,SPXW,120,True,-0.005451991524415001,0.003584111269010537,0.0028844339595276436,0.0014097291480694163,0.029057448277504005,-0.00923096006618955,0.009792859586730526,1000,1000,-0.04967940222993765,-0.006808626767896231,0.03794633191595811,0.395
lr_2025_SPXW_180m,lr,2025,SPXW,180,True,-0.06750517139479906,-0.05859799310702268,0.027190816520952787,0.012487818250456556,-0.030400413711583862,-0.11431332087695092,0.02278098920187893,1000,1000,-0.1292927973666317,-0.06573456904018737,-0.002005920662736228,0.024
lr_2025_QQQ_30m,lr,2025,QQQ,30,True,-0.020636206325245765,-0.022836941432495317,-0.003856015855910111,-0.0021151658170846244,0.0019421228968005133,-0.03421214581698401,-0.012640031719982514,1000,1000,-0.046376979447922184,-0.020132261687055064,0.0027608942582180826,0.051
lr_2025_QQQ_60m,lr,2025,QQQ,60,True,-0.020187618260800066,-0.01120304446012943,0.0036356601894282914,0.0014455154922465296,-0.002938197905284712,-0.03464296540421742,-0.021344166755201135,1000,1000,-0.050600572341647686,-0.018969039875075366,0.012690307347791896,0.116
lr_2025_QQQ_120m,lr,2025,QQQ,120,True,-0.006105390672319855,-0.0036101635550185307,-0.0012653870563412717,-0.0007610785791560271,-0.00663234403391888,-0.010495054656993547,-0.0033788177673620967,1000,1000,-0.03663039968507199,-0.006181381087363824,0.01957666308218797,0.319
lr_2025_QQQ_180m,lr,2025,QQQ,180,True,-0.01377374133252951,-0.009722928584409596,0.0038235297992395,0.001675871464203449,0.029601296352125495,-0.02379218426435889,0.034417151993908435,1000,1000,-0.050516882683928246,-0.013568591134744012,0.021494126388830852,0.239
lr_2025_SPY_30m,lr,2025,SPY,30,True,-0.02024555903866254,-0.0259319646554948,0.021209476347257894,0.009837961491478059,-0.0024599442702890606,-0.032111048601371095,0.013619327877144954,1000,1000,-0.041610951588486385,-0.020851464326913538,0.0008615635488202044,0.03
lr_2025_SPY_60m,lr,2025,SPY,60,True,-0.011731644849174772,-0.007692708848217489,0.010292439068360304,0.004603605751811429,-0.017721969265794058,-0.019483815412297323,0.002804864588887651,1000,1000,-0.04005132951703373,-0.011330591575147375,0.01342454239181817,0.223
