ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,monthly_backfill_role,backfill_min_month_trades,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,runtime_replay_role,event_delta_bucket,event_delta_target
SPY,20230109,202301,12:00,720,zero_dte,CALL,0.5409303934239222,0.5409303934239222,0.2134283608213264,-0.3,0.5,-0.3,thr0.500_maxday2,202301,720,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,9,0,primary,18,5,10,18,False,primary,primary,25,0.25
QQQ,20230109,202301,14:15,855,zero_dte,CALL,0.5668298345343692,0.5668298345343692,0.2328313202611272,0.5,-0.3,0.5,thr0.479_maxday2,202301,855,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,9,0,primary,18,5,10,18,False,primary,primary,25,0.25
SPXW,20230109,202301,14:15,855,zero_dte,CALL,0.609938913019187,0.609938913019187,0.2477201296623145,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,855,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,13,0,primary,18,5,13,18,False,primary,primary,25,0.25
QQQ,20230110,202301,10:00,600,zero_dte,CALL,0.5313349860930325,0.5313349860930325,0.3737835508961957,0.5,-0.3,0.5,thr0.479_maxday2,202301,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,10,0,primary,18,6,11,18,False,primary,primary,25,0.25
SPXW,20230110,202301,10:30,630,zero_dte,CALL,0.5284691516593133,0.5284691516593133,0.4078505748291111,-0.3,0.5,-0.3,thr0.467_maxday3,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,14,0,primary,18,6,14,18,False,primary,primary,25,0.25
SPY,20230110,202301,10:30,630,zero_dte,CALL,0.5518605626840581,0.5518605626840581,0.3908209769798335,-0.3,0.5,-0.3,thr0.500_maxday2,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,10,0,primary,18,6,11,18,False,primary,primary,25,0.25
QQQ,20230110,202301,11:00,660,zero_dte,CALL,0.4902957211087694,0.4902957211087694,0.1497551588323702,-0.3,-0.3,-0.3,thr0.479_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,11,0,primary,18,6,12,18,False,primary,primary,25,0.25
SPXW,20230110,202301,11:00,660,zero_dte,CALL,0.4886041386096467,0.4886041386096467,0.1510752468225621,-0.3,0.5,-0.3,thr0.467_maxday3,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,15,0,primary,18,6,15,18,False,primary,primary,25,0.25
SPY,20230110,202301,11:15,675,zero_dte,CALL,0.5350568001885073,0.5350568001885073,0.2063993583313943,-0.3,0.5,-0.3,thr0.500_maxday2,202301,675,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,11,0,primary,18,6,12,18,False,primary,primary,25,0.25
SPXW,20230110,202301,11:30,690,zero_dte,CALL,0.5904764403746268,0.5904764403746268,0.1877912498997997,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,690,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,16,0,primary,18,6,16,18,False,primary,primary,25,0.25
QQQ,20230111,202301,10:30,630,zero_dte,PUT,0.5905674088902143,0.1508673228403656,0.5905674088902143,-0.3,0.5,0.5,thr0.479_maxday2,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,12,0,primary,18,7,13,18,False,primary,primary,25,0.25
SPY,20230111,202301,10:30,630,zero_dte,PUT,0.5032297500283784,0.3012348311153107,0.5032297500283784,-0.3,0.5,0.5,thr0.500_maxday2,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,12,0,primary,18,7,13,18,False,primary,primary,25,0.25
SPXW,20230111,202301,12:45,765,zero_dte,CALL,0.4880312643860868,0.4880312643860868,0.226039191611947,0.5,-0.3,0.5,thr0.467_maxday3,202301,765,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,17,0,primary,18,7,17,18,False,primary,primary,25,0.25
QQQ,20230111,202301,14:00,840,zero_dte,CALL,0.4840603273825162,0.4840603273825162,0.1213073532070386,-0.3,-0.3,-0.3,thr0.479_maxday2,202301,840,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,13,0,primary,18,7,14,18,False,primary,primary,25,0.25
SPXW,20230111,202301,14:30,870,zero_dte,CALL,0.4698018663345629,0.4698018663345629,0.1353414255911871,0.5,-0.3,0.5,thr0.467_maxday3,202301,870,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,18,0,primary,18,7,18,18,False,primary,primary,25,0.25
SPY,20230112,202301,10:30,630,zero_dte,PUT,0.5045675469220682,0.4048425485734462,0.5045675469220682,0.5,-0.3,-0.3,thr0.500_maxday2,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,13,0,primary,18,8,14,18,False,primary,primary,25,0.25
QQQ,20230112,202301,11:00,660,zero_dte,CALL,0.5521577002140599,0.5521577002140599,0.3572462894248387,0.5,-0.3,0.5,thr0.479_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,14,0,primary,18,8,15,18,False,primary,primary,25,0.25
SPXW,20230112,202301,11:00,660,zero_dte,CALL,0.5005710765090781,0.5005710765090781,0.4117245892397525,0.5,-0.3,0.5,thr0.467_maxday3,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,19,0,primary,18,8,19,18,False,primary,primary,25,0.25
SPY,20230112,202301,11:00,660,zero_dte,CALL,0.541362830944188,0.541362830944188,0.481411104009126,0.5,-0.3,0.5,thr0.500_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,14,0,primary,18,8,15,18,False,primary,primary,25,0.25
QQQ,20230112,202301,11:30,690,zero_dte,CALL,0.4829872665806002,0.4829872665806002,0.2282986920344967,-0.3,0.5,-0.3,thr0.479_maxday2,202301,690,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,15,0,primary,18,8,16,18,False,primary,primary,25,0.25
SPXW,20230112,202301,12:00,720,zero_dte,PUT,0.4972147255913529,0.3614249319619669,0.4972147255913529,0.5,-0.3,-0.3,thr0.467_maxday3,202301,720,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,20,0,primary,18,8,20,18,False,primary,primary,25,0.25
SPXW,20230112,202301,13:15,795,zero_dte,CALL,0.5572283979304817,0.5572283979304817,0.2838906584862928,-0.3,0.5,-0.3,thr0.467_maxday3,202301,795,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,21,0,primary,18,8,21,18,False,primary,primary,25,0.25
