ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,selector_source,selector_source_path,stream_selector_mode,stream_selector_source,stream_selector_select_months,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
SPY,20250218,202502,10:15,615,zero_dte,CALL,0.4012702471129733,0.4012702471129733,0.2845531189343847,-0.3,-0.3,-0.3,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250219,202502,10:00,600,zero_dte,PUT,0.4220641579779929,0.2339501540326585,0.4220641579779929,-0.3,-0.3,-0.3,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250220,202502,10:00,600,zero_dte,CALL,0.4083483945482838,0.4083483945482838,0.2745005018127692,0.5,-0.3,0.5,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250221,202502,10:00,600,zero_dte,PUT,0.5236910821569255,0.2304336898232822,0.5236910821569255,-0.3,0.5,0.5,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250224,202502,10:00,600,zero_dte,PUT,0.6474733776513808,0.1740798186748576,0.6474733776513808,-0.3,0.5,0.5,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250225,202502,10:00,600,zero_dte,PUT,0.666570804546442,0.1526815157631019,0.666570804546442,0.5,0.5,0.5,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250226,202502,10:00,600,zero_dte,CALL,0.5697413272399804,0.5697413272399804,0.2835169968681411,-0.3,-0.3,-0.3,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250227,202502,10:00,600,zero_dte,CALL,0.3843060786901721,0.3843060786901721,0.2658075439886793,0.5,-0.3,0.5,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250228,202502,10:00,600,zero_dte,CALL,0.5402673234830663,0.5402673234830663,0.3108882909569776,-0.3,-0.3,-0.3,thr0.359_maxday1,202502,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202408,202409,202410,202411,202412,202501",,,,,,,,,,,
SPY,20250303,202503,10:30,630,zero_dte,CALL,0.4837666660482413,0.4837666660482413,0.2957953807507552,-0.3,-0.3,-0.3,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
SPY,20250304,202503,10:00,600,zero_dte,PUT,0.6458136698951588,0.2347978892892649,0.6458136698951588,-0.3,0.5,0.5,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
SPY,20250305,202503,10:00,600,zero_dte,PUT,0.5578094028463253,0.2339914447570237,0.5578094028463253,-0.3,-0.3,-0.3,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
SPY,20250306,202503,10:00,600,zero_dte,CALL,0.4610023531854441,0.4610023531854441,0.4149170101555649,0.5,-0.3,0.5,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
SPY,20250307,202503,10:00,600,zero_dte,CALL,0.4895802791072576,0.4895802791072576,0.4864986073777473,-0.3,-0.3,-0.3,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
SPY,20250310,202503,10:00,600,zero_dte,PUT,0.747036173788576,0.1870535183010195,0.747036173788576,-0.3,0.5,0.5,thr0.424_maxday1,202503,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202409,202410,202411,202412,202501,202502",,,,,,,,,,,
