ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,source_backfill_dir,pnl
SPY,20260602,202606,10:00,600,zero_dte,CALL,-0.3000000119209289,-0.3000000119209289,-0.3000000119209289,0.5,-0.3,0.5,thr-999.000_maxday3,202606,600,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,237,1,2,1,18,False,fallback_volume_pace,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260603,202606,10:00,600,zero_dte,CALL,-0.3000000119209289,-0.3000000119209289,-0.3000000119209289,-0.3,0.5,-0.3,thr-999.000_maxday3,202606,600,forcedmax3_d50,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,240,1,3,2,18,False,fallback_volume_pace,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260603,202606,10:45,645,zero_dte,PUT,0.4906979146449965,0.2740608498294443,0.4906979146449965,-0.3,0.5,0.5,thr0.483_maxday3,202606,645,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,75,0,3,3,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260603,202606,11:15,675,zero_dte,PUT,0.5004002893254956,0.3057506001932188,0.5004002893254956,-0.3,0.5,0.5,thr0.483_maxday3,202606,675,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,76,0,3,4,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260605,202606,10:00,600,zero_dte,CALL,0.4876848133296667,0.4876848133296667,0.1713319802625902,0.5,-0.3,0.5,thr0.483_maxday3,202606,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,77,0,5,5,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260605,202606,10:30,630,zero_dte,PUT,0.5470913120455332,0.2782941154727911,0.5470913120455332,-0.3,-0.3,-0.3,thr0.483_maxday3,202606,630,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,78,0,5,6,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,-1500.0
SPY,20260605,202606,11:00,660,zero_dte,PUT,0.5451038551535619,0.2211555334926452,0.5451038551535619,-0.3,0.5,0.5,thr0.483_maxday3,202606,660,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,79,0,5,7,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260608,202606,10:00,600,zero_dte,CALL,0.57654459676919,0.57654459676919,0.1822811002785096,0.5,-0.3,0.5,thr0.483_maxday3,202606,600,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,80,0,5,8,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260608,202606,11:15,675,zero_dte,PUT,0.5472761981750941,0.2601122139370248,0.5472761981750941,-0.3,0.5,0.5,thr0.483_maxday3,202606,675,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,81,0,5,9,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
SPY,20260608,202606,11:45,705,zero_dte,PUT,0.4991768806150307,0.3073181787875871,0.4991768806150307,-0.3,0.5,0.5,thr0.483_maxday3,202606,705,win_valthr_strict_d25,research_papers\JEPA\results\_diagnostics\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_wf2026_fulljun_excl202605_spy_v1\event_option_gate_trades.csv,82,0,5,10,18,False,primary,research_papers\JEPA\results\_diagnostics\event_option_dense15_backfill18_wf2026_fulljun_excl202605_spy_v1,2500.0
