ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id,selector_source,selector_source_path,stream_selector_mode,stream_selector_source,stream_selector_select_months
SPXW,20250407,202504,10:00,600,zero_dte,CALL,0.512930517697471,0.512930517697471,0.2330015921205601,-0.3,-0.3,-0.3,thr0.404_maxday1,202504,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spxw\stream_selector_trades.csv,636.0,0.0,5.0,4.0,18.0,False,primary,725.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202410,202411,202412,202501,202502,202503"
SPY,20250407,202504,10:00,600,zero_dte,CALL,0.4958046293675414,0.4958046293675414,0.2242812800120017,-0.3,-0.3,-0.3,thr0.388_maxday1,202504,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202410,202411,202412,202501,202502,202503"
QQQ,20250407,202504,10:30,630,zero_dte,PUT,-0.2266510688480606,-0.2865951796753154,-0.2266510688480606,0.5,-0.3,-0.3,thr-0.256_maxday2,202504,,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\qqq\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,"202410,202411,202412,202501,202502,202503"
QQQ,20250408,202504,10:00,600,zero_dte,CALL,0.0196246598232282,0.0196246598232282,-0.2844538608393184,-0.3,-0.3,-0.3,thr-0.256_maxday2,202504,,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\qqq\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,"202410,202411,202412,202501,202502,202503"
SPXW,20250408,202504,10:00,600,zero_dte,CALL,0.494381784015069,0.494381784015069,0.3072171214760553,-0.3,-0.3,-0.3,thr0.404_maxday1,202504,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spxw\stream_selector_trades.csv,637.0,0.0,5.0,5.0,18.0,False,primary,726.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202410,202411,202412,202501,202502,202503"
SPY,20250408,202504,10:00,600,zero_dte,CALL,0.4845010609796886,0.4845010609796886,0.291864125435522,-0.3,-0.3,-0.3,thr0.388_maxday1,202504,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202410,202411,202412,202501,202502,202503"
QQQ,20250408,202504,10:30,630,zero_dte,CALL,0.0798786366374677,0.0798786366374677,-0.2503242455204914,-0.3,0.5,-0.3,thr-0.256_maxday2,202504,,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\qqq\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,"202410,202411,202412,202501,202502,202503"
QQQ,20250409,202504,10:00,600,zero_dte,CALL,0.3660804858036929,0.3660804858036929,-0.2653154825315762,-0.3,0.5,-0.3,thr-0.256_maxday2,202504,,QQQ,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\qqq\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_return_valthr_d25_physctx_2023_2026_event_option_gate,"202410,202411,202412,202501,202502,202503"
SPXW,20250409,202504,10:00,600,zero_dte,PUT,0.4935638172043252,0.3742680731367933,0.4935638172043252,-0.3,0.5,0.5,thr0.404_maxday1,202504,600.0,SPXW,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spxw\stream_selector_trades.csv,638.0,0.0,6.0,6.0,18.0,False,primary,727.0,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1\combined_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_cau_combined,"202410,202411,202412,202501,202502,202503"
SPY,20250409,202504,10:00,600,zero_dte,PUT,0.5230825395137438,0.3921027890402518,0.5230825395137438,-0.3,0.5,0.5,thr0.388_maxday1,202504,,SPY,research_papers\JEPA\results\_diagnostics\outer_stream_selector_dense15_param_scan_2025_202604\s6_m19_vw0p5\spy\stream_selector_trades.csv,,,,,,,,,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023__event_option_gate,"202410,202411,202412,202501,202502,202503"
