ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,exit_minutes,exit_status,deploy_config,test_month
SPY,20260212,202602,10:30,630,zero_dte,PUT,0.2604672689543022,-0.10793479973425786,0.2604672689543022,-0.6,3.9551283226916114,3.9551283226916114,30,1,thr-0.200_maxday2,202602
SPY,20260213,202602,10:10,610,zero_dte,PUT,0.14476953450714844,-0.49812715410404895,0.14476953450714844,-0.0933333237965902,-0.6,-0.6,83,-1,thr-0.200_maxday2,202602
SPY,20260213,202602,10:40,640,zero_dte,PUT,-0.03935962059491796,-0.4240703203380464,-0.03935962059491796,-0.05882356034843117,0.2852940128748833,0.2852940128748833,30,1,thr-0.200_maxday2,202602
SPY,20260217,202602,10:00,600,zero_dte,PUT,-0.031538750789425425,-0.2886077102374997,-0.031538750789425425,0.5833333333333333,-0.6,-0.6,60,-1,thr-0.200_maxday2,202602
SPY,20260217,202602,10:30,630,zero_dte,PUT,-0.086060847250762,-0.190643960368609,-0.086060847250762,0.44465658441164657,-0.6,-0.6,31,-1,thr-0.200_maxday2,202602
SPY,20260218,202602,10:05,605,zero_dte,PUT,0.3455691451547203,-0.16578190207990615,0.3455691451547203,-0.6,-0.6,-0.6,60,-1,thr-0.200_maxday2,202602
SPY,20260218,202602,10:35,635,zero_dte,PUT,-0.08534743053745124,-0.10360077875728309,-0.08534743053745124,-0.6,-0.6,-0.6,32,-1,thr-0.200_maxday2,202602
SPY,20260219,202602,10:05,605,zero_dte,PUT,0.02701266244090484,-0.437587570359212,0.02701266244090484,-0.6,0.2889610027699905,0.2889610027699905,170,1,thr-0.200_maxday2,202602
SPY,20260219,202602,10:35,635,zero_dte,PUT,0.17049976653986898,-0.4004814456079452,0.17049976653986898,-0.6,0.3035714304720869,0.3035714304720869,34,1,thr-0.200_maxday2,202602
SPY,20260220,202602,10:55,655,zero_dte,PUT,0.2718039031425607,-0.43491063262909274,0.2718039031425607,-0.6,0.938235249568848,0.938235249568848,30,1,thr-0.200_maxday2,202602
SPY,20260220,202602,11:40,700,zero_dte,PUT,0.30777190152569867,-0.01841745450242656,0.30777190152569867,-0.6,0.5961537353083561,0.5961537353083561,30,1,thr-0.200_maxday2,202602
SPY,20260223,202602,10:05,605,zero_dte,PUT,0.04643424812597774,-0.39617694101689777,0.04643424812597774,-0.6,0.27799997329711923,0.27799997329711923,47,1,thr-0.200_maxday2,202602
SPY,20260223,202602,10:35,635,zero_dte,PUT,0.16805126049778127,-0.42763578073933245,0.16805126049778127,-0.6,1.2129629445664682,1.2129629445664682,30,1,thr-0.200_maxday2,202602
SPY,20260224,202602,10:25,625,zero_dte,PUT,0.14739621044322465,-0.296772555824334,0.14739621044322465,0.2794117372066225,-0.6,-0.6,47,-1,thr-0.200_maxday2,202602
SPY,20260224,202602,10:55,655,zero_dte,PUT,0.08896677206531178,0.04038437818720388,0.08896677206531178,0.3073769931157615,-0.6,-0.6,63,-1,thr-0.200_maxday2,202602
SPY,20260225,202602,10:00,600,zero_dte,PUT,0.4372299331857814,-0.49757509779695136,0.4372299331857814,0.24096384590432418,-0.5726495569744519,-0.5726495569744519,180,0,thr-0.200_maxday2,202602
SPY,20260225,202602,10:30,630,zero_dte,PUT,0.46374480210165164,-0.41660553760369684,0.46374480210165164,0.3235294723490112,-0.5652173822904127,-0.5652173822904127,180,0,thr-0.200_maxday2,202602
SPY,20260226,202602,10:20,620,zero_dte,PUT,0.15090276789743345,-0.2775814972865729,0.15090276789743345,0.31179776183885566,-0.6,-0.6,32,-1,thr-0.200_maxday2,202602
SPY,20260226,202602,12:15,735,zero_dte,PUT,0.3074768872277589,-0.3673059012766715,0.3074768872277589,-0.6,-0.6,-0.6,81,-1,thr-0.200_maxday2,202602
SPY,20260227,202602,10:05,605,zero_dte,PUT,-0.041409457290248294,-0.19115990632643892,-0.041409457290248294,-0.6,-0.6,-0.6,58,-1,thr-0.200_maxday2,202602
SPY,20260227,202602,10:35,635,zero_dte,PUT,-0.014882382183832255,-0.15300277295671916,-0.014882382183832255,-0.6,-0.6,-0.6,59,-1,thr-0.200_maxday2,202602
SPY,20260302,202603,10:05,605,zero_dte,PUT,0.3651072468479535,-0.1896767009072402,0.3651072468479535,-0.6,0.3265765562584608,0.3265765562584608,30,1,thr-0.200_maxday2,202603
SPY,20260302,202603,10:45,645,zero_dte,PUT,0.3237694138359779,-0.09797422635087227,0.3237694138359779,0.43674699314309584,-0.6,-0.6,58,-1,thr-0.200_maxday2,202603
SPY,20260303,202603,10:20,620,zero_dte,CALL,0.12179986124969726,0.12179986124969726,-0.17899918271660745,0.2784552569745187,-0.6,0.2784552569745187,44,1,thr-0.200_maxday2,202603
SPY,20260303,202603,10:50,650,zero_dte,CALL,0.1941898215759556,0.1941898215759556,-0.22681767344796358,1.9344660800952194,-0.6,1.9344660800952194,30,1,thr-0.200_maxday2,202603
SPY,20260304,202603,10:25,625,zero_dte,PUT,0.195985255951596,0.03784070792959411,0.195985255951596,-0.5243902571991326,-0.6,-0.6,98,-1,thr-0.200_maxday2,202603
SPY,20260304,202603,10:55,655,zero_dte,PUT,0.6659158644251039,-0.3068188325841976,0.6659158644251039,0.2905405550534803,-0.6,-0.6,116,-1,thr-0.200_maxday2,202603
SPY,20260305,202603,10:00,600,zero_dte,PUT,0.3393462636156567,-0.3223726983866919,0.3393462636156567,-0.6,2.663043303615883,2.663043303615883,30,1,thr-0.200_maxday2,202603
SPY,20260305,202603,10:30,630,zero_dte,PUT,0.2126917368936061,0.02924592660429043,0.2126917368936061,0.6234176947775996,-0.6,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260306,202603,10:10,610,zero_dte,PUT,0.42467633247639625,-0.32489388915721784,0.42467633247639625,0.8380502286456619,-0.6,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260306,202603,10:40,640,zero_dte,CALL,0.14464603541992596,0.14464603541992596,-0.5504112987039553,-0.6,0.6838235932186394,-0.6,115,-1,thr-0.200_maxday2,202603
SPY,20260309,202603,10:10,610,zero_dte,CALL,0.26757107322837126,0.26757107322837126,-0.05251103229985971,0.4846938113512218,-0.6,0.4846938113512218,30,1,thr-0.200_maxday2,202603
SPY,20260309,202603,10:45,645,zero_dte,CALL,0.16877553604355824,0.16877553604355824,-0.30491571506074167,0.5545112916738408,-0.6,0.5545112916738408,45,1,thr-0.200_maxday2,202603
SPY,20260310,202603,10:00,600,zero_dte,PUT,0.033264556085816716,-0.017899295794994417,0.033264556085816716,0.8166668331812375,-0.6,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260310,202603,10:30,630,zero_dte,PUT,0.6269738866044462,-0.10225993037411546,0.6269738866044462,0.9323899092862309,-0.6,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260311,202603,10:00,600,zero_dte,PUT,0.41876394319275995,-0.10033651696560933,0.41876394319275995,-0.6,1.6847826072872247,1.6847826072872247,30,1,thr-0.200_maxday2,202603
SPY,20260311,202603,10:30,630,zero_dte,PUT,0.33077318290398283,-0.1723578812561816,0.33077318290398283,-0.6,-0.6,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260312,202603,10:15,615,zero_dte,CALL,0.08564789376328867,0.08564789376328867,-0.07842683796425576,-0.6,0.9652777294869797,-0.6,45,-1,thr-0.200_maxday2,202603
SPY,20260312,202603,10:45,645,zero_dte,PUT,0.4035346730918961,-0.2509997514615213,0.4035346730918961,0.39655174274223515,0.36870505263004416,0.36870505263004416,30,1,thr-0.200_maxday2,202603
SPY,20260313,202603,10:00,600,zero_dte,CALL,-0.014626336667428417,-0.014626336667428417,-0.24898647417759062,-0.6,1.013636323243134,-0.6,35,-1,thr-0.200_maxday2,202603
SPY,20260313,202603,10:35,635,zero_dte,CALL,0.18575026375813125,0.18575026375813125,-0.3388903217357981,-0.6,1.1477902153538935,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260316,202603,10:00,600,zero_dte,CALL,-0.032358579415274744,-0.032358579415274744,-0.1552646412191972,-0.6,0.4244187207013128,-0.6,47,-1,thr-0.200_maxday2,202603
SPY,20260316,202603,10:40,640,zero_dte,PUT,0.03864366479590999,0.020899538891112127,0.03864366479590999,0.27884624201870856,-0.6,-0.6,42,-1,thr-0.200_maxday2,202603
SPY,20260317,202603,10:00,600,zero_dte,PUT,0.42251964955086485,-0.011330819541307735,0.42251964955086485,-0.6,0.4452381449762137,0.4452381449762137,30,1,thr-0.200_maxday2,202603
