month,ticker,arm,source_rows,policy_candidates,scheduler_rejections,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202310,SPXW,K1_ALIGNED,643,404,342,62,0.41935483870967744,0.8939688799073078,-2.3336349127945972,30.0,177.0,7.075675895689582,0.24193548387096775,0.7580645161290323,False,False
202310,QQQ,K0_LEVEL,598,597,554,43,0.5581395348837209,1.5298806213872513,6.425713004929511,30.0,129.0,4.502931837311763,0.5116279069767442,0.4883720930232558,True,True
202310,QQQ,K1_ALIGNED,598,412,370,42,0.5476190476190477,1.7042291225896944,8.498783203558547,30.0,129.0,1.900885884131295,0.30952380952380953,0.6904761904761905,True,True
202310,SPY,K0_LEVEL,647,642,620,22,0.5,1.391201490820235,2.6372644835942918,30.0,152.0,2.570055991848349,0.5909090909090909,0.4090909090909091,True,True
202310,SPY,K1_ALIGNED,647,449,427,22,0.5454545454545454,1.247791601534169,1.602043467354981,30.0,152.0,3.2177557506435823,0.3181818181818182,0.6818181818181818,True,False
202311,SPXW,K0_LEVEL,558,557,496,61,0.32786885245901637,0.6154526154085024,-9.557507904218808,30.0,172.0,15.556549992098605,0.36065573770491804,0.639344262295082,False,False
202311,SPXW,K1_ALIGNED,558,367,313,54,0.3333333333333333,0.6671750796715558,-7.081993766242426,30.0,136.0,11.541831846310457,0.18518518518518517,0.8148148148148148,False,False
202311,QQQ,K0_LEVEL,518,517,481,36,0.5,0.8500697019013276,-1.7287803062046323,30.0,180.0,2.4611808797152506,0.4166666666666667,0.5833333333333334,False,False
202311,QQQ,K1_ALIGNED,518,373,338,35,0.45714285714285713,0.9160147724955983,-0.9773577692238926,30.0,180.0,3.151161292044642,0.34285714285714286,0.6571428571428571,False,False
202311,SPY,K0_LEVEL,556,551,531,20,0.5,1.1325302730819236,0.7089771919627215,30.0,180.0,3.0086255814048353,0.3,0.7,True,False
202311,SPY,K1_ALIGNED,556,365,346,19,0.5263157894736842,1.0930086764616447,0.48655024062621466,30.0,158.0,2.9803866991791264,0.15789473684210525,0.8421052631578947,True,False
202312,SPXW,K0_LEVEL,561,561,506,55,0.4727272727272727,0.9143100226899414,-1.550501768870078,30.0,180.0,6.152209198173877,0.4909090909090909,0.509090909090909,False,False
202312,SPXW,K1_ALIGNED,561,348,299,49,0.40816326530612246,1.0104162018543603,0.1870724639353324,30.0,167.0,5.540506847286998,0.2653061224489796,0.7346938775510204,True,False
202312,QQQ,K0_LEVEL,492,488,456,32,0.25,0.339286419341457,-8.932848115715458,30.0,180.0,10.774496423274156,0.53125,0.46875,False,False
202312,QQQ,K1_ALIGNED,492,326,296,30,0.1,0.4109815896355155,-8.844873199789577,30.0,180.0,9.847101478631393,0.4,0.6,False,False
202312,SPY,K0_LEVEL,564,557,537,20,0.45,0.7400700214837173,-1.7587720852563242,30.0,180.0,3.6109572373340972,0.45,0.55,False,False
202312,SPY,K1_ALIGNED,564,396,376,20,0.45,0.8779678385472708,-0.8370637962572884,30.0,180.0,2.1342652946894387,0.3,0.7,False,False
