ticker,trade_date,expiration,role,kind,path,size_bytes,sha256
QQQ,20230109,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230109.parquet,13195,8b6a84ed1ea1b208b4357f7efda6d530a9452be1c04d76c58fa56a106d69040a
QQQ,20230110,20230113,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230110_greeks.parquet,2671932,08895a9893ab31dca73a30286f1be81d7713cd8f4b8fb694eeb451feda131bd0
QQQ,20230110,20230113,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230110_iv.parquet,986522,64f669f0d032939ac16ce926e5a98d5a789033e11c78d308c244b05a01045e8f
QQQ,20230110,20230110,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230110_20230110_greeks.parquet,1174957,d91c7cf15e8e19acd48f3e5f6ea127aabcef18fd5a156859fac28acc1aef72c3
QQQ,20230110,20230110,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230110_20230110_iv.parquet,604355,b8cb90b6b3b742ea52a115fa5f9388f816c9198724121424bb00daa72343238e
QQQ,20230110,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230110.parquet,12654,b730c4e89aae9d88cb97bf21795f2a4dfe81570ac67c04fc209d702588c50391
QQQ,20230111,20230113,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230111_greeks.parquet,2575125,1b88daf17ea955b48ba82ecb8f31ab05e0b54b302b9925d4ca5dd06bd1c45235
QQQ,20230111,20230113,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230111_iv.parquet,962684,bd81c75f039f1441ae7d644190dd6af691bb8494eeeedff39a8381114affa201
QQQ,20230111,20230111,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230111_20230111_greeks.parquet,1257086,1b124d4b02f1c8feff7ac09444407b35b81fbea9101325faa107a81b491a1daa
QQQ,20230111,20230111,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230111_20230111_iv.parquet,649529,1897bd25b106f907c84290ded2f07b2a2d911d35af5d11c3d5684417827a4a65
