arm,ticker,month,events,daily_cap,constant_train_action,head_side_accuracy,constant_side_accuracy,mean_side_regret,median_side_regret,action_mae,action_rmse,chosen_score_return_spearman,exactly_one_side_positive_rate,both_sides_positive_rate,neither_side_positive_rate,head_mean_return,head_win_rate,head_profit_factor,constant_mean_return,constant_win_rate,constant_profit_factor,oracle_side_mean_return,oracle_side_win_rate,oracle_side_profit_factor
adapted,SPY,202601,579,1,CALL,0.4680483592400691,0.5077720207253886,0.4797882670590816,0.018939340552974304,0.5908586865731471,0.7271866049675367,0.12420192783426552,0.7495682210708118,0.06563039723661486,0.1848013816925734,-0.038064938631045715,0.4231433506044905,0.8878382431462836,-0.03870944437351114,0.4525043177892919,0.8811655749041915,0.4417233284280359,0.8151986183074266,6.356388548677431
adapted,SPY,202602,400,1,CALL,0.59,0.545,0.38915493521756206,0.0,0.5288776091914802,0.6706007249838246,0.0005732881115514596,0.775,0.04,0.185,0.007537685410514809,0.525,1.0264979221029717,-0.0720996546414993,0.46,0.7794601381889127,0.3966926206280768,0.815,5.269769903434011
adapted,SPY,202603,496,1,CALL,0.5423387096774194,0.3911290322580645,0.3881670922836569,0.0,0.569460212256596,0.70628569808856,0.15963839137696498,0.7338709677419355,0.03225806451612903,0.23387096774193547,0.00998776464115417,0.4495967741935484,1.031486932384345,-0.19207631777566014,0.33064516129032256,0.5158142891095849,0.3981548569248112,0.7661290322580645,4.506938404210103
adapted,SPY,202604,525,1,CALL,0.5047619047619047,0.5561904761904762,0.4365646382308983,0.0,0.6187203076309212,0.7771439058728599,-0.10834628940706142,0.6647619047619048,0.03619047619047619,0.29904761904761906,-0.09049197304212067,0.37142857142857144,0.7562463668954176,-0.07029910833542861,0.42857142857142855,0.7909148105061874,0.34607266518877766,0.700952380952381,3.2263990492175787
adapted,SPY,202605,583,1,CALL,0.5214408233276158,0.49914236706689535,0.5080210051675631,0.0,0.6179530102646063,0.7588830656050252,-0.10204045050770795,0.7650085763293311,0.022298456260720412,0.21269296740994853,-0.0858737079783299,0.41680960548885077,0.7504659640458867,-0.11096608513730064,0.3876500857632933,0.6945704564492983,0.4221472971892332,0.7873070325900514,5.10484783548706
frozen,QQQ,202601,450,2,PUT,0.46444444444444444,0.5066666666666667,0.4774840000527019,0.03477575046401188,0.5942740181803763,0.7310300298316875,-0.0071258103469150425,0.6933333333333334,0.042222222222222223,0.2644444444444444,-0.12260156947224739,0.3711111111111111,0.6668489520297546,-0.09218356685272547,0.3933333333333333,0.7337917991517281,0.35488243058045454,0.7355555555555555,4.150144699514553
frozen,QQQ,202602,301,2,PUT,0.4950166112956811,0.5448504983388704,0.38983568057491363,0.002634999108824143,0.5230034723028384,0.6499055874730331,0.06579667496545512,0.7209302325581395,0.03322259136212625,0.24584717607973422,-0.0976691241774116,0.38205980066445183,0.7054402859642898,-0.07917623672882164,0.39867109634551495,0.7433300145495029,0.2921665563975021,0.7541528239202658,3.472034017786688
frozen,QQQ,202603,425,2,CALL,0.5458823529411765,0.3811764705882353,0.4520189675336794,0.0,0.5950429402536456,0.7240574115794239,-0.06436052612084747,0.788235294117647,0.042352941176470586,0.16941176470588235,0.0187118133439025,0.47058823529411764,1.0597498539151498,-0.2232415844730577,0.3388235294117647,0.4421278648407271,0.47073078087758197,0.8305882352941176,7.2085192837503325
frozen,QQQ,202604,435,2,CALL,0.4850574712643678,0.6068965517241379,0.5260215843548157,0.0052252200243683156,0.5988028539116257,0.7387664067836716,0.057000984981020464,0.7195402298850575,0.022988505747126436,0.2574712643678161,-0.13373478686957266,0.35402298850574715,0.6500512460959323,-0.05458101769734049,0.45977011494252873,0.8274921776766175,0.39228679748524303,0.7425287356321839,4.231050136592452
frozen,QQQ,202605,466,2,CALL,0.49141630901287553,0.5236051502145923,0.49199336173293506,0.003139490324619132,0.6317635469131536,0.7773858429594505,-0.010842613944986701,0.8133047210300429,0.015021459227467811,0.17167381974248927,-0.045625318411089306,0.43991416309012876,0.8630574209005221,-0.11761165833060296,0.4313304721030043,0.6443786502521114,0.44636804332184576,0.8283261802575107,7.523035432815654
frozen,SPXW,202601,579,4,CALL,0.5043177892918825,0.4784110535405872,0.4382686992355584,0.0,0.598561406367827,0.7667039226105352,0.06395903494398018,0.7081174438687392,0.02936096718480138,0.26252158894645944,-0.016123640422285868,0.4162348877374784,0.9537453764903953,-0.06581316192754613,0.39378238341968913,0.819699073167242,0.4221450588132726,0.7374784110535406,4.437276260748084
frozen,SPXW,202602,408,4,PUT,0.5661764705882353,0.49754901960784315,0.4146446189451252,0.0,0.5683978892040087,0.7317210111814396,-0.12826243066817314,0.7156862745098039,0.022058823529411766,0.2622549019607843,-0.0475975616321786,0.4632352941176471,0.8527984599123496,-0.11917430612611293,0.36519607843137253,0.6846354216147451,0.3670470573129467,0.7377450980392157,3.772027182353836
frozen,SPXW,202603,459,4,CALL,0.5381263616557734,0.4074074074074074,0.40422245321714195,0.0,0.5812887504400057,0.7122542847840104,0.14409191880323885,0.6557734204793029,0.013071895424836602,0.3311546840958606,-0.08212610950453424,0.3812636165577342,0.7770458768313534,-0.24933552477090784,0.28104575163398693,0.4290200948136079,0.3220963437126077,0.6688453159041394,2.985064966608184
frozen,SPXW,202604,593,4,CALL,0.5059021922428331,0.5193929173693086,0.4873943940357721,0.0,0.6219338621975348,0.7742572126699265,-0.10662599301587566,0.6205733558178752,0.03541315345699832,0.3440134907251265,-0.08486155866449344,0.35413153456998314,0.7839624640033837,-0.07447269407920619,0.3844856661045531,0.8025138725857208,0.4025328353712787,0.6559865092748736,3.149511514364011
frozen,SPXW,202605,586,4,CALL,0.4863481228668942,0.4658703071672355,0.5100811977141452,0.003968262365565467,0.604614670320796,0.7402474687651104,-0.006839020027169088,0.6723549488054608,0.011945392491467578,0.31569965870307165,-0.14151530466769358,0.3464163822525597,0.6403511615965293,-0.15561507223919707,0.3310580204778157,0.6172033361512679,0.3685658930464516,0.6843003412969283,3.3149178319424237
frozen,SPY,202601,579,1,CALL,0.47150259067357514,0.5077720207253886,0.46433560137865143,0.016241103691137848,0.5961895976019079,0.7372103271173537,0.07146193944901838,0.7495682210708118,0.06563039723661486,0.1848013816925734,-0.022612272950615644,0.4265975820379965,0.9329420380469448,-0.03870944437351114,0.4525043177892919,0.8811655749041915,0.4417233284280359,0.8151986183074266,6.356388548677431
frozen,SPY,202602,400,1,CALL,0.53,0.545,0.4707352487901067,0.0,0.5359794954609824,0.6750818631055557,0.1582611322386763,0.775,0.04,0.185,-0.07404262816202986,0.4575,0.7713734296779359,-0.0720996546414993,0.46,0.7794601381889127,0.3966926206280768,0.815,5.269769903434011
frozen,SPY,202603,496,1,CALL,0.5564516129032258,0.3911290322580645,0.3958082898020969,0.0,0.5670614203144467,0.7027779342259556,0.12254966907882338,0.7338709677419355,0.03225806451612903,0.23387096774193547,0.0023465671227142115,0.4596774193548387,1.0076766661946643,-0.19207631777566014,0.33064516129032256,0.5158142891095849,0.3981548569248112,0.7661290322580645,4.506938404210103
frozen,SPY,202604,525,1,CALL,0.49714285714285716,0.5561904761904762,0.4239181833777164,0.0,0.6250999952368035,0.7693045869232453,-0.10561741715695439,0.6647619047619048,0.03619047619047619,0.29904761904761906,-0.07784551818893874,0.37714285714285717,0.7886739720924062,-0.07029910833542861,0.42857142857142855,0.7909148105061874,0.34607266518877766,0.700952380952381,3.2263990492175787
frozen,SPY,202605,583,1,CALL,0.5077186963979416,0.49914236706689535,0.516542976416702,0.0,0.6253791905088945,0.7639833510990465,-0.15388594159356483,0.7650085763293311,0.022298456260720412,0.21269296740994853,-0.0943956792274689,0.39451114922813035,0.7347086399444468,-0.11096608513730064,0.3876500857632933,0.6945704564492983,0.4221472971892332,0.7873070325900514,5.10484783548706
