ticker,year,feature,rows,missing_rate,zero_rate,distinct_values,minimum,maximum
QQQ,2022,surface_put_quote_row_coverage_w5m,197,0.0,0.0,112,0.7058823529411765,1.0
QQQ,2022,surface_put_quote_volume_coverage_w5m,197,0.0,0.0,165,0.5788445436784817,1.0
QQQ,2022,surface_put_price_volume_coverage_w5m,197,0.0,0.0,94,0.9496348526819441,1.0
QQQ,2022,surface_put_signable_volume_coverage_w5m,197,0.0,0.0,175,0.5788445436784817,1.0
QQQ,2022,surface_put_count_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,surface_directional_pressure_w5m,197,0.0,0.0,197,-0.9978045578017936,0.9946531198448256
QQQ,2022,surface_volume_imbalance_w5m,197,0.0,0.0,197,-0.6188721418431148,0.5297544735746983
QQQ,2022,surface_count_imbalance_w5m,197,0.0,0.015228426395939087,195,-0.38228941684665224,0.2949640287769784
QQQ,2022,surface_close_notional_imbalance_w5m,197,0.0,0.0,197,-0.73861479605854,0.7724949808359189
QQQ,2022,surface_quote_row_coverage_w5m,197,0.0,0.0,166,0.7358490566037735,1.0
QQQ,2022,surface_quote_volume_coverage_w5m,197,0.0,0.0,195,0.6331668747399084,1.0
QQQ,2022,surface_price_volume_coverage_w5m,197,0.0,0.0,129,0.9730594825286744,1.0
QQQ,2022,surface_signable_volume_coverage_w5m,197,0.0,0.0,195,0.6331668747399084,1.0
QQQ,2022,surface_count_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_volume_w5m,197,0.0,0.0,190,52.0,6340.0
QQQ,2022,local_count_w5m,197,0.0,0.0,143,16.0,622.0
QQQ,2022,local_close_notional_w5m,197,0.0,0.0,197,7536.0,673681.0
QQQ,2022,local_signed_volume_w5m,197,0.0,0.0,189,-6184.0,5911.0
QQQ,2022,local_signed_count_w5m,197,0.0,0.0,144,-314.0,265.0
QQQ,2022,local_signed_close_notional_w5m,197,0.0,0.0,197,-603664.0,647182.0
QQQ,2022,local_buy_sell_close_notional_log_ratio_w5m,197,0.0,0.0,197,-12.621177805336805,13.380384377385143
QQQ,2022,local_signed_close_notional_ratio_w5m,197,0.0,0.0,185,-1.0,1.0
QQQ,2022,local_quote_row_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_quote_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_price_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_signable_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_count_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,role_break_pressure_w5m,197,0.0,0.0,185,-1.0,1.0
QQQ,2022,surface_call_volume_w15m,197,0.0,0.0,197,4179.0,44425.0
QQQ,2022,surface_call_count_w15m,197,0.0,0.0,188,501.0,5164.0
QQQ,2022,surface_call_close_notional_w15m,197,0.0,0.0,197,172037.0,10042246.0
QQQ,2022,surface_call_signed_volume_w15m,197,0.0,0.0,197,-19189.0,19079.0
QQQ,2022,surface_call_signed_count_w15m,197,0.0,0.0,184,-1553.0,2934.0
QQQ,2022,surface_call_signed_close_notional_w15m,197,0.0,0.0,197,-5441054.0,3198464.0
QQQ,2022,surface_call_quote_row_coverage_w15m,197,0.0,0.0,184,0.7533632286995515,1.0
QQQ,2022,surface_call_quote_volume_coverage_w15m,197,0.0,0.0,194,0.6828844483058211,1.0
QQQ,2022,surface_call_price_volume_coverage_w15m,197,0.0,0.0,136,0.9562198323312727,1.0
QQQ,2022,surface_call_signable_volume_coverage_w15m,197,0.0,0.0,194,0.6828844483058211,1.0
QQQ,2022,surface_call_count_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,surface_put_volume_w15m,197,0.0,0.0,196,3831.0,53490.0
QQQ,2022,surface_put_count_w15m,197,0.0,0.0,190,484.0,4464.0
QQQ,2022,surface_put_close_notional_w15m,197,0.0,0.0,197,157343.0,8642678.0
QQQ,2022,surface_put_signed_volume_w15m,197,0.0,0.0,197,-29594.0,29400.0
QQQ,2022,surface_put_signed_count_w15m,197,0.0,0.0,188,-1652.0,3148.0
QQQ,2022,surface_put_signed_close_notional_w15m,197,0.0,0.0,197,-1112350.0,3713553.0
QQQ,2022,surface_put_quote_row_coverage_w15m,197,0.0,0.0,190,0.7847222222222222,0.9959514170040485
QQQ,2022,surface_put_quote_volume_coverage_w15m,197,0.0,0.0,197,0.7970277669143527,0.9999466353594109
QQQ,2022,surface_put_price_volume_coverage_w15m,197,0.0,0.0,133,0.9746485943775101,1.0
QQQ,2022,surface_put_signable_volume_coverage_w15m,197,0.0,0.0,197,0.7970277669143527,0.9999354672173464
QQQ,2022,surface_put_count_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,surface_directional_pressure_w15m,197,0.0,0.0,197,-0.8091457799734569,0.7961568217116867
QQQ,2022,surface_volume_imbalance_w15m,197,0.0,0.0,197,-0.4912346944279627,0.3885729110539025
QQQ,2022,surface_count_imbalance_w15m,197,0.0,0.0,197,-0.34169439467622215,0.3097207859358842
QQQ,2022,surface_close_notional_imbalance_w15m,197,0.0,0.0,197,-0.6389397789629244,0.6883338415466834
QQQ,2022,surface_quote_row_coverage_w15m,197,0.0,0.0,190,0.8178438661710037,0.9950372208436724
QQQ,2022,surface_quote_volume_coverage_w15m,197,0.0,0.0,197,0.8450741063644289,0.9997256766642283
QQQ,2022,surface_price_volume_coverage_w15m,197,0.0,0.0,143,0.973053265827022,1.0
QQQ,2022,surface_signable_volume_coverage_w15m,197,0.0,0.0,197,0.8450741063644289,0.9997256766642283
QQQ,2022,surface_count_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_volume_w15m,197,0.0,0.0,194,238.0,19083.0
QQQ,2022,local_count_w15m,197,0.0,0.0,177,45.0,1416.0
QQQ,2022,local_close_notional_w15m,197,0.0,0.0,197,26896.0,1946864.0
QQQ,2022,local_signed_volume_w15m,197,0.0,0.0,189,-4980.0,11425.0
QQQ,2022,local_signed_count_w15m,197,0.0,0.0,157,-575.0,589.0
QQQ,2022,local_signed_close_notional_w15m,197,0.0,0.0,197,-674083.0,991346.0
QQQ,2022,local_buy_sell_close_notional_log_ratio_w15m,197,0.0,0.0,197,-3.0495250633215942,3.154941013912305
QQQ,2022,local_signed_close_notional_ratio_w15m,197,0.0,0.0,197,-0.9095363636979756,0.8856880959138432
QQQ,2022,local_quote_row_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_quote_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_price_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_signable_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,local_count_volume_coverage_w15m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,role_break_pressure_w15m,197,0.0,0.0,197,-0.9095363636979756,0.8856880959138432
QQQ,2022,surface_pressure_same_sign_1m_5m,197,0.0,0.3604060913705584,2,0.0,1.0
QQQ,2022,surface_pressure_same_sign_5m_15m,197,0.0,0.37055837563451777,2,0.0,1.0
QQQ,2022,local_pressure_same_sign_1m_5m,197,0.0,0.38578680203045684,2,0.0,1.0
QQQ,2022,local_pressure_same_sign_5m_15m,197,0.0,0.3299492385786802,2,0.0,1.0
QQQ,2023,minute_sin,887,0.0,0.0,48,-0.6087614290087207,0.36243803828370175
QQQ,2023,minute_cos,887,0.0,0.0,41,-1.0,-0.7933533402912352
QQQ,2023,role_resistance,887,0.0,0.43855693348365277,2,0.0,1.0
QQQ,2023,candidate_distance_bps,887,0.0,0.004509582863585118,811,-14.967690153698296,14.963618860968204
QQQ,2023,candidate_abs_distance_bps,887,0.0,0.004509582863585118,808,0.0,14.967690153698296
QQQ,2023,spot_ret_1m_bps,887,0.0,0.3258173618940248,580,-3.2035025612953127,3.5374873573656984
QQQ,2023,spot_abs_ret_1m_bps,887,0.0,0.3258173618940248,578,0.0,3.5374873573656984
QQQ,2023,spot_ret_5m_bps,887,0.0,0.011273957158962795,865,-47.03981917797084,33.22837853725558
QQQ,2023,spot_ret_15m_bps,887,0.0,0.009019165727170236,866,-139.5500035522579,66.01313634821082
QQQ,2023,spot_ret_30m_bps,887,0.0,0.006764374295377677,869,-181.1683952034293,96.7806456389586
QQQ,2023,realized_vol_5m_bps,887,0.0,0.0,874,0.23793351065000137,19.4305845616683
QQQ,2023,realized_vol_15m_bps,887,0.0,0.0,874,0.7993032258438683,17.136911591570616
QQQ,2023,candidate_distance_change_5m_bps,887,0.0,0.011273957158962795,875,-47.26213942723344,33.118331691061144
QQQ,2023,candidate_distance_change_15m_bps,887,0.0,0.009019165727170236,875,-141.52498476492576,65.5802207428469
QQQ,2023,candidate_distance_change_30m_bps,887,0.0,0.006764374295377677,875,-184.5111541733003,95.8529743644186
QQQ,2023,candidate_approach_5m_bps,887,0.0,0.013528748590755355,876,-13.979943560155201,47.01764396067416
QQQ,2023,candidate_approach_15m_bps,887,0.0,0.012401352874859075,876,-14.341734455523612,141.52498476492576
QQQ,2023,candidate_approach_30m_bps,887,0.0,0.009019165727170236,879,-14.103178905073745,184.5111541733003
QQQ,2023,surface_call_volume_w1m,887,0.0,0.0,752,79.0,12503.0
